"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Solar.Zenith.Angle","Date","Time"
-3,0,0,0,0,0,0,162.31,2015-01-01,2015-01-01 00:30:00
-3,0,0,0,0,0,0,155.41,2015-01-01,2015-01-01 01:30:00
-3,0,0,0,0,0,0,145.19,2015-01-01,2015-01-01 02:30:00
-4,0,0,0,0,0,0,133.94,2015-01-01,2015-01-01 03:30:00
-4,0,0,0,0,0,0,122.46,2015-01-01,2015-01-01 04:30:00
-4,0,0,0,0,0,0,111.09,2015-01-01,2015-01-01 05:30:00
-4,0,0,0,0,0,0,100.12,2015-01-01,2015-01-01 06:30:00
-3,0,0,0,0,0,0,89.8,2015-01-01,2015-01-01 07:30:00
-1,142,42,605,42,605,142,80.49,2015-01-01,2015-01-01 08:30:00
0,294,58,791,58,791,294,72.62,2015-01-01,2015-01-01 09:30:00
1,411,66,872,66,872,411,66.75,2015-01-01,2015-01-01 10:30:00
2,475,69,909,69,909,475,63.46,2015-01-01,2015-01-01 11:30:00
2,481,68,914,68,914,481,63.16,2015-01-01,2015-01-01 12:30:00
2,426,68,877,68,877,426,65.9,2015-01-01,2015-01-01 13:30:00
2,320,58,817,58,817,320,71.32,2015-01-01,2015-01-01 14:30:00
1,173,44,668,44,668,173,78.85,2015-01-01,2015-01-01 15:30:00
0,25,25,0,15,275,25,87.92,2015-01-01,2015-01-01 16:30:00
0,0,0,0,0,0,0,98.08,2015-01-01,2015-01-01 17:30:00
0,0,0,0,0,0,0,108.94,2015-01-01,2015-01-01 18:30:00
-1,0,0,0,0,0,0,120.25,2015-01-01,2015-01-01 19:30:00
-1,0,0,0,0,0,0,131.73,2015-01-01,2015-01-01 20:30:00
-1,0,0,0,0,0,0,143.06,2015-01-01,2015-01-01 21:30:00
-1,0,0,0,0,0,0,153.56,2015-01-01,2015-01-01 22:30:00
-1,0,0,0,0,0,0,161.39,2015-01-01,2015-01-01 23:30:00
-1,0,0,0,0,0,0,162.26,2015-01-02,2015-01-02 00:30:00
-1,0,0,0,0,0,0,155.42,2015-01-02,2015-01-02 01:30:00
-1,0,0,0,0,0,0,145.22,2015-01-02,2015-01-02 02:30:00
-1,0,0,0,0,0,0,133.98,2015-01-02,2015-01-02 03:30:00
-1,0,0,0,0,0,0,122.5,2015-01-02,2015-01-02 04:30:00
-1,0,0,0,0,0,0,111.13,2015-01-02,2015-01-02 05:30:00
-2,0,0,0,0,0,0,100.15,2015-01-02,2015-01-02 06:30:00
-1,0,0,0,0,0,0,89.82,2015-01-02,2015-01-02 07:30:00
1,74,61,79,45,536,134,80.49,2015-01-02,2015-01-02 08:30:00
2,210,103,358,65,720,280,72.6,2015-01-02,2015-01-02 09:30:00
3,319,124,494,94,728,382,66.71,2015-01-02,2015-01-02 10:30:00
4,365,150,478,102,767,446,63.39,2015-01-02,2015-01-02 11:30:00
4,380,142,525,99,784,455,63.07,2015-01-02,2015-01-02 12:30:00
4,325,137,458,100,733,401,65.79,2015-01-02,2015-01-02 13:30:00
3,254,93,499,84,667,299,71.19,2015-01-02,2015-01-02 14:30:00
1,101,74,137,58,528,162,78.72,2015-01-02,2015-01-02 15:30:00
0,14,14,0,17,167,23,87.79,2015-01-02,2015-01-02 16:30:00
-1,0,0,0,0,0,0,97.94,2015-01-02,2015-01-02 17:30:00
-1,0,0,0,0,0,0,108.81,2015-01-02,2015-01-02 18:30:00
-1,0,0,0,0,0,0,120.11,2015-01-02,2015-01-02 19:30:00
-1,0,0,0,0,0,0,131.59,2015-01-02,2015-01-02 20:30:00
-1,0,0,0,0,0,0,142.92,2015-01-02,2015-01-02 21:30:00
-2,0,0,0,0,0,0,153.42,2015-01-02,2015-01-02 22:30:00
-1,0,0,0,0,0,0,161.26,2015-01-02,2015-01-02 23:30:00
-1,0,0,0,0,0,0,162.2,2015-01-03,2015-01-03 00:30:00
-2,0,0,0,0,0,0,155.42,2015-01-03,2015-01-03 01:30:00
-2,0,0,0,0,0,0,145.25,2015-01-03,2015-01-03 02:30:00
-2,0,0,0,0,0,0,134.02,2015-01-03,2015-01-03 03:30:00
-2,0,0,0,0,0,0,122.54,2015-01-03,2015-01-03 04:30:00
-2,0,0,0,0,0,0,111.16,2015-01-03,2015-01-03 05:30:00
-1,0,0,0,0,0,0,100.17,2015-01-03,2015-01-03 06:30:00
0,0,0,0,0,0,0,89.83,2015-01-03,2015-01-03 07:30:00
0,15,15,0,50,442,123,80.49,2015-01-03,2015-01-03 08:30:00
1,25,25,0,78,609,260,72.58,2015-01-03,2015-01-03 09:30:00
2,160,151,22,93,690,367,66.66,2015-01-03,2015-01-03 10:30:00
2,30,30,0,107,706,424,63.31,2015-01-03,2015-01-03 11:30:00
2,71,71,0,122,662,423,62.96,2015-01-03,2015-01-03 12:30:00
2,105,105,0,136,554,364,65.66,2015-01-03,2015-01-03 13:30:00
2,52,52,0,118,457,266,71.06,2015-01-03,2015-01-03 14:30:00
1,29,29,0,80,303,140,78.58,2015-01-03,2015-01-03 15:30:00
1,3,3,0,16,33,17,87.64,2015-01-03,2015-01-03 16:30:00
1,0,0,0,0,0,0,97.79,2015-01-03,2015-01-03 17:30:00
2,0,0,0,0,0,0,108.66,2015-01-03,2015-01-03 18:30:00
2,0,0,0,0,0,0,119.97,2015-01-03,2015-01-03 19:30:00
2,0,0,0,0,0,0,131.45,2015-01-03,2015-01-03 20:30:00
3,0,0,0,0,0,0,142.77,2015-01-03,2015-01-03 21:30:00
2,0,0,0,0,0,0,153.28,2015-01-03,2015-01-03 22:30:00
2,0,0,0,0,0,0,161.13,2015-01-03,2015-01-03 23:30:00
2,0,0,0,0,0,0,162.13,2015-01-04,2015-01-04 00:30:00
2,0,0,0,0,0,0,155.41,2015-01-04,2015-01-04 01:30:00
2,0,0,0,0,0,0,145.27,2015-01-04,2015-01-04 02:30:00
2,0,0,0,0,0,0,134.05,2015-01-04,2015-01-04 03:30:00
2,0,0,0,0,0,0,122.57,2015-01-04,2015-01-04 04:30:00
