"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"1","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"2","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"3","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"4","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"5","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"6","N/A","N/A","N/A","N/A",2015-12-31,"DBUK1",39.82,-75.73
"7","7.0","91","14","5.1",2015-12-31,"DBUK1",39.82,-75.73
"8","7.0","86","49","0.0",2015-12-31,"DBUK1",39.82,-75.73
"9","7.3","84","111","0.0",2015-12-31,"DBUK1",39.82,-75.73
"10","8.2","78","228","0.0",2015-12-31,"DBUK1",39.82,-75.73
"11","8.9","74","272","0.0",2015-12-31,"DBUK1",39.82,-75.73
"12","9.2","70","288","0.0",2015-12-31,"DBUK1",39.82,-75.73
"13","9.3","68","335","0.0",2015-12-31,"DBUK1",39.82,-75.73
"14","8.7","68","223","0.0",2015-12-31,"DBUK1",39.82,-75.73
"15","7.6","69","75","0.0",2015-12-31,"DBUK1",39.82,-75.73
"16","6.2","71","16","0.0",2015-12-31,"DBUK1",39.82,-75.73
"17","5.2","72","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"18","4.8","70","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"19","4.5","71","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"20","4.4","71","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"21","4.2","72","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"22","3.7","69","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"23","3.4","70","0","0.0",2015-12-31,"DBUK1",39.82,-75.73
"0","6.6","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"1","6.5","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"2","6.4","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"3","6.5","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"4","6.5","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"5","6.5","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"6","6.6","100","0","0.0",2015-12-30,"DBUK1",39.82,-75.73
"7","6.7","100","6","0.0",2015-12-30,"DBUK1",39.82,-75.73
"8","6.9","99","44","0.0",2015-12-30,"DBUK1",39.82,-75.73
"9","7.3","97","53","0.0",2015-12-30,"DBUK1",39.82,-75.73
"10","7.4","95","80","0.0",2015-12-30,"DBUK1",39.82,-75.73
"11","7.7","94","88","0.0",2015-12-30,"DBUK1",39.82,-75.73
"12","7.9","94","60","0.0",2015-12-30,"DBUK1",39.82,-75.73
"13","7.9","96","56","0.0",2015-12-30,"DBUK1",39.82,-75.73
"14","8.3","95","44","0.0",2015-12-30,"DBUK1",39.82,-75.73
"15","8.5","94","21","0.0",2015-12-30,"DBUK1",39.82,-75.73
