"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","8.7","100","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"1","8.7","100","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"2","8.4","100","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"3","8.6","99","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"4","7.8","99","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"5","6.8","100","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"6","7.2","99","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"7","6.7","98","9","0.0",2015-12-31,"DCLY",39.81,-75.46
"8","7.1","93","44","0.0",2015-12-31,"DCLY",39.81,-75.46
"9","7.6","84","116","0.0",2015-12-31,"DCLY",39.81,-75.46
"10","7.9","76","115","0.0",2015-12-31,"DCLY",39.81,-75.46
"11","8.6","70","207","0.0",2015-12-31,"DCLY",39.81,-75.46
"12","9.6","64","354","0.0",2015-12-31,"DCLY",39.81,-75.46
"13","9.7","61","317","0.0",2015-12-31,"DCLY",39.81,-75.46
"14","9.5","61","221","0.0",2015-12-31,"DCLY",39.81,-75.46
"15","8.5","63","88","0.0",2015-12-31,"DCLY",39.81,-75.46
"16","7.1","65","16","0.0",2015-12-31,"DCLY",39.81,-75.46
"17","6.1","64","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"18","5.5","64","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"19","5.1","67","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"20","5.0","68","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"21","5.0","67","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"22","4.5","65","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"23","4.2","64","0","0.0",2015-12-31,"DCLY",39.81,-75.46
"0","7.4","96","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"1","7.2","96","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"2","7.1","97","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"3","7.1","97","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"4","6.9","97","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"5","6.9","97","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"6","6.8","97","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"7","6.8","96","6","0.0",2015-12-30,"DCLY",39.81,-75.46
"8","6.7","95","21","0.0",2015-12-30,"DCLY",39.81,-75.46
"9","6.9","95","61","0.0",2015-12-30,"DCLY",39.81,-75.46
"10","7.1","93","69","0.0",2015-12-30,"DCLY",39.81,-75.46
"11","7.6","92","82","0.0",2015-12-30,"DCLY",39.81,-75.46
"12","7.9","92","63","0.0",2015-12-30,"DCLY",39.81,-75.46
"13","8.4","91","66","0.0",2015-12-30,"DCLY",39.81,-75.46
"14","9.0","89","66","0.0",2015-12-30,"DCLY",39.81,-75.46
"15","9.1","89","20","0.0",2015-12-30,"DCLY",39.81,-75.46
"16","9.3","89","4","0.0",2015-12-30,"DCLY",39.81,-75.46
"17","9.6","88","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"18","9.4","90","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"19","8.9","96","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"20","8.8","98","0","0.0",2015-12-30,"DCLY",39.81,-75.46
"21","8.8","99","0","2.3",2015-12-30,"DCLY",39.81,-75.46
"22","8.8","99","0","0.8",2015-12-30,"DCLY",39.81,-75.46
"23","8.7","100","0","0.8",2015-12-30,"DCLY",39.81,-75.46
"0","4.1","98","0","1.8",2015-12-29,"DCLY",39.81,-75.46
"1","4.4","98","0","3.0",2015-12-29,"DCLY",39.81,-75.46
"2","4.9","98","0","4.1",2015-12-29,"DCLY",39.81,-75.46
"3","5.1","99","0","1.8",2015-12-29,"DCLY",39.81,-75.46
