"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","8.1","100","1","0.0",2015-12-31,"DSCR",39.86,-75.84
"1","8.1","100","1","0.0",2015-12-31,"DSCR",39.86,-75.84
"2","8.1","100","1","0.0",2015-12-31,"DSCR",39.86,-75.84
"3","7.9","100","1","0.0",2015-12-31,"DSCR",39.86,-75.84
"4","7.5","100","1","0.0",2015-12-31,"DSCR",39.86,-75.84
"5","7.3","100","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"6","7.0","99","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"7","6.5","93","7","0.0",2015-12-31,"DSCR",39.86,-75.84
"8","6.3","89","52","0.0",2015-12-31,"DSCR",39.86,-75.84
"9","6.8","86","156","0.0",2015-12-31,"DSCR",39.86,-75.84
"10","7.2","81","234","0.0",2015-12-31,"DSCR",39.86,-75.84
"11","7.8","78","367","0.0",2015-12-31,"DSCR",39.86,-75.84
"12","7.7","76","253","0.0",2015-12-31,"DSCR",39.86,-75.84
"13","7.8","75","327","0.0",2015-12-31,"DSCR",39.86,-75.84
"14","7.4","73","197","0.0",2015-12-31,"DSCR",39.86,-75.84
"15","6.4","75","68","0.0",2015-12-31,"DSCR",39.86,-75.84
"16","5.3","75","15","0.0",2015-12-31,"DSCR",39.86,-75.84
"17","4.5","76","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"18","4.1","75","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"19","4.0","76","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"20","3.8","76","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"21","3.4","75","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"22","2.9","74","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"23","2.7","76","0","0.0",2015-12-31,"DSCR",39.86,-75.84
"0","5.8","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"1","5.6","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"2","5.4","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"3","5.4","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"4","5.5","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"5","5.7","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"6","5.7","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"7","5.9","100","5","0.0",2015-12-30,"DSCR",39.86,-75.84
"8","6.1","100","36","0.0",2015-12-30,"DSCR",39.86,-75.84
"9","6.2","100","52","0.0",2015-12-30,"DSCR",39.86,-75.84
"10","6.3","100","64","0.0",2015-12-30,"DSCR",39.86,-75.84
"11","6.6","100","85","0.0",2015-12-30,"DSCR",39.86,-75.84
"12","6.8","100","58","0.0",2015-12-30,"DSCR",39.86,-75.84
"13","7.0","100","44","0.0",2015-12-30,"DSCR",39.86,-75.84
"14","7.3","100","31","0.0",2015-12-30,"DSCR",39.86,-75.84
"15","7.6","100","18","0.0",2015-12-30,"DSCR",39.86,-75.84
"16","7.6","100","4","0.0",2015-12-30,"DSCR",39.86,-75.84
"17","7.7","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"18","7.8","100","1","0.3",2015-12-30,"DSCR",39.86,-75.84
"19","8.0","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"20","8.3","100","1","0.5",2015-12-30,"DSCR",39.86,-75.84
"21","8.3","100","1","2.0",2015-12-30,"DSCR",39.86,-75.84
"22","8.2","100","1","0.5",2015-12-30,"DSCR",39.86,-75.84
"23","8.1","100","1","0.0",2015-12-30,"DSCR",39.86,-75.84
"0","3.4","100","0","2.3",2015-12-29,"DSCR",39.86,-75.84
"1","3.3","100","0","2.8",2015-12-29,"DSCR",39.86,-75.84
"2","3.6","100","0","2.3",2015-12-29,"DSCR",39.86,-75.84
"3","4.1","100","0","2.5",2015-12-29,"DSCR",39.86,-75.84
"4","4.8","100","0","2.3",2015-12-29,"DSCR",39.86,-75.84
"5","5.2","100","0","2.8",2015-12-29,"DSCR",39.86,-75.84
"6","5.8","100","0","0.3",2015-12-29,"DSCR",39.86,-75.84
"7","6.6","100","1","0.8",2015-12-29,"DSCR",39.86,-75.84
"8","7.4","100","7","1.5",2015-12-29,"DSCR",39.86,-75.84
"9","6.9","100","24","0.5",2015-12-29,"DSCR",39.86,-75.84
"10","6.3","100","75","0.3",2015-12-29,"DSCR",39.86,-75.84
"11","6.9","100","154","0.0",2015-12-29,"DSCR",39.86,-75.84
"12","7.8","100","144","0.0",2015-12-29,"DSCR",39.86,-75.84
"13","8.3","100","104","0.0",2015-12-29,"DSCR",39.86,-75.84
"14","9.1","100","74","0.0",2015-12-29,"DSCR",39.86,-75.84
"15","8.8","100","43","0.0",2015-12-29,"DSCR",39.86,-75.84
"16","8.4","100","10","0.0",2015-12-29,"DSCR",39.86,-75.84
"17","7.9","100","0","0.0",2015-12-29,"DSCR",39.86,-75.84
"18","7.2","100","0","0.0",2015-12-29,"DSCR",39.86,-75.84
"19","6.7","100","0","0.0",2015-12-29,"DSCR",39.86,-75.84
"20","6.5","100","0","0.0",2015-12-29,"DSCR",39.86,-75.84
"21","6.2","100","1","0.0",2015-12-29,"DSCR",39.86,-75.84
"22","5.9","100","1","0.0",2015-12-29,"DSCR",39.86,-75.84
"23","5.9","100","1","0.0",2015-12-29,"DSCR",39.86,-75.84
"0","5.9","77","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"1","5.3","79","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"2","4.6","78","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"3","4.0","77","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"4","3.3","75","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"5","2.8","74","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"6","2.4","73","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"7","2.0","75","15","0.0",2015-12-28,"DSCR",39.86,-75.84
"8","2.5","74","86","0.0",2015-12-28,"DSCR",39.86,-75.84
"9","2.9","73","151","0.0",2015-12-28,"DSCR",39.86,-75.84
"10","3.3","71","154","0.0",2015-12-28,"DSCR",39.86,-75.84
"11","3.5","67","134","0.0",2015-12-28,"DSCR",39.86,-75.84
"12","3.9","62","175","0.0",2015-12-28,"DSCR",39.86,-75.84
"13","4.1","62","128","0.0",2015-12-28,"DSCR",39.86,-75.84
"14","4.0","65","47","0.0",2015-12-28,"DSCR",39.86,-75.84
"15","4.1","65","26","0.0",2015-12-28,"DSCR",39.86,-75.84
"16","4.3","69","2","0.0",2015-12-28,"DSCR",39.86,-75.84
"17","3.8","69","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"18","3.4","69","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"19","3.4","74","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"20","3.2","84","0","0.0",2015-12-28,"DSCR",39.86,-75.84
"21","2.8","96","0","0.8",2015-12-28,"DSCR",39.86,-75.84
"22","2.5","99","0","0.5",2015-12-28,"DSCR",39.86,-75.84
"23","2.9","100","0","0.5",2015-12-28,"DSCR",39.86,-75.84
"0","7.8","100","0","0.3",2015-12-27,"DSCR",39.86,-75.84
"1","7.9","100","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"2","8.0","100","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"3","8.2","100","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"4","8.4","100","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"5","8.5","100","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"6","8.9","100","0","0.3",2015-12-27,"DSCR",39.86,-75.84
"7","9.4","100","5","0.0",2015-12-27,"DSCR",39.86,-75.84
"8","9.8","100","36","0.0",2015-12-27,"DSCR",39.86,-75.84
"9","10.3","100","76","0.0",2015-12-27,"DSCR",39.86,-75.84
"10","11.5","100","84","0.0",2015-12-27,"DSCR",39.86,-75.84
"11","12.4","100","107","0.0",2015-12-27,"DSCR",39.86,-75.84
"12","13.1","100","94","0.0",2015-12-27,"DSCR",39.86,-75.84
"13","13.9","100","97","0.0",2015-12-27,"DSCR",39.86,-75.84
"14","14.8","100","94","0.0",2015-12-27,"DSCR",39.86,-75.84
"15","15.5","100","61","0.0",2015-12-27,"DSCR",39.86,-75.84
"16","15.8","99","11","0.0",2015-12-27,"DSCR",39.86,-75.84
"17","15.9","99","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"18","15.7","99","0","0.8",2015-12-27,"DSCR",39.86,-75.84
"19","15.4","99","0","0.3",2015-12-27,"DSCR",39.86,-75.84
"20","12.9","89","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"21","11.2","90","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"22","9.2","89","0","0.0",2015-12-27,"DSCR",39.86,-75.84
"23","7.5","83","0","0.3",2015-12-27,"DSCR",39.86,-75.84
"0","14.9","100","0","0.3",2015-12-26,"DSCR",39.86,-75.84
"1","14.6","100","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"2","13.5","100","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"3","12.8","92","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"4","11.6","76","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"5","10.6","66","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"6","10.2","65","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"7","9.9","67","4","0.0",2015-12-26,"DSCR",39.86,-75.84
"8","10.0","69","16","0.0",2015-12-26,"DSCR",39.86,-75.84
"9","10.2","62","27","0.0",2015-12-26,"DSCR",39.86,-75.84
"10","10.3","56","55","0.0",2015-12-26,"DSCR",39.86,-75.84
"11","10.3","56","92","0.0",2015-12-26,"DSCR",39.86,-75.84
"12","10.6","57","115","0.0",2015-12-26,"DSCR",39.86,-75.84
"13","10.8","59","142","0.0",2015-12-26,"DSCR",39.86,-75.84
"14","10.8","62","54","0.0",2015-12-26,"DSCR",39.86,-75.84
"15","10.8","67","24","0.0",2015-12-26,"DSCR",39.86,-75.84
"16","10.6","70","4","0.0",2015-12-26,"DSCR",39.86,-75.84
"17","10.2","73","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"18","9.5","79","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"19","8.9","88","0","0.0",2015-12-26,"DSCR",39.86,-75.84
"20","8.2","97","1","0.0",2015-12-26,"DSCR",39.86,-75.84
"21","7.8","100","1","0.0",2015-12-26,"DSCR",39.86,-75.84
"22","7.7","100","1","0.3",2015-12-26,"DSCR",39.86,-75.84
"23","7.8","100","1","0.3",2015-12-26,"DSCR",39.86,-75.84
"0","16.2","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"1","15.9","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"2","16.3","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"3","16.4","100","0","0.3",2015-12-25,"DSCR",39.86,-75.84
"4","16.3","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"5","15.9","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"6","15.6","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"7","15.3","100","11","0.0",2015-12-25,"DSCR",39.86,-75.84
"8","15.3","100","50","0.0",2015-12-25,"DSCR",39.86,-75.84
"9","15.5","100","102","0.0",2015-12-25,"DSCR",39.86,-75.84
"10","16.0","100","144","0.0",2015-12-25,"DSCR",39.86,-75.84
"11","16.6","100","213","0.0",2015-12-25,"DSCR",39.86,-75.84
"12","16.8","100","182","0.0",2015-12-25,"DSCR",39.86,-75.84
"13","16.7","100","79","0.0",2015-12-25,"DSCR",39.86,-75.84
"14","16.9","100","44","0.3",2015-12-25,"DSCR",39.86,-75.84
"15","17.0","99","23","0.0",2015-12-25,"DSCR",39.86,-75.84
"16","16.7","100","4","1.8",2015-12-25,"DSCR",39.86,-75.84
"17","16.2","100","0","3.3",2015-12-25,"DSCR",39.86,-75.84
"18","15.7","100","0","2.0",2015-12-25,"DSCR",39.86,-75.84
"19","15.7","100","0","0.8",2015-12-25,"DSCR",39.86,-75.84
"20","15.6","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"21","15.4","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
"22","15.2","100","0","0.0",2015-12-25,"DSCR",39.86,-75.84
