"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","7.8","99","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"1","7.6","99","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"2","7.8","99","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"3","7.7","99","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"4","7.2","99","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"5","7.1","98","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"6","6.6","96","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"7","6.1","92","10","0.0",2015-12-31,"DSGM",40.07,-75.78
"8","6.2","86","72","0.0",2015-12-31,"DSGM",40.07,-75.78
"9","6.8","83","153","0.0",2015-12-31,"DSGM",40.07,-75.78
"10","7.8","76","296","0.0",2015-12-31,"DSGM",40.07,-75.78
"11","7.7","74","204","0.0",2015-12-31,"DSGM",40.07,-75.78
"12","7.8","72","206","0.0",2015-12-31,"DSGM",40.07,-75.78
"13","7.7","69","266","0.0",2015-12-31,"DSGM",40.07,-75.78
"14","7.3","68","211","0.0",2015-12-31,"DSGM",40.07,-75.78
"15","6.0","67","42","0.0",2015-12-31,"DSGM",40.07,-75.78
"16","5.3","68","11","0.0",2015-12-31,"DSGM",40.07,-75.78
"17","4.7","69","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"18","4.5","72","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"19","4.2","72","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"20","3.9","70","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"21","3.2","69","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"22","2.9","69","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"23","2.7","69","0","0.0",2015-12-31,"DSGM",40.07,-75.78
"0","6.2","99","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"1","5.9","99","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"2","5.7","99","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"3","5.6","99","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"4","5.4","100","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"5","5.4","100","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"6","5.5","100","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"7","5.5","100","5","0.0",2015-12-30,"DSGM",40.07,-75.78
"8","5.6","100","32","0.0",2015-12-30,"DSGM",40.07,-75.78
"9","5.9","100","48","0.0",2015-12-30,"DSGM",40.07,-75.78
"10","6.3","100","57","0.0",2015-12-30,"DSGM",40.07,-75.78
"11","6.5","100","61","0.0",2015-12-30,"DSGM",40.07,-75.78
"12","6.7","99","46","0.0",2015-12-30,"DSGM",40.07,-75.78
"13","7.0","99","45","0.0",2015-12-30,"DSGM",40.07,-75.78
"14","7.3","99","38","0.0",2015-12-30,"DSGM",40.07,-75.78
"15","7.6","98","16","0.0",2015-12-30,"DSGM",40.07,-75.78
"16","7.6","97","3","0.0",2015-12-30,"DSGM",40.07,-75.78
"17","7.7","97","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"18","7.7","98","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"19","7.9","98","0","0.3",2015-12-30,"DSGM",40.07,-75.78
"20","8.1","99","0","1.8",2015-12-30,"DSGM",40.07,-75.78
"21","8.1","99","0","1.8",2015-12-30,"DSGM",40.07,-75.78
"22","8.0","99","0","0.3",2015-12-30,"DSGM",40.07,-75.78
"23","7.9","99","0","0.0",2015-12-30,"DSGM",40.07,-75.78
"0","2.9","98","0","2.8",2015-12-29,"DSGM",40.07,-75.78
"1","2.9","97","0","3.3",2015-12-29,"DSGM",40.07,-75.78
"2","3.0","98","0","2.5",2015-12-29,"DSGM",40.07,-75.78
"3","3.5","98","0","3.0",2015-12-29,"DSGM",40.07,-75.78
"4","3.9","99","0","3.8",2015-12-29,"DSGM",40.07,-75.78
"5","4.2","99","0","2.5",2015-12-29,"DSGM",40.07,-75.78
"6","4.6","99","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"7","4.9","99","1","1.3",2015-12-29,"DSGM",40.07,-75.78
"8","5.3","99","9","2.8",2015-12-29,"DSGM",40.07,-75.78
"9","5.3","99","31","0.5",2015-12-29,"DSGM",40.07,-75.78
"10","5.9","99","74","0.0",2015-12-29,"DSGM",40.07,-75.78
"11","6.1","99","97","0.0",2015-12-29,"DSGM",40.07,-75.78
"12","6.5","99","99","0.0",2015-12-29,"DSGM",40.07,-75.78
"13","7.1","98","122","0.0",2015-12-29,"DSGM",40.07,-75.78
"14","7.3","98","69","0.0",2015-12-29,"DSGM",40.07,-75.78
"15","7.6","98","32","0.0",2015-12-29,"DSGM",40.07,-75.78
"16","7.6","98","9","0.0",2015-12-29,"DSGM",40.07,-75.78
"17","7.3","98","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"18","7.1","98","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"19","6.8","98","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"20","6.6","98","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"21","6.5","98","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"22","6.4","99","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"23","6.3","99","0","0.0",2015-12-29,"DSGM",40.07,-75.78
"0","5.6","78","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"1","4.8","77","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"2","4.0","71","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"3","3.4","71","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"4","3.0","70","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"5","2.7","69","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"6","2.1","71","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"7","1.7","73","9","0.0",2015-12-28,"DSGM",40.07,-75.78
"8","2.3","71","42","0.0",2015-12-28,"DSGM",40.07,-75.78
"9","3.0","69","129","0.0",2015-12-28,"DSGM",40.07,-75.78
"10","3.6","66","191","0.0",2015-12-28,"DSGM",40.07,-75.78
"11","4.0","62","174","0.0",2015-12-28,"DSGM",40.07,-75.78
"12","4.1","58","105","0.0",2015-12-28,"DSGM",40.07,-75.78
"13","4.0","57","96","0.0",2015-12-28,"DSGM",40.07,-75.78
"14","4.1","60","71","0.0",2015-12-28,"DSGM",40.07,-75.78
"15","4.1","62","24","0.0",2015-12-28,"DSGM",40.07,-75.78
"16","4.1","64","3","0.0",2015-12-28,"DSGM",40.07,-75.78
"17","2.9","74","0","0.3",2015-12-28,"DSGM",40.07,-75.78
"18","2.5","71","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"19","2.6","74","0","0.0",2015-12-28,"DSGM",40.07,-75.78
"20","2.7","79","0","0.3",2015-12-28,"DSGM",40.07,-75.78
"21","2.4","92","0","0.5",2015-12-28,"DSGM",40.07,-75.78
"22","2.3","96","0","1.0",2015-12-28,"DSGM",40.07,-75.78
"23","2.5","98","0","0.5",2015-12-28,"DSGM",40.07,-75.78
"0","7.6","98","0","0.3",2015-12-27,"DSGM",40.07,-75.78
"1","7.7","98","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"2","7.8","99","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"3","8.0","99","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"4","8.2","99","0","0.3",2015-12-27,"DSGM",40.07,-75.78
"5","8.5","99","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"6","9.1","99","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"7","9.4","100","8","0.0",2015-12-27,"DSGM",40.07,-75.78
"8","10.0","100","45","0.0",2015-12-27,"DSGM",40.07,-75.78
"9","10.8","100","92","0.0",2015-12-27,"DSGM",40.07,-75.78
"10","11.4","100","84","0.0",2015-12-27,"DSGM",40.07,-75.78
"11","12.1","100","95","0.0",2015-12-27,"DSGM",40.07,-75.78
"12","13.0","100","76","0.0",2015-12-27,"DSGM",40.07,-75.78
"13","13.9","100","74","0.0",2015-12-27,"DSGM",40.07,-75.78
"14","14.8","99","92","0.0",2015-12-27,"DSGM",40.07,-75.78
"15","15.6","97","45","0.0",2015-12-27,"DSGM",40.07,-75.78
"16","15.8","96","7","0.0",2015-12-27,"DSGM",40.07,-75.78
"17","15.6","95","0","1.0",2015-12-27,"DSGM",40.07,-75.78
"18","14.7","98","0","2.0",2015-12-27,"DSGM",40.07,-75.78
"19","14.4","95","0","0.3",2015-12-27,"DSGM",40.07,-75.78
"20","11.3","91","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"21","10.0","88","0","0.3",2015-12-27,"DSGM",40.07,-75.78
"22","7.8","88","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"23","6.7","82","0","0.0",2015-12-27,"DSGM",40.07,-75.78
"0","14.5","99","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"1","14.1","99","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"2","13.0","95","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"3","12.2","84","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"4","11.0","70","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"5","10.3","64","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"6","9.9","57","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"7","9.6","58","2","0.0",2015-12-26,"DSGM",40.07,-75.78
"8","9.6","61","23","0.0",2015-12-26,"DSGM",40.07,-75.78
"9","9.9","59","51","0.0",2015-12-26,"DSGM",40.07,-75.78
"10","10.2","51","56","0.0",2015-12-26,"DSGM",40.07,-75.78
"11","10.1","50","63","0.0",2015-12-26,"DSGM",40.07,-75.78
"12","10.1","49","91","0.0",2015-12-26,"DSGM",40.07,-75.78
"13","10.2","51","91","0.0",2015-12-26,"DSGM",40.07,-75.78
"14","10.1","55","35","0.0",2015-12-26,"DSGM",40.07,-75.78
"15","10.1","58","21","0.0",2015-12-26,"DSGM",40.07,-75.78
"16","9.9","62","3","0.0",2015-12-26,"DSGM",40.07,-75.78
"17","9.8","68","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"18","9.4","72","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"19","9.1","77","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"20","8.6","84","0","0.0",2015-12-26,"DSGM",40.07,-75.78
"21","7.9","93","0","0.5",2015-12-26,"DSGM",40.07,-75.78
"22","7.6","97","0","0.5",2015-12-26,"DSGM",40.07,-75.78
"23","7.6","98","0","0.3",2015-12-26,"DSGM",40.07,-75.78
"0","14.7","98","0","0.0",2015-12-25,"DSGM",40.07,-75.78
"1","15.0","99","0","0.0",2015-12-25,"DSGM",40.07,-75.78
"2","14.2","99","0","0.0",2015-12-25,"DSGM",40.07,-75.78
"3","14.7","99","0","0.0",2015-12-25,"DSGM",40.07,-75.78
"4","15.3","99","0","0.0",2015-12-25,"DSGM",40.07,-75.78
"5","15.3","99","0","0.0",2015-12-25,"DSGM",40.07,-75.78
"6","15.8","99","0","0.3",2015-12-25,"DSGM",40.07,-75.78
"7","15.7","99","7","0.0",2015-12-25,"DSGM",40.07,-75.78
"8","15.6","99","35","0.0",2015-12-25,"DSGM",40.07,-75.78
"9","15.7","99","71","0.0",2015-12-25,"DSGM",40.07,-75.78
"10","15.8","99","154","0.0",2015-12-25,"DSGM",40.07,-75.78
"11","16.4","99","198","0.0",2015-12-25,"DSGM",40.07,-75.78
