"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","12.1","99","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"1","11.4","99","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"2","11.2","99","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"3","11.0","99","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"4","10.6","99","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"5","10.4","98","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"6","10.2","99","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"7","10.0","98","6","0.0",2015-12-31,"DSJR",39.09,-75.44
"8","9.9","94","33","0.0",2015-12-31,"DSJR",39.09,-75.44
"9","10.0","89","126","0.0",2015-12-31,"DSJR",39.09,-75.44
"10","10.4","83","157","0.0",2015-12-31,"DSJR",39.09,-75.44
"11","10.6","74","174","0.0",2015-12-31,"DSJR",39.09,-75.44
"12","10.9","71","234","0.0",2015-12-31,"DSJR",39.09,-75.44
"13","11.2","69","211","0.0",2015-12-31,"DSJR",39.09,-75.44
"14","11.5","68","145","0.0",2015-12-31,"DSJR",39.09,-75.44
"15","11.5","68","91","0.0",2015-12-31,"DSJR",39.09,-75.44
"16","10.4","68","10","0.0",2015-12-31,"DSJR",39.09,-75.44
"17","9.8","68","0","0.0",2015-12-31,"DSJR",39.09,-75.44
"18","8.1","77","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"19","7.0","76","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"20","6.0","80","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"21","5.3","83","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"22","5.1","80","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"23","5.2","76","N/A","0.0",2015-12-31,"DSJR",39.09,-75.44
"0","10.8","98","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"1","9.5","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"2","8.0","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"3","7.6","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"4","7.6","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"5","6.6","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"6","8.4","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"7","8.4","99","11","0.0",2015-12-30,"DSJR",39.09,-75.44
"8","8.8","97","40","0.0",2015-12-30,"DSJR",39.09,-75.44
"9","9.9","93","109","0.0",2015-12-30,"DSJR",39.09,-75.44
"10","10.1","92","155","0.0",2015-12-30,"DSJR",39.09,-75.44
"11","10.4","92","152","0.0",2015-12-30,"DSJR",39.09,-75.44
"12","11.0","90","150","0.0",2015-12-30,"DSJR",39.09,-75.44
"13","11.1","91","70","0.0",2015-12-30,"DSJR",39.09,-75.44
"14","11.1","92","41","0.0",2015-12-30,"DSJR",39.09,-75.44
"15","11.0","94","17","0.0",2015-12-30,"DSJR",39.09,-75.44
"16","10.8","96","2","0.0",2015-12-30,"DSJR",39.09,-75.44
"17","10.9","96","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"18","10.9","96","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
"19","10.7","99","N/A","0.0",2015-12-30,"DSJR",39.09,-75.44
