"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","8.6","100","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"1","8.4","100","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"2","8.4","100","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"3","8.5","100","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"4","7.6","100","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"5","6.8","100","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"6","7.5","97","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"7","7.4","89","8","0.0",2015-12-31,"DTDF",40.07,-75.47
"8","6.5","95","72","0.0",2015-12-31,"DTDF",40.07,-75.47
"9","8.2","82","139","0.0",2015-12-31,"DTDF",40.07,-75.47
"10","8.8","73","217","0.0",2015-12-31,"DTDF",40.07,-75.47
"11","9.0","71","141","0.0",2015-12-31,"DTDF",40.07,-75.47
"12","9.1","70","165","0.0",2015-12-31,"DTDF",40.07,-75.47
"13","9.7","65","231","0.0",2015-12-31,"DTDF",40.07,-75.47
"14","9.4","64","183","0.0",2015-12-31,"DTDF",40.07,-75.47
"15","8.1","64","58","0.0",2015-12-31,"DTDF",40.07,-75.47
"16","6.8","66","14","0.0",2015-12-31,"DTDF",40.07,-75.47
"17","5.9","70","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"18","5.8","68","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"19","5.6","69","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"20","5.2","68","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"21","5.0","69","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"22","4.6","68","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"23","4.3","69","0","0.0",2015-12-31,"DTDF",40.07,-75.47
"0","7.1","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"1","6.9","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"2","6.9","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"3","6.7","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"4","6.5","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"5","6.5","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"6","6.5","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"7","6.7","100","5","0.0",2015-12-30,"DTDF",40.07,-75.47
"8","7.0","99","31","0.0",2015-12-30,"DTDF",40.07,-75.47
"9","7.4","97","44","0.0",2015-12-30,"DTDF",40.07,-75.47
"10","7.5","95","49","0.0",2015-12-30,"DTDF",40.07,-75.47
"11","7.5","95","60","0.0",2015-12-30,"DTDF",40.07,-75.47
"12","7.8","95","51","0.0",2015-12-30,"DTDF",40.07,-75.47
"13","8.4","93","47","0.0",2015-12-30,"DTDF",40.07,-75.47
"14","9.0","91","47","0.0",2015-12-30,"DTDF",40.07,-75.47
"15","9.2","92","18","0.0",2015-12-30,"DTDF",40.07,-75.47
"16","9.0","94","4","0.0",2015-12-30,"DTDF",40.07,-75.47
"17","9.1","95","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"18","8.9","97","0","0.3",2015-12-30,"DTDF",40.07,-75.47
"19","8.9","99","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"20","9.0","100","0","0.8",2015-12-30,"DTDF",40.07,-75.47
"21","9.3","100","0","3.0",2015-12-30,"DTDF",40.07,-75.47
"22","9.2","100","0","0.5",2015-12-30,"DTDF",40.07,-75.47
"23","8.8","100","0","0.0",2015-12-30,"DTDF",40.07,-75.47
"0","3.7","100","0","2.0",2015-12-29,"DTDF",40.07,-75.47
"1","3.7","100","0","2.3",2015-12-29,"DTDF",40.07,-75.47
"2","4.0","100","0","3.3",2015-12-29,"DTDF",40.07,-75.47
"3","4.6","100","0","2.3",2015-12-29,"DTDF",40.07,-75.47
"4","5.2","100","0","3.6",2015-12-29,"DTDF",40.07,-75.47
"5","5.7","100","0","3.6",2015-12-29,"DTDF",40.07,-75.47
"6","6.0","100","0","0.5",2015-12-29,"DTDF",40.07,-75.47
"7","6.7","100","1","1.3",2015-12-29,"DTDF",40.07,-75.47
"8","6.7","100","7","4.1",2015-12-29,"DTDF",40.07,-75.47
"9","6.3","100","26","0.8",2015-12-29,"DTDF",40.07,-75.47
"10","6.3","100","71","0.0",2015-12-29,"DTDF",40.07,-75.47
"11","6.8","100","110","0.0",2015-12-29,"DTDF",40.07,-75.47
"12","7.2","100","88","0.0",2015-12-29,"DTDF",40.07,-75.47
"13","7.3","99","94","0.0",2015-12-29,"DTDF",40.07,-75.47
"14","7.5","99","75","0.0",2015-12-29,"DTDF",40.07,-75.47
"15","7.5","100","39","0.0",2015-12-29,"DTDF",40.07,-75.47
"16","7.5","100","6","0.0",2015-12-29,"DTDF",40.07,-75.47
"17","7.4","99","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"18","7.3","100","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"19","7.4","100","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"20","7.4","100","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"21","7.5","100","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"22","7.4","100","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"23","7.4","100","0","0.0",2015-12-29,"DTDF",40.07,-75.47
"0","6.2","73","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"1","5.5","72","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"2","4.9","72","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"3","4.5","74","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"4","4.1","74","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"5","3.8","71","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"6","3.2","73","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"7","2.7","76","10","0.0",2015-12-28,"DTDF",40.07,-75.47
"8","3.3","75","49","0.0",2015-12-28,"DTDF",40.07,-75.47
"9","4.3","70","152","0.0",2015-12-28,"DTDF",40.07,-75.47
"10","5.4","59","257","0.0",2015-12-28,"DTDF",40.07,-75.47
"11","5.5","56","208","0.0",2015-12-28,"DTDF",40.07,-75.47
"12","5.4","57","129","0.0",2015-12-28,"DTDF",40.07,-75.47
"13","5.3","59","101","0.0",2015-12-28,"DTDF",40.07,-75.47
"14","5.6","61","77","0.0",2015-12-28,"DTDF",40.07,-75.47
"15","5.6","63","26","0.0",2015-12-28,"DTDF",40.07,-75.47
"16","5.1","61","3","0.0",2015-12-28,"DTDF",40.07,-75.47
"17","4.3","60","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"18","4.0","72","0","0.3",2015-12-28,"DTDF",40.07,-75.47
"19","4.1","74","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"20","4.3","78","0","0.0",2015-12-28,"DTDF",40.07,-75.47
"21","3.6","93","0","0.5",2015-12-28,"DTDF",40.07,-75.47
"22","3.2","99","0","1.0",2015-12-28,"DTDF",40.07,-75.47
"23","3.4","100","0","0.5",2015-12-28,"DTDF",40.07,-75.47
"0","8.6","99","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"1","8.6","100","0","0.3",2015-12-27,"DTDF",40.07,-75.47
"2","8.7","100","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"3","9.0","100","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"4","9.2","100","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"5","9.3","100","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"6","9.6","100","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"7","10.3","100","6","0.0",2015-12-27,"DTDF",40.07,-75.47
"8","10.9","100","33","0.0",2015-12-27,"DTDF",40.07,-75.47
"9","11.7","100","72","0.0",2015-12-27,"DTDF",40.07,-75.47
"10","12.5","100","94","0.0",2015-12-27,"DTDF",40.07,-75.47
"11","13.6","98","131","0.0",2015-12-27,"DTDF",40.07,-75.47
"12","14.7","96","135","0.0",2015-12-27,"DTDF",40.07,-75.47
"13","15.3","95","108","0.0",2015-12-27,"DTDF",40.07,-75.47
"14","15.9","94","94","0.0",2015-12-27,"DTDF",40.07,-75.47
"15","16.7","92","57","0.0",2015-12-27,"DTDF",40.07,-75.47
"16","16.6","93","8","0.0",2015-12-27,"DTDF",40.07,-75.47
"17","16.1","95","0","0.3",2015-12-27,"DTDF",40.07,-75.47
"18","15.5","97","0","2.0",2015-12-27,"DTDF",40.07,-75.47
"19","14.5","95","0","0.3",2015-12-27,"DTDF",40.07,-75.47
"20","10.9","88","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"21","9.8","87","0","0.3",2015-12-27,"DTDF",40.07,-75.47
"22","8.3","85","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"23","7.3","77","0","0.0",2015-12-27,"DTDF",40.07,-75.47
"0","15.6","100","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"1","15.3","100","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"2","14.0","89","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"3","12.7","77","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"4","11.6","76","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"5","11.1","73","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"6","10.9","70","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"7","10.9","64","2","0.0",2015-12-26,"DTDF",40.07,-75.47
"8","11.0","60","19","0.0",2015-12-26,"DTDF",40.07,-75.47
"9","11.3","51","57","0.0",2015-12-26,"DTDF",40.07,-75.47
"10","11.3","46","69","0.0",2015-12-26,"DTDF",40.07,-75.47
"11","11.3","48","64","0.0",2015-12-26,"DTDF",40.07,-75.47
"12","11.4","49","90","0.0",2015-12-26,"DTDF",40.07,-75.47
"13","11.4","52","79","0.0",2015-12-26,"DTDF",40.07,-75.47
"14","11.8","58","41","0.0",2015-12-26,"DTDF",40.07,-75.47
"15","11.7","64","22","0.0",2015-12-26,"DTDF",40.07,-75.47
"16","11.1","65","2","0.0",2015-12-26,"DTDF",40.07,-75.47
"17","10.6","69","0","0.0",2015-12-26,"DTDF",40.07,-75.47
"18","10.2","75","0","0.0",2015-12-26,"DTDF",40.07,-75.47
