"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","9.0","98","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"1","8.9","98","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"2","9.0","98","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"3","9.0","98","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"4","8.5","97","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"5","7.9","97","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"6","8.1","93","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"7","7.8","88","7","0.0",2015-12-31,"DWCC",39.73,-75.73
"8","7.6","85","38","0.0",2015-12-31,"DWCC",39.73,-75.73
"9","7.8","82","133","0.0",2015-12-31,"DWCC",39.73,-75.73
"10","8.2","77","109","0.0",2015-12-31,"DWCC",39.73,-75.73
"11","9.1","72","327","0.0",2015-12-31,"DWCC",39.73,-75.73
"12","10.0","67","445","0.0",2015-12-31,"DWCC",39.73,-75.73
"13","9.6","67","291","0.0",2015-12-31,"DWCC",39.73,-75.73
"14","9.3","66","226","0.0",2015-12-31,"DWCC",39.73,-75.73
"15","8.2","68","94","0.0",2015-12-31,"DWCC",39.73,-75.73
"16","6.7","70","17","0.0",2015-12-31,"DWCC",39.73,-75.73
"17","5.7","71","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"18","5.1","71","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"19","4.8","70","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"20","4.6","72","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"21","4.4","71","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"22","4.1","70","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"23","3.7","69","0","0.0",2015-12-31,"DWCC",39.73,-75.73
"0","6.7","98","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"1","6.7","98","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"2","6.7","98","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"3","6.9","99","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"4","7.0","99","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"5","7.1","98","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"6","7.1","98","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"7","7.1","98","6","0.0",2015-12-30,"DWCC",39.73,-75.73
"8","7.3","96","41","0.0",2015-12-30,"DWCC",39.73,-75.73
"9","7.6","93","66","0.0",2015-12-30,"DWCC",39.73,-75.73
"10","7.7","92","83","0.0",2015-12-30,"DWCC",39.73,-75.73
"11","7.8","93","71","0.0",2015-12-30,"DWCC",39.73,-75.73
"12","8.1","94","62","0.0",2015-12-30,"DWCC",39.73,-75.73
"13","8.5","93","66","0.0",2015-12-30,"DWCC",39.73,-75.73
"14","8.9","92","58","0.0",2015-12-30,"DWCC",39.73,-75.73
"15","8.9","92","16","0.0",2015-12-30,"DWCC",39.73,-75.73
"16","8.9","94","4","0.0",2015-12-30,"DWCC",39.73,-75.73
"17","8.9","95","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"18","8.9","97","0","0.3",2015-12-30,"DWCC",39.73,-75.73
"19","9.0","98","0","0.0",2015-12-30,"DWCC",39.73,-75.73
"20","9.1","98","0","0.8",2015-12-30,"DWCC",39.73,-75.73
