"Hour","Temp                  
(°C)","Rel Hum.                  
(%)","Sol. Rad.                  
(W.m                  -2
)","Rainfall                  
(mm)","Date","Station","Latitude","Longitude"
"0","8.3","99","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"1","8.2","99","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"2","8.3","99","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"3","8.4","99","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"4","7.2","99","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"5","7.9","95","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"6","7.8","90","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"7","7.2","83","9","0.0",2015-12-31,"DWPK",40.09,-75.62
"8","7.3","80","68","0.0",2015-12-31,"DWPK",40.09,-75.62
"9","7.9","77","160","0.0",2015-12-31,"DWPK",40.09,-75.62
"10","8.4","71","227","0.0",2015-12-31,"DWPK",40.09,-75.62
"11","8.4","71","135","0.0",2015-12-31,"DWPK",40.09,-75.62
"12","8.7","69","169","0.0",2015-12-31,"DWPK",40.09,-75.62
"13","9.1","65","221","0.0",2015-12-31,"DWPK",40.09,-75.62
"14","8.5","64","193","0.0",2015-12-31,"DWPK",40.09,-75.62
"15","7.3","64","68","0.0",2015-12-31,"DWPK",40.09,-75.62
"16","6.2","66","12","0.0",2015-12-31,"DWPK",40.09,-75.62
"17","5.4","69","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"18","5.4","67","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"19","5.1","67","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"20","4.8","66","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"21","4.4","66","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"22","4.0","67","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"23","3.8","68","0","0.0",2015-12-31,"DWPK",40.09,-75.62
"0","6.9","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"1","6.7","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"2","6.5","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"3","6.4","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"4","6.2","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"5","6.2","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"6","6.3","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"7","6.5","99","5","0.0",2015-12-30,"DWPK",40.09,-75.62
"8","6.7","99","31","0.0",2015-12-30,"DWPK",40.09,-75.62
"9","7.1","96","48","0.0",2015-12-30,"DWPK",40.09,-75.62
"10","7.5","95","54","0.0",2015-12-30,"DWPK",40.09,-75.62
"11","7.5","93","61","0.0",2015-12-30,"DWPK",40.09,-75.62
"12","7.7","93","47","0.0",2015-12-30,"DWPK",40.09,-75.62
"13","8.0","94","45","0.0",2015-12-30,"DWPK",40.09,-75.62
"14","8.6","92","39","0.0",2015-12-30,"DWPK",40.09,-75.62
"15","8.8","93","16","0.0",2015-12-30,"DWPK",40.09,-75.62
"16","8.8","93","4","0.0",2015-12-30,"DWPK",40.09,-75.62
"17","8.7","95","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"18","8.3","98","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"19","8.6","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"20","9.0","99","0","0.5",2015-12-30,"DWPK",40.09,-75.62
"21","8.8","99","0","3.0",2015-12-30,"DWPK",40.09,-75.62
"22","8.6","99","0","0.5",2015-12-30,"DWPK",40.09,-75.62
"23","8.4","99","0","0.0",2015-12-30,"DWPK",40.09,-75.62
"0","3.6","96","0","2.8",2015-12-29,"DWPK",40.09,-75.62
"1","3.6","97","0","3.8",2015-12-29,"DWPK",40.09,-75.62
"2","3.8","98","0","4.6",2015-12-29,"DWPK",40.09,-75.62
"3","4.3","98","0","2.8",2015-12-29,"DWPK",40.09,-75.62
"4","4.7","99","0","4.1",2015-12-29,"DWPK",40.09,-75.62
"5","4.9","99","0","2.5",2015-12-29,"DWPK",40.09,-75.62
"6","4.8","99","0","0.3",2015-12-29,"DWPK",40.09,-75.62
"7","4.6","99","1","1.3",2015-12-29,"DWPK",40.09,-75.62
"8","5.3","99","7","2.5",2015-12-29,"DWPK",40.09,-75.62
"9","5.8","99","31","0.8",2015-12-29,"DWPK",40.09,-75.62
"10","5.9","99","51","0.3",2015-12-29,"DWPK",40.09,-75.62
"11","6.4","99","91","0.0",2015-12-29,"DWPK",40.09,-75.62
"12","6.9","99","80","0.0",2015-12-29,"DWPK",40.09,-75.62
"13","6.8","99","84","0.0",2015-12-29,"DWPK",40.09,-75.62
"14","7.0","99","66","0.0",2015-12-29,"DWPK",40.09,-75.62
"15","7.0","99","26","0.0",2015-12-29,"DWPK",40.09,-75.62
"16","6.9","99","5","0.0",2015-12-29,"DWPK",40.09,-75.62
"17","6.9","99","0","0.0",2015-12-29,"DWPK",40.09,-75.62
"18","6.9","99","0","0.0",2015-12-29,"DWPK",40.09,-75.62
