"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DCHI",39.73,-75.52,"DEOS",108,456,2592,0.270833333333333,45.3333333333333,0
"2015-01-02","DCHI",39.73,-75.52,"DEOS",65.0833333333333,317,1562,1.2125,56,0
"2015-01-03","DCHI",39.73,-75.52,"DEOS",13.25,78,318,1.77916666666667,83.6666666666667,14.5
"2015-01-04","DCHI",39.73,-75.52,"DEOS",14.8333333333333,64,356,8.59583333333333,91.7916666666667,8.1
"2015-01-05","DCHI",39.73,-75.52,"DEOS",99.5,437,2388,1.55833333333333,42.1666666666667,0
"2015-01-06","DCHI",39.73,-75.52,"DEOS",27.5833333333333,146,662,-6.41666666666667,76.8333333333333,0
"2015-01-07","DCHI",39.73,-75.52,"DEOS",87.9166666666667,512,2110,-7.8375,59.0833333333333,0
"2015-01-08","DCHI",39.73,-75.52,"DEOS",114.25,479,2742,-10.3708333333333,44.8333333333333,0
"2015-01-09","DCHI",39.73,-75.52,"DEOS",90.9583333333333,523,2183,-2.64583333333333,44.3333333333333,0
"2015-01-10","DCHI",39.73,-75.52,"DEOS",120.916666666667,493,2902,-8.20416666666667,42.5,0
"2015-01-11","DCHI",39.73,-75.52,"DEOS",111.791666666667,489,2683,-3.53333333333333,59.9583333333333,0
"2015-01-12","DCHI",39.73,-75.52,"DEOS",10.8333333333333,46,260,1.19166666666667,87.9166666666667,16.8
"2015-01-13","DCHI",39.73,-75.52,"DEOS",114.458333333333,495,2747,-1.7875,52.0416666666667,0
"2015-01-14","DCHI",39.73,-75.52,"DEOS",58.0416666666667,310,1393,-3.625,66,0
"2015-01-15","DCHI",39.73,-75.52,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-16","DCHI",39.73,-75.52,"DEOS",100.375,494,2409,-0.0333333333333333,61.6666666666667,0
"2015-01-17","DCHI",39.73,-75.52,"DEOS",121.208333333333,495,2909,-4.2375,48.5833333333333,0
"2015-01-18","DCHI",39.73,-75.52,"DEOS",5.5,22,132,1.02916666666667,91.875,41.3
