"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DCLY",39.81,-75.46,"DEOS",96.7916666666667,457,2323,0.479166666666667,45.7083333333333,0
"2015-01-02","DCLY",39.81,-75.46,"DEOS",67.8333333333333,321,1628,1.90833333333333,54.375,0
"2015-01-03","DCLY",39.81,-75.46,"DEOS",13.2083333333333,95,317,1.56666666666667,86.5416666666667,19.9
"2015-01-04","DCLY",39.81,-75.46,"DEOS",16.3333333333333,71,392,8.5125,94.8333333333333,8.1
"2015-01-05","DCLY",39.81,-75.46,"DEOS",92.2916666666667,432,2215,1.36666666666667,43.7916666666667,0
"2015-01-06","DCLY",39.81,-75.46,"DEOS",27,134,648,-6.99583333333333,80.625,0
"2015-01-07","DCLY",39.81,-75.46,"DEOS",97.625,530,2343,-8.075,60.375,0.3
"2015-01-08","DCLY",39.81,-75.46,"DEOS",104.791666666667,478,2515,-10.475,47.9583333333333,0
"2015-01-09","DCLY",39.81,-75.46,"DEOS",92.6666666666667,507,2224,-2.74166666666667,48.4583333333333,0.6
"2015-01-10","DCLY",39.81,-75.46,"DEOS",110.541666666667,492,2653,-8.7375,49.2916666666667,0
"2015-01-11","DCLY",39.81,-75.46,"DEOS",105.583333333333,475,2534,-4.11666666666667,66.5,0
"2015-01-12","DCLY",39.81,-75.46,"DEOS",11.0416666666667,47,265,1.18333333333333,93.125,17.4
"2015-01-13","DCLY",39.81,-75.46,"DEOS",106.041666666667,492,2545,-2.10416666666667,54.0833333333333,0
"2015-01-14","DCLY",39.81,-75.46,"DEOS",54,255,1296,-3.90833333333333,67.9583333333333,0
"2015-01-15","DCLY",39.81,-75.46,"DEOS",69.4583333333333,334,1667,-1.39583333333333,70.1666666666667,0
"2015-01-16","DCLY",39.81,-75.46,"DEOS",88.2083333333333,426,2117,0.0333333333333333,62.9166666666667,0
"2015-01-17","DCLY",39.81,-75.46,"DEOS",112,493,2688,-4.6125,51.2083333333333,0
"2015-01-18","DCLY",39.81,-75.46,"DEOS",6.375,28,153,0.466666666666667,96.2083333333333,47.7
"2015-01-19","DCLY",39.81,-75.46,"DEOS",85.4166666666667,514,2050,2.76666666666667,72.2916666666667,0.3
"2015-01-20","DCLY",39.81,-75.46,"DEOS",63.0833333333333,284,1514,1.7875,76.7916666666667,0
"2015-01-21","DCLY",39.81,-75.46,"DEOS",33.5416666666667,200,805,-1.79166666666667,85.5,0
"2015-01-22","DCLY",39.81,-75.46,"DEOS",49,366,1176,0.879166666666667,85.625,1.5
"2015-01-23","DCLY",39.81,-75.46,"DEOS",87.6666666666667,393,2104,-0.345833333333333,85.25,0
"2015-01-24","DCLY",39.81,-75.46,"DEOS",35.9583333333333,184,863,1.20833333333333,91.5833333333333,20.2
"2015-01-25","DCLY",39.81,-75.46,"DEOS",86.5833333333333,474,2078,3.52083333333333,74.5833333333333,0.6
"2015-01-26","DCLY",39.81,-75.46,"DEOS",30.875,150,741,-2.20833333333333,84.2916666666667,0
"2015-01-27","DCLY",39.81,-75.46,"DEOS",100.625,524,2415,-2.4125,62.4166666666667,0.5
"2015-01-28","DCLY",39.81,-75.46,"DEOS",131.125,556,3147,-4.00833333333333,41.2083333333333,0
"2015-01-29","DCLY",39.81,-75.46,"DEOS",64.9166666666667,300,1558,-2.9125,57.4166666666667,0
"2015-01-30","DCLY",39.81,-75.46,"DEOS",100.083333333333,581,2402,-0.0583333333333333,63.3333333333333,0.3
