"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DGRN",39.8,-75.61,"DEOS",100.166666666667,426,2404,0.183333333333333,42.0833333333333,0
"2015-01-02","DGRN",39.8,-75.61,"DEOS",66.3333333333333,308,1592,2.3625,48.25,0
"2015-01-03","DGRN",39.8,-75.61,"DEOS",12.875,80,309,1.72916666666667,82.875,20.7
"2015-01-04","DGRN",39.8,-75.61,"DEOS",13.0833333333333,60,314,8.35,93.875,10.1
"2015-01-05","DGRN",39.8,-75.61,"DEOS",98.75,452,2370,0.504166666666667,46.3333333333333,0
"2015-01-06","DGRN",39.8,-75.61,"DEOS",33.75,178,810,-7.22916666666667,82.9166666666667,0
"2015-01-07","DGRN",39.8,-75.61,"DEOS",78.6666666666667,372,1888,-8.5375,61.5833333333333,0
"2015-01-08","DGRN",39.8,-75.61,"DEOS",104.833333333333,449,2516,-11.5208333333333,49.0833333333333,0
"2015-01-09","DGRN",39.8,-75.61,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-10","DGRN",39.8,-75.61,"DEOS",112.958333333333,462,2711,-8.96666666666667,44.4166666666667,0
"2015-01-11","DGRN",39.8,-75.61,"DEOS",106.333333333333,457,2552,-3.30833333333333,53.0833333333333,0
"2015-01-12","DGRN",39.8,-75.61,"DEOS",9.91666666666667,43,238,0.658333333333333,92.4583333333333,18.4
"2015-01-13","DGRN",39.8,-75.61,"DEOS",107.291666666667,462,2575,-2.925,58.8333333333333,0.3
"2015-01-14","DGRN",39.8,-75.61,"DEOS",48.7083333333333,235,1169,-4.7125,71.5,0
"2015-01-15","DGRN",39.8,-75.61,"DEOS",91.875,390,2205,-1.57083333333333,68.2916666666667,0
"2015-01-16","DGRN",39.8,-75.61,"DEOS",98.25,462,2358,-0.0791666666666667,60.4166666666667,0
"2015-01-17","DGRN",39.8,-75.61,"DEOS",113.916666666667,464,2734,-4.80416666666667,52.7916666666667,0
"2015-01-18","DGRN",39.8,-75.61,"DEOS",6.25,26,150,1.66666666666667,96.3333333333333,42.6
"2015-01-19","DGRN",39.8,-75.61,"DEOS",78.4583333333333,394,1883,2.77083333333333,69.3333333333333,0
"2015-01-20","DGRN",39.8,-75.61,"DEOS",60.375,273,1449,1.88333333333333,73.0416666666667,0
"2015-01-21","DGRN",39.8,-75.61,"DEOS",30.25,152,726,-2.1875,86.4583333333333,0
"2015-01-22","DGRN",39.8,-75.61,"DEOS",37.875,243,909,0.166666666666667,87.625,1.8
"2015-01-23","DGRN",39.8,-75.61,"DEOS",87.1666666666667,394,2092,0.1625,78.25,0
"2015-01-24","DGRN",39.8,-75.61,"DEOS",28.8333333333333,140,692,0.825,92.125,21.1
"2015-01-25","DGRN",39.8,-75.61,"DEOS",81.25,431,1950,2.99166666666667,75.4166666666667,0.6
"2015-01-26","DGRN",39.8,-75.61,"DEOS",28.4583333333333,146,683,-2.90416666666667,87.125,0
"2015-01-27","DGRN",39.8,-75.61,"DEOS",109.041666666667,493,2617,-2.9375,65.5,1.1
"2015-01-28","DGRN",39.8,-75.61,"DEOS",134.75,527,3234,-4.675,44,0
"2015-01-29","DGRN",39.8,-75.61,"DEOS",65.7916666666667,289,1579,-3.10416666666667,53.2083333333333,0
"2015-01-30","DGRN",39.8,-75.61,"DEOS",93.7083333333333,435,2249,-1.02083333333333,67.4166666666667,0.6
"2015-01-31","DGRN",39.8,-75.61,"DEOS",136.291666666667,529,3271,-7.40833333333333,51.5,0
"2015-02-01","DGRN",39.8,-75.61,"DEOS",71.25,380,1710,-1.35416666666667,63.9166666666667,0
"2015-02-02","DGRN",39.8,-75.61,"DEOS",23.375,142,561,-0.354166666666667,86.8333333333333,24.7
"2015-02-03","DGRN",39.8,-75.61,"DEOS",130.333333333333,543,3128,-5.74166666666667,53.0416666666667,0
"2015-02-04","DGRN",39.8,-75.61,"DEOS",121.333333333333,541,2912,1.0625,60.0416666666667,0
"2015-02-05","DGRN",39.8,-75.61,"DEOS",89.4583333333333,404,2147,-2.44166666666667,53.4583333333333,0
"2015-02-06","DGRN",39.8,-75.61,"DEOS",108.083333333333,441,2594,-6.025,46.5833333333333,0
"2015-02-07","DGRN",39.8,-75.61,"DEOS",101.708333333333,472,2441,0.233333333333333,49.5833333333333,0
"2015-02-08","DGRN",39.8,-75.61,"DEOS",75.875,350,1821,4.15833333333333,63.4166666666667,0
"2015-02-09","DGRN",39.8,-75.61,"DEOS",13.7916666666667,58,331,-1.4625,98.4166666666667,0
"2015-02-10","DGRN",39.8,-75.61,"DEOS",106.75,518,2562,-1.13333333333333,83.0416666666667,1.1
