"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DMIL",38.88,-75.44,"DEOS",107.333333333333,443,2576,0.0458333333333333,59.7916666666667,0
"2015-01-02","DMIL",38.88,-75.44,"DEOS",69.75,339,1674,2.72916666666667,61.5,0
"2015-01-03","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-04","DMIL",38.88,-75.44,"DEOS",34.6666666666667,245,832,13.3708333333333,84.7916666666667,1.9
"2015-01-05","DMIL",38.88,-75.44,"DEOS",108.416666666667,445,2602,3.50416666666667,39.7916666666667,0
"2015-01-06","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-07","DMIL",38.88,-75.44,"DEOS",69.5416666666667,421,1669,-6.48333333333333,60,0
"2015-01-08","DMIL",38.88,-75.44,"DEOS",115.791666666667,467,2779,-9.575,46.2083333333333,0
"2015-01-09","DMIL",38.88,-75.44,"DEOS",84.9583333333333,471,2039,-1.80416666666667,44.5833333333333,0
"2015-01-10","DMIL",38.88,-75.44,"DEOS",119.666666666667,487,2872,-7.1375,45.125,0
"2015-01-11","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-12","DMIL",38.88,-75.44,"DEOS",10.75,50,258,2.65416666666667,87.5416666666667,19.8
"2015-01-13","DMIL",38.88,-75.44,"DEOS",67.9166666666667,395,1630,-0.425,64.4166666666667,0.3
"2015-01-14","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-15","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-16","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-17","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-18","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-19","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-20","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-21","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-22","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-23","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-24","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-25","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-26","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-27","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-28","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-29","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-30","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-01-31","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-01","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-02","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-03","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-04","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-05","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-06","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-07","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-08","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-09","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-10","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-11","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-12","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-13","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-14","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-15","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-16","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-17","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-18","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-19","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-20","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-21","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-22","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-23","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-24","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-25","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-26","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-27","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-02-28","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-01","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-02","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-03","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-04","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-05","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-06","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-07","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-08","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-09","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-10","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-11","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-12","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-13","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-14","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-15","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-16","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-17","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-18","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-19","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-20","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-21","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-22","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-23","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-24","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-25","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-26","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-27","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-28","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
"2015-03-29","DMIL",38.88,-75.44,"DEOS",NA,NA,NA,NA,NA,NA
