"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.0416666666666667,64.25,0
"2015-01-02","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,2.10416666666667,64.375,0
"2015-01-03","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,3.17083333333333,NA,12.9
"2015-01-04","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,12.7833333333333,NA,3.8
"2015-01-05","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,3.22083333333333,43.7083333333333,0
"2015-01-06","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-5.25,79.4583333333333,0
"2015-01-07","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-6.7375,64.4166666666667,0
"2015-01-08","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-9.4875,50.8333333333333,0
"2015-01-09","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-1.70833333333333,43.8333333333333,0
"2015-01-10","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-7.19166666666667,48.9166666666667,0
"2015-01-11","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-2.70833333333333,65.0416666666667,0
"2015-01-12","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,2.13333333333333,NA,27.9
"2015-01-13","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-0.5,66.5,0
"2015-01-14","DSJR",39.09,-75.44,"DEOS",50.0833333333333,250,1202,-1.8875,79.875,0.8
"2015-01-15","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-0.570833333333333,73.125,0
"2015-01-16","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,1.1875,67.0833333333333,0
"2015-01-17","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-3.28333333333333,59.3333333333333,0
"2015-01-18","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,4.33333333333333,NA,42.9
"2015-01-19","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,2.44166666666667,NA,0
"2015-01-20","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,1.25416666666667,81.4166666666667,0
"2015-01-21","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-0.695833333333333,88.2083333333333,0
"2015-01-22","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.429166666666667,92.375,4.6
"2015-01-23","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.554166666666667,86.25,7.4
"2015-01-24","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,1.82916666666667,NA,30.2
"2015-01-25","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,4.9375,71.2916666666667,0
"2015-01-26","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.995833333333333,89.125,8.3
"2015-01-27","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,NA,NA,0.5
"2015-01-28","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-3.24583333333333,47,0
"2015-01-29","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-2.24583333333333,68.875,0.3
"2015-01-30","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,1.64166666666667,57.25,0
"2015-01-31","DSJR",39.09,-75.44,"DEOS",140.541666666667,585,3373,-5.45,50,0
"2015-02-01","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-0.954166666666667,71.8333333333333,2.3
"2015-02-02","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,4.45,NA,21.9
"2015-02-03","DSJR",39.09,-75.44,"DEOS",135.125,614,3243,-4.175,54,0
"2015-02-04","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,2.44583333333333,63.7083333333333,0
"2015-02-05","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-0.783333333333333,56.125,0
"2015-02-06","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-4.25833333333333,50.8333333333333,0
"2015-02-07","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.504166666666667,65.2083333333333,0
"2015-02-08","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,4.82916666666667,66.6666666666667,0
"2015-02-09","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.829166666666667,NA,0
"2015-02-10","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.2125,82,0
"2015-02-11","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-0.341666666666667,68.9583333333333,0
"2015-02-12","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,0.00833333333333329,70.5416666666667,0
"2015-02-13","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-7.64583333333333,50.4166666666667,0
"2015-02-14","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-2.3625,68.0416666666667,0
"2015-02-15","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-10.7125,45.4166666666667,0
"2015-02-16","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-11.3875,54.375,0
"2015-02-17","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-7.94583333333333,80.8333333333333,4.1
"2015-02-18","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-6.87916666666667,68.4583333333333,0
"2015-02-19","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-9.24166666666667,45.4166666666667,0
"2015-02-20","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-13.1,47.1666666666667,0
"2015-02-21","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-6.36666666666667,NA,0.3
"2015-02-22","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,1.78333333333333,NA,3.3
"2015-02-23","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-2.00833333333333,53.375,0
"2015-02-24","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-7.75416666666667,61.7083333333333,0
"2015-02-25","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-2.17916666666667,68.5,0
"2015-02-26","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-2.275,80.3333333333333,0.8
"2015-02-27","DSJR",39.09,-75.44,"DEOS",NA,NA,NA,-4.525,74.9166666666667,0
