"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DWCC",39.73,-75.73,"DEOS",6.75,62,162,0.6625,41.1666666666667,0
"2015-01-02","DWCC",39.73,-75.73,"DEOS",12.2916666666667,149,295,2.1125,49.75,0
"2015-01-03","DWCC",39.73,-75.73,"DEOS",8.79166666666667,84,211,1.675,82.8333333333333,16.9
"2015-01-04","DWCC",39.73,-75.73,"DEOS",10.5833333333333,63,254,8.36666666666667,93.5,9.6
"2015-01-05","DWCC",39.73,-75.73,"DEOS",42.625,307,1023,0.6625,47.1666666666667,0
"2015-01-06","DWCC",39.73,-75.73,"DEOS",0,0,0,-7.09583333333333,81.0416666666667,0
"2015-01-07","DWCC",39.73,-75.73,"DEOS",8.66666666666667,107,208,-8.44583333333333,58.875,0
"2015-01-08","DWCC",39.73,-75.73,"DEOS",16.1666666666667,206,388,-11.275,47.9583333333333,0
"2015-01-09","DWCC",39.73,-75.73,"DEOS",54.4583333333333,453,1307,-3.4125,47.125,0.5
"2015-01-10","DWCC",39.73,-75.73,"DEOS",0,0,0,-9.10833333333333,43.4166666666667,0
"2015-01-11","DWCC",39.73,-75.73,"DEOS",72.1666666666667,395,1732,-4.225,58.5833333333333,0
"2015-01-12","DWCC",39.73,-75.73,"DEOS",0.25,6,6,0.895833333333333,90.6666666666667,15.4
"2015-01-13","DWCC",39.73,-75.73,"DEOS",22.4166666666667,388,538,-2.72083333333333,54.6666666666667,0
"2015-01-14","DWCC",39.73,-75.73,"DEOS",8,73,192,-4.325,69.1666666666667,0
"2015-01-15","DWCC",39.73,-75.73,"DEOS",48,405,1152,-1.4625,67.625,0
"2015-01-16","DWCC",39.73,-75.73,"DEOS",39.8333333333333,229,956,0.125,60.2916666666667,0
"2015-01-17","DWCC",39.73,-75.73,"DEOS",58.4583333333333,422,1403,-4.44583333333333,52.5833333333333,0
"2015-01-18","DWCC",39.73,-75.73,"DEOS",0.333333333333333,8,8,1.275,93.8333333333333,35.1
"2015-01-19","DWCC",39.73,-75.73,"DEOS",37.7916666666667,474,907,2.7125,69.4166666666667,0.3
"2015-01-20","DWCC",39.73,-75.73,"DEOS",31.3333333333333,251,752,1.84583333333333,72.5,0
"2015-01-21","DWCC",39.73,-75.73,"DEOS",0.583333333333333,14,14,-1.83333333333333,84.2916666666667,0
"2015-01-22","DWCC",39.73,-75.73,"DEOS",1.29166666666667,14,31,0.329166666666667,84.4166666666667,1.3
"2015-01-23","DWCC",39.73,-75.73,"DEOS",9.45833333333333,56,227,0.420833333333333,75.9166666666667,0.5
"2015-01-24","DWCC",39.73,-75.73,"DEOS",0,0,0,1.00833333333333,89.7083333333333,19.3
"2015-01-25","DWCC",39.73,-75.73,"DEOS",64.1666666666667,420,1540,3.30833333333333,73.875,0.3
"2015-01-26","DWCC",39.73,-75.73,"DEOS",0.333333333333333,4,8,-2.3,84.7916666666667,0
