"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DWPK",40.09,-75.62,"DEOS",89.2083333333333,405,2141,-0.570833333333333,45.8333333333333,0
"2015-01-02","DWPK",40.09,-75.62,"DEOS",70,305,1680,-0.15,62.0833333333333,0
"2015-01-03","DWPK",40.09,-75.62,"DEOS",15.5,143,372,-1.6875,96.3333333333333,10.7
"2015-01-04","DWPK",40.09,-75.62,"DEOS",12.8333333333333,55,308,7.29583333333333,95.2083333333333,6.4
"2015-01-05","DWPK",40.09,-75.62,"DEOS",89.4166666666667,428,2146,-0.1,44.5,0
"2015-01-06","DWPK",40.09,-75.62,"DEOS",20.1666666666667,114,484,-8.44583333333333,81.25,0
"2015-01-07","DWPK",40.09,-75.62,"DEOS",79.2916666666667,398,1903,-9.325,60.6666666666667,0
"2015-01-08","DWPK",40.09,-75.62,"DEOS",91.1666666666667,419,2188,-11.8833333333333,50.9583333333333,0
"2015-01-09","DWPK",40.09,-75.62,"DEOS",79.5833333333333,443,1910,-4.2875,51.4583333333333,0.8
"2015-01-10","DWPK",40.09,-75.62,"DEOS",100.166666666667,436,2404,-10.3041666666667,50.6666666666667,0
"2015-01-11","DWPK",40.09,-75.62,"DEOS",96.375,415,2313,-4.7125,61.8333333333333,0
"2015-01-12","DWPK",40.09,-75.62,"DEOS",11.125,52,267,0.754166666666667,95.5,14.6
"2015-01-13","DWPK",40.09,-75.62,"DEOS",97.75,440,2346,-3.87916666666667,56.7916666666667,0.3
"2015-01-14","DWPK",40.09,-75.62,"DEOS",44.375,217,1065,-5.97916666666667,70.4166666666667,0
"2015-01-15","DWPK",40.09,-75.62,"DEOS",65.7083333333333,315,1577,-2.41666666666667,73.7083333333333,0
"2015-01-16","DWPK",40.09,-75.62,"DEOS",85.1666666666667,423,2044,-0.845833333333333,60.7083333333333,0
"2015-01-17","DWPK",40.09,-75.62,"DEOS",98.875,440,2373,-5.425,54.2083333333333,0
"2015-01-18","DWPK",40.09,-75.62,"DEOS",7.70833333333333,43,185,-0.920833333333333,97.9583333333333,27.7
"2015-01-19","DWPK",40.09,-75.62,"DEOS",59.5416666666667,367,1429,2.65833333333333,70.9166666666667,0
"2015-01-20","DWPK",40.09,-75.62,"DEOS",56,279,1344,0.645833333333333,84.2083333333333,0.3
"2015-01-21","DWPK",40.09,-75.62,"DEOS",35.6666666666667,146,856,-3.40416666666667,89.1666666666667,0
"2015-01-22","DWPK",40.09,-75.62,"DEOS",29.3333333333333,166,704,0.025,90.0416666666667,1.3
"2015-01-23","DWPK",40.09,-75.62,"DEOS",82.7916666666667,426,1987,-0.854166666666667,83.7083333333333,0
"2015-01-24","DWPK",40.09,-75.62,"DEOS",25.8333333333333,122,620,0.770833333333333,91.8333333333333,13.5
"2015-01-25","DWPK",40.09,-75.62,"DEOS",72.5,390,1740,2.55,78.375,4.2
"2015-01-26","DWPK",40.09,-75.62,"DEOS",39.2916666666667,160,943,-4.5125,94.75,0
"2015-01-27","DWPK",40.09,-75.62,"DEOS",94.7916666666667,471,2275,-3.6125,64.2083333333333,2.1
"2015-01-28","DWPK",40.09,-75.62,"DEOS",120.125,503,2883,-5.8625,44.75,0
"2015-01-29","DWPK",40.09,-75.62,"DEOS",61.75,290,1482,-5.65,65.6666666666667,0
"2015-01-30","DWPK",40.09,-75.62,"DEOS",77.875,340,1869,-1.33333333333333,67.7083333333333,0.3
"2015-01-31","DWPK",40.09,-75.62,"DEOS",121.541666666667,504,2917,-7.70833333333333,50.1666666666667,0
