"Date","Station","Latitude","Longitude","Data_source","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01","DWWK",40.16,-75.73,"DEOS",80.9583333333333,408,1943,-0.804166666666667,45.0416666666667,0
"2015-01-02","DWWK",40.16,-75.73,"DEOS",64.6666666666667,326,1552,-0.0625,58.8333333333333,0
"2015-01-03","DWWK",40.16,-75.73,"DEOS",15.6666666666667,117,376,-1.375,NA,16.7
"2015-01-04","DWWK",40.16,-75.73,"DEOS",13.625,57,327,7.27083333333333,NA,7
"2015-01-05","DWWK",40.16,-75.73,"DEOS",86.7916666666667,441,2083,-0.416666666666667,43.25,0.3
"2015-01-06","DWWK",40.16,-75.73,"DEOS",14.6666666666667,78,352,-8.22083333333333,79.0416666666667,0
"2015-01-07","DWWK",40.16,-75.73,"DEOS",53.6666666666667,410,1288,-9.6,60.0833333333333,0
"2015-01-08","DWWK",40.16,-75.73,"DEOS",87.75,430,2106,-12.2125,51.0416666666667,0
"2015-01-09","DWWK",40.16,-75.73,"DEOS",88.0416666666667,447,2113,-4.525,49.4166666666667,1.6
"2015-01-10","DWWK",40.16,-75.73,"DEOS",93.875,441,2253,-10.275,46.7916666666667,0
"2015-01-11","DWWK",40.16,-75.73,"DEOS",93.3333333333333,424,2240,-4.53333333333333,55.3333333333333,0
"2015-01-12","DWWK",40.16,-75.73,"DEOS",11.7916666666667,58,283,1.00416666666667,95,16.3
"2015-01-13","DWWK",40.16,-75.73,"DEOS",94.3333333333333,448,2264,-4.12916666666667,54.9166666666667,0
"2015-01-14","DWWK",40.16,-75.73,"DEOS",37.7916666666667,190,907,-5.97916666666667,67.7083333333333,0
"2015-01-15","DWWK",40.16,-75.73,"DEOS",70.75,317,1698,-2.30833333333333,69.4166666666667,0
"2015-01-16","DWWK",40.16,-75.73,"DEOS",86.7916666666667,458,2083,-0.958333333333333,58.2083333333333,0
"2015-01-17","DWWK",40.16,-75.73,"DEOS",90.9583333333333,443,2183,-5.36666666666667,51,0
"2015-01-18","DWWK",40.16,-75.73,"DEOS",8.41666666666667,39,202,-1.53333333333333,NA,14.1
"2015-01-19","DWWK",40.16,-75.73,"DEOS",49.2916666666667,288,1183,2.3875,72.1666666666667,0.3
"2015-01-20","DWWK",40.16,-75.73,"DEOS",55.0416666666667,319,1321,1.23333333333333,79.4166666666667,0.3
"2015-01-21","DWWK",40.16,-75.73,"DEOS",37.0416666666667,163,889,-3.125,NA,0.3
"2015-01-22","DWWK",40.16,-75.73,"DEOS",34.875,232,837,-0.0541666666666667,88.9583333333333,0.3
"2015-01-23","DWWK",40.16,-75.73,"DEOS",74.5,374,1788,-0.25,76.375,0
"2015-01-24","DWWK",40.16,-75.73,"DEOS",26.4583333333333,157,635,0.941666666666667,NA,17
"2015-01-25","DWWK",40.16,-75.73,"DEOS",54.125,361,1299,2.23333333333333,77.6666666666667,0.9
"2015-01-26","DWWK",40.16,-75.73,"DEOS",43.0416666666667,169,1033,-4.76666666666667,92.75,0
"2015-01-27","DWWK",40.16,-75.73,"DEOS",89.125,372,2139,-3.50833333333333,60.4166666666667,2.8
"2015-01-28","DWWK",40.16,-75.73,"DEOS",120.583333333333,520,2894,-5.08333333333333,39.0833333333333,0
"2015-01-29","DWWK",40.16,-75.73,"DEOS",62.9166666666667,288,1510,-4.64166666666667,56.7083333333333,0
"2015-01-30","DWWK",40.16,-75.73,"DEOS",101.25,566,2430,-1.44583333333333,67,1.3
"2015-01-31","DWWK",40.16,-75.73,"DEOS",119.708333333333,507,2873,-7.79583333333333,48.7916666666667,0
"2015-02-01","DWWK",40.16,-75.73,"DEOS",69.125,341,1659,-1.46666666666667,67.5833333333333,0
"2015-02-02","DWWK",40.16,-75.73,"DEOS",25.375,104,609,-1.09583333333333,NA,25.4
"2015-02-03","DWWK",40.16,-75.73,"DEOS",112.875,526,2709,-7.4375,57.625,0
"2015-02-04","DWWK",40.16,-75.73,"DEOS",83.75,319,2010,-1.0125,65.2916666666667,0
"2015-02-05","DWWK",40.16,-75.73,"DEOS",104.916666666667,485,2518,-3.25,52.6666666666667,1.1
"2015-02-06","DWWK",40.16,-75.73,"DEOS",84.2083333333333,337,2021,-7.59583333333333,49,0
"2015-02-07","DWWK",40.16,-75.73,"DEOS",91.375,448,2193,-0.875,53.9583333333333,0
"2015-02-08","DWWK",40.16,-75.73,"DEOS",40.7916666666667,167,979,1.5625,72.9583333333333,0
"2015-02-09","DWWK",40.16,-75.73,"DEOS",13.6666666666667,54,328,-1.92916666666667,NA,0
"2015-02-10","DWWK",40.16,-75.73,"DEOS",86.3333333333333,479,2072,-1.5625,83.0416666666667,1.6
"2015-02-11","DWWK",40.16,-75.73,"DEOS",129.208333333333,570,3101,-2.52083333333333,62.2083333333333,0
"2015-02-12","DWWK",40.16,-75.73,"DEOS",82.5833333333333,398,1982,-1.57916666666667,60.5833333333333,0.3
"2015-02-13","DWWK",40.16,-75.73,"DEOS",139.375,560,3345,-11.0791666666667,47.0833333333333,0
"2015-02-14","DWWK",40.16,-75.73,"DEOS",25.8333333333333,97,620,-6.77083333333333,77.375,0.5
"2015-02-15","DWWK",40.16,-75.73,"DEOS",145.291666666667,585,3487,-13.2958333333333,45.0833333333333,2
"2015-02-16","DWWK",40.16,-75.73,"DEOS",96.6666666666667,404,2320,-14.275,49.875,0
"2015-02-17","DWWK",40.16,-75.73,"DEOS",125.666666666667,572,3016,-9.17916666666667,71.8333333333333,1.1
"2015-02-18","DWWK",40.16,-75.73,"DEOS",142.791666666667,610,3427,-7.04583333333333,54.7083333333333,0
"2015-02-19","DWWK",40.16,-75.73,"DEOS",122.458333333333,545,2939,-11.4541666666667,43.2916666666667,0
"2015-02-20","DWWK",40.16,-75.73,"DEOS",155.583333333333,609,3734,-15,41.1666666666667,0
"2015-02-21","DWWK",40.16,-75.73,"DEOS",34.625,156,831,-9.72916666666667,80.4583333333333,0
"2015-02-22","DWWK",40.16,-75.73,"DEOS",128.25,542,3078,1.54583333333333,NA,12.5
"2015-02-23","DWWK",40.16,-75.73,"DEOS",136.75,626,3282,-5.33333333333333,42.25,0
