"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-3.7","58","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"1","-2.3","46","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"2","-2.0","43","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"3","-1.9","42","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"4","-1.9","42","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"5","-2.1","42","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"6","-2.5","43","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"7","-2.5","43","16","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"8","-0.5","40","140","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"9","1.2","39","284","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"10","2.2","36","398","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"11","3.1","35","464","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"12","4.0","35","469","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"13","4.3","34","411","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"14","4.4","35","310","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"15","4.7","36","216","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"16","4.1","37","41","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"17","3.3","44","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"18","2.6","47","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"19","2.2","48","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"20","2.2","52","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"21","1.4","58","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"22","0.6","63","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"23","0.9","59","0","0.0",2015-01-01,"DAGF",39.67,-75.75,"DEOS"
"0","-0.3","64","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"1","-0.6","64","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"2","-0.6","62","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"3","-0.2","59","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"4","0.2","57","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"5","0.1","57","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"6","0.4","55","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"7","0.4","56","12","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"8","1.2","55","76","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"9","3.3","49","160","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"10","4.5","45","273","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"11","5.1","43","324","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"12","4.9","43","224","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"13","5.0","45","200","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"14","5.0","44","133","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"15","4.9","45","87","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"16","4.1","48","22","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"17","3.0","52","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"18","1.0","61","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"19","-0.4","70","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"20","-1.5","78","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"21","-2.6","85","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"22","-2.9","86","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"23","-3.0","87","0","0.0",2015-01-02,"DAGF",39.67,-75.75,"DEOS"
"0","-3.5","88","0","0.0",2015-01-03,"DAGF",39.67,-75.75,"DEOS"
"1","-3.8","89","0","0.0",2015-01-03,"DAGF",39.67,-75.75,"DEOS"
"2","-4.1","91","0","0.0",2015-01-03,"DAGF",39.67,-75.75,"DEOS"
"3","-4.0","90","0","0.0",2015-01-03,"DAGF",39.67,-75.75,"DEOS"
"4","-4.2","91","0","0.0",2015-01-03,"DAGF",39.67,-75.75,"DEOS"
