"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-4.5","64","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"1","-4.4","61","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"2","-4.4","57","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"3","-2.7","44","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"4","-2.2","41","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"5","-2.1","40","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"6","-2.3","40","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"7","-2.6","41","17","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"8","-0.8","37","143","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"9","0.9","35","281","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"10","1.8","34","388","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"11","2.9","32","453","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"12","3.5","32","456","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"13","4.1","33","411","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"14","4.2","33","247","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"15","4.3","34","171","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"16","3.8","37","25","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"17","2.9","42","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"18","2.3","50","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"19","1.5","57","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"20","1.0","57","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"21","0.8","57","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"22","-0.5","63","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"23","-1.0","67","0","0.0",2015-01-01,"DCHI",39.73,-75.52,"DEOS"
"0","-0.8","65","0","0.0",2015-01-02,"DCHI",39.73,-75.52,"DEOS"
"1","-1.5","69","0","0.0",2015-01-02,"DCHI",39.73,-75.52,"DEOS"
"2","-1.4","65","0","0.0",2015-01-02,"DCHI",39.73,-75.52,"DEOS"
