"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-4.6","71","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"1","-6.0","84","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"2","-6.2","87","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"3","-6.0","88","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"4","-5.9","88","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"5","-6.2","91","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"6","-6.5","92","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"7","-6.6","91","11","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"8","-3.3","78","90","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"9","0.3","64","223","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"10","3.4","50","415","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"11","4.9","42","477","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"12","6.0","34","467","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"13","6.7","33","434","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"14","6.5","33","316","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"15","5.5","36","125","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"16","4.1","44","14","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"17","2.7","51","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"18","1.7","56","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"19","1.7","58","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"20","1.7","59","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"21","2.6","57","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"22","3.1","58","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"23","3.8","58","0","0.0",2015-01-01,"DELN",38.81,-75.43,"DEOS"
"0","3.4","62","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"1","2.0","69","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"2","0.2","78","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"3","0.1","80","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"4","-0.5","84","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"5","-0.7","86","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"6","-0.8","86","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"7","-1.1","87","8","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"8","-0.2","84","70","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"9","2.9","69","170","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"10","6.2","48","294","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"11","7.3","43","303","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"12","7.5","43","227","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"13","8.3","41","260","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"14","7.7","44","93","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"15","7.3","45","64","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"16","6.2","47","19","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"17","4.0","56","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"18","1.9","66","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"19","0.2","75","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"20","-1.0","81","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"21","-1.6","84","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"22","-2.0","86","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"23","-2.4","88","0","0.0",2015-01-02,"DELN",38.81,-75.43,"DEOS"
"0","-2.9","90","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"1","-3.3","91","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"2","-3.5","92","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"3","-2.8","93","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"4","-1.5","91","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"5","-0.3","88","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"6","1.2","82","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"7","1.3","85","4","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"8","2.8","84","18","0.8",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"9","3.1","95","72","0.8",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"10","4.5","93","58","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"11","5.4","91","56","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"12","5.5","92","45","1.5",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"13","5.4","96","41","1.5",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"14","5.4","98","22","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"15","5.9","99","14","0.3",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"16","6.2","99","2","0.3",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"17","6.6","99","0","0.3",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"18","7.0","99","0","0.3",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"19","7.3","99","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"20","7.2","100","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"21","7.1","100","0","0.3",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"22","6.9","100","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"23","6.9","100","0","0.0",2015-01-03,"DELN",38.81,-75.43,"DEOS"
"0","7.5","100","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"1","8.1","100","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"2","7.7","100","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"3","8.2","100","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"4","8.3","100","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"5","8.8","100","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"6","9.4","100","0","1.8",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"7","9.5","100","4","0.3",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"8","10.5","100","23","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"9","12.1","100","63","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"10","15.7","99","106","0.3",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"11","17.1","91","236","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"12","18.2","84","283","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"13","19.3","77","153","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"14","19.4","78","34","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"15","19.6","77","34","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"16","19.6","77","9","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"17","19.1","77","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"18","18.5","77","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"19","17.8","80","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"20","17.8","80","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"21","13.3","89","0","1.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"22","11.8","83","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"23","11.0","72","0","0.0",2015-01-04,"DELN",38.81,-75.43,"DEOS"
"0","9.9","62","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"1","8.5","58","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"2","7.4","56","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"3","6.4","60","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"4","5.2","58","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"5","4.4","55","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"6","3.7","57","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"7","3.1","62","10","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"8","4.4","58","95","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"9","5.4","50","256","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"10","6.0","45","403","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"11","5.9","38","488","0.3",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"12","5.8","38","487","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"13","5.1","33","441","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"14","4.5","32","337","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"15","3.4","36","145","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"16","1.9","40","15","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"17","0.5","42","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"18","-0.2","39","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"19","-0.7","35","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"20","-1.3","40","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"21","-2.1","44","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"22","-2.2","42","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"23","-2.7","42","0","0.0",2015-01-05,"DELN",38.81,-75.43,"DEOS"
"0","-3.2","44","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"1","-3.5","45","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"2","-3.6","45","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"3","-3.9","49","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"4","-4.1","46","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"5","-4.0","49","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"6","-4.5","63","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"7","-4.7","69","6","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"8","-4.9","79","20","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"9","-5.1","92","20","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"10","-5.0","94","40","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"11","-4.2","91","78","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"12","-3.5","86","79","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"13","-2.9","85","57","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"14","-2.5","85","51","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"15","-2.2","86","28","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"16","-2.7","86","16","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"17","-4.3","91","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"18","-5.4","94","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"19","-6.3","96","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"20","-7.2","97","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"21","-7.9","98","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"22","-8.3","98","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"23","-8.3","97","0","0.0",2015-01-06,"DELN",38.81,-75.43,"DEOS"
"0","-7.5","94","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"1","-7.7","95","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"2","-7.7","95","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"3","-7.2","95","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"4","-6.0","92","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"5","-5.5","91","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"6","-5.0","88","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"7","-5.0","89","3","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"8","-4.4","86","19","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"9","-3.4","66","48","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"10","-3.9","50","158","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"11","-4.2","48","250","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"12","-4.1","46","290","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"13","-4.0","48","358","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"14","-4.4","45","218","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"15","-5.2","47","148","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"16","-6.8","52","16","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"17","-7.3","46","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"18","-7.5","47","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"19","-7.8","56","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"20","-8.4","56","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"21","-8.9","50","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"22","-9.3","46","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"23","-9.9","40","0","0.0",2015-01-07,"DELN",38.81,-75.43,"DEOS"
"0","-10.6","42","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"1","-11.1","43","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"2","-11.6","45","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"3","-11.7","50","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"4","-11.9","58","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"5","-11.9","59","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"6","-12.1","63","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"7","-12.4","65","10","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"8","-10.9","61","94","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"9","-9.4","54","270","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"10","-8.4","50","420","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"11","-7.8","48","484","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"12","-7.2","46","491","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"13","-6.7","44","441","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"14","-6.5","41","340","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"15","-6.7","42","155","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"16","-7.5","45","17","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"17","-8.4","46","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"18","-9.5","57","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"19","-9.3","56","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"20","-8.9","55","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"21","-8.5","56","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"22","-8.1","59","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"23","-7.3","59","0","0.0",2015-01-08,"DELN",38.81,-75.43,"DEOS"
"0","-6.2","57","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"1","-5.5","56","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"2","-5.0","54","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"3","-3.4","44","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"4","-2.9","40","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"5","-2.4","40","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"6","-1.6","41","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"7","-0.6","45","2","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"8","-0.2","52","18","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"9","0.1","51","56","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"10","0.8","48","230","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"11","2.3","39","487","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"12","2.6","36","502","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"13","3.1","30","428","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"14","3.2","30","354","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"15","2.4","32","161","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"16","0.7","40","19","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"17","-1.7","49","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"18","-3.2","59","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"19","-4.0","64","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"20","-4.7","67","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"21","-4.6","64","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"22","-5.8","71","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"23","-6.2","72","0","0.0",2015-01-09,"DELN",38.81,-75.43,"DEOS"
"0","-5.8","65","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"1","-5.5","60","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"2","-5.3","56","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"3","-5.5","48","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"4","-6.2","42","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"5","-6.8","43","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"6","-7.4","47","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"7","-7.9","52","11","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"8","-6.9","48","99","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"9","-6.1","44","279","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"10","-5.4","37","431","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"11","-5.1","33","499","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"12","-4.4","32","511","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"13","-3.9","30","465","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"14","-3.8","30","363","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"15","-4.4","33","171","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"16","-5.5","36","18","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"17","-7.3","45","1","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"18","-8.5","54","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"19","-9.9","66","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"20","-10.9","71","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"21","-11.8","75","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"22","-12.5","78","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"23","-12.9","81","0","0.0",2015-01-10,"DELN",38.81,-75.43,"DEOS"
"0","-13.1","83","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"1","-13.0","85","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"2","-13.1","86","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"3","-13.3","85","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"4","-13.2","85","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"5","-12.9","84","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"6","-12.9","84","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"7","-12.1","84","19","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"8","-6.9","71","111","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"9","-1.6","53","281","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"10","1.2","43","434","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"11","2.9","30","502","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"12","4.5","27","493","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"13","5.5","25","456","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"14","5.9","24","296","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"15","5.8","25","142","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"16","4.5","30","31","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"17","2.6","41","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"18","2.0","47","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"19","1.9","52","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"20","1.5","56","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"21","1.4","59","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"22","1.6","62","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"23","2.3","62","0","0.0",2015-01-11,"DELN",38.81,-75.43,"DEOS"
"0","2.3","62","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"1","3.0","56","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"2","2.8","58","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"3","1.8","78","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"4","1.7","82","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"5","1.9","82","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"6","2.0","78","0","0.5",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"7","1.2","92","3","0.5",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"8","1.3","96","12","2.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"9","1.8","98","37","1.3",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"10","3.7","99","58","1.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"11","6.1","99","57","1.5",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"12","7.0","99","46","0.8",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"13","5.2","99","22","3.8",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"14","2.9","100","31","2.5",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"15","2.9","100","17","3.8",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"16","3.3","100","4","4.8",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"17","3.4","100","0","1.8",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"18","3.2","100","0","1.5",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"19","2.9","100","0","0.8",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"20","2.9","100","0","1.3",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"21","2.7","100","0","0.3",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"22","2.6","100","0","0.0",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"23","2.6","100","0","0.3",2015-01-12,"DELN",38.81,-75.43,"DEOS"
"0","2.5","100","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"1","2.2","100","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"2","1.9","100","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"3","1.4","98","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"4","1.2","91","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"5","0.7","87","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"6","-0.1","88","0","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"7","0.2","84","5","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"8","-0.0","76","61","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"9","-0.3","72","119","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
"10","-0.7","67","171","0.0",2015-01-13,"DELN",38.81,-75.43,"DEOS"
