"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-5.9","78","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"1","-2.5","51","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"2","-1.5","42","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"3","-1.2","41","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"4","-1.2","39","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"5","-1.1","36","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"6","-1.1","36","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"7","-1.1","38","9","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"8","0.1","37","114","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"9","1.5","36","275","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"10","2.5","37","386","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"11","3.0","37","449","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"12","4.0","37","451","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"13","4.3","38","394","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"14","4.6","35","325","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"15","5.1","33","213","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"16","4.1","38","31","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"17","3.0","43","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"18","2.6","45","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"19","1.4","52","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"20","0.6","58","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"21","-0.6","66","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"22","-1.1","71","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"23","1.3","59","0","0.0",2015-01-01,"DGLW",39.61,-75.73,"DEOS"
"0","-0.7","67","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"1","-0.4","64","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"2","-1.8","71","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"3","-2.3","72","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"4","-0.1","58","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"5","1.2","51","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"6","0.7","53","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"7","-1.2","64","12","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"8","-0.1","61","72","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"9","2.9","49","153","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"10","4.5","45","263","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"11","5.3","40","319","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"12","5.2","40","227","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"13","5.4","41","207","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"14","5.4","42","134","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"15","5.2","42","88","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"16","4.4","45","22","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"17","1.5","58","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"18","-0.4","68","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"19","-1.5","75","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"20","-2.1","78","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"21","-2.7","82","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"22","-3.2","84","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"23","-3.4","84","0","0.0",2015-01-02,"DGLW",39.61,-75.73,"DEOS"
"0","-3.8","88","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"1","-3.9","90","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"2","-4.2","91","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"3","-4.3","91","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"4","-4.3","91","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"5","-2.9","91","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"6","-0.8","81","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"7","0.2","71","3","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"8","0.9","72","33","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"9","1.6","72","56","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"10","1.8","78","67","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"11","1.8","82","57","0.3",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"12","1.8","86","36","1.3",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"13","1.5","94","40","2.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"14","2.0","96","24","0.3",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"15","2.7","97","12","0.5",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"16","2.9","98","2","0.3",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"17","3.1","98","0","0.8",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"18","3.4","99","0","0.3",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"19","4.0","99","0","0.0",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"20","4.3","99","0","0.3",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"21","4.7","100","0","1.5",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"22","5.2","100","0","3.8",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"23","5.3","100","0","1.8",2015-01-03,"DGLW",39.61,-75.73,"DEOS"
"0","5.4","100","0","0.0",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"1","5.0","100","0","0.0",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"2","4.7","100","0","0.0",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"3","4.5","100","0","0.3",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"4","4.6","100","0","0.3",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"5","4.8","100","0","3.8",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"6","4.9","100","0","1.5",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
"7","5.2","100","2","0.5",2015-01-04,"DGLW",39.61,-75.73,"DEOS"
