"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-3.0","44","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"1","-2.7","41","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"2","-2.5","40","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"3","-2.6","40","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"4","-2.7","41","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"5","-3.0","42","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"6","-3.2","42","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"7","-3.1","41","14","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"8","-1.8","38","132","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"9","-0.1","37","262","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"10","1.1","37","364","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"11","2.2","35","423","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"12","3.1","33","426","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"13","3.7","32","384","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"14","3.5","35","227","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"15","3.4","37","143","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"16","3.3","38","29","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"17","2.6","42","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"18","1.7","47","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"19","0.8","51","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"20","0.4","54","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"21","0.3","57","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"22","1.4","55","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"23","1.6","51","0","0.0",2015-01-01,"DGRN",39.8,-75.61,"DEOS"
"0","1.9","47","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"1","1.8","46","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"2","1.6","46","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"3","1.6","45","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"4","1.4","46","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"5","1.1","48","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"6","1.0","49","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"7","1.0","49","11","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"8","1.7","47","83","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"9","2.9","46","183","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"10","4.0","43","272","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"11","4.2","42","308","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"12","4.2","43","283","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"13","4.3","44","179","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"14","4.5","43","174","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"15","4.3","44","81","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"16","3.6","47","18","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"17","2.8","49","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"18","2.5","51","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"19","2.1","53","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"20","2.2","52","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"21","1.7","54","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"22","0.4","61","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"23","-0.1","63","0","0.0",2015-01-02,"DGRN",39.8,-75.61,"DEOS"
"0","-1.1","68","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"1","-0.7","66","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"2","0.0","61","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"3","0.1","60","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"4","-0.2","61","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"5","-0.7","65","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"6","-0.4","66","0","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"7","0.1","65","5","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"8","0.8","66","27","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"9","1.0","68","39","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"10","1.6","70","72","0.0",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"11","1.7","83","80","0.8",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"12","1.6","93","33","1.3",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"13","1.6","98","21","4.6",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"14","1.8","99","20","0.8",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"15","2.2","100","11","1.3",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"16","2.6","100","1","0.5",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"17","3.0","100","0","0.8",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"18","3.4","100","0","0.3",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"19","3.9","100","0","0.3",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"20","4.2","100","0","0.8",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"21","4.4","100","0","0.5",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"22","5.1","100","0","4.6",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"23","5.5","100","0","4.1",2015-01-03,"DGRN",39.8,-75.61,"DEOS"
"0","5.4","100","0","0.3",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"1","4.8","100","0","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"2","4.6","100","0","0.3",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"3","4.4","100","0","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"4","4.5","100","0","0.3",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"5","4.4","100","0","3.3",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"6","4.6","100","0","2.8",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"7","4.6","100","1","0.5",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"8","5.1","100","17","0.5",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"9","5.7","100","30","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"10","7.6","100","40","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"11","9.2","99","39","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"12","9.9","99","47","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"13","10.3","99","46","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"14","10.9","99","60","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"15","11.7","99","30","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"16","12.7","93","4","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"17","13.4","91","0","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"18","13.7","90","0","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"19","12.5","93","0","0.8",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"20","11.1","90","0","1.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"21","10.4","80","0","0.3",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"22","10.1","64","0","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"23","8.8","57","0","0.0",2015-01-04,"DGRN",39.8,-75.61,"DEOS"
"0","7.8","54","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"1","6.2","54","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"2","5.2","59","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"3","4.7","60","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"4","4.1","58","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"5","3.6","59","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"6","2.8","56","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"7","2.4","56","13","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"8","1.9","55","38","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"9","1.5","56","292","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"10","1.0","53","254","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"11","1.5","48","420","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"12","1.5","31","452","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"13","0.9","30","398","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"14","0.2","29","301","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"15","-0.4","29","171","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"16","-1.6","30","31","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"17","-2.6","33","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"18","-3.4","39","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"19","-4.0","39","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"20","-4.6","43","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"21","-5.1","47","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"22","-5.5","46","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"23","-6.0","48","0","0.0",2015-01-05,"DGRN",39.8,-75.61,"DEOS"
"0","-6.5","48","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"1","-7.0","48","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"2","-7.0","51","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"3","-7.1","50","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"4","-7.2","50","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"5","-7.4","54","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"6","-8.6","84","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"7","-8.9","93","1","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"8","-8.6","95","12","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"9","-8.1","94","106","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"10","-7.4","93","136","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"11","-6.9","93","178","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"12","-6.5","93","166","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"13","-6.3","94","99","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"14","-6.0","95","57","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"15","-5.6","94","46","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"16","-5.6","91","9","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"17","-5.9","91","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"18","-6.7","94","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"19","-7.2","96","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"20","-7.5","97","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"21","-7.9","98","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"22","-8.7","97","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"23","-8.9","97","0","0.0",2015-01-06,"DGRN",39.8,-75.61,"DEOS"
"0","-9.1","95","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"1","-8.9","95","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"2","-8.7","96","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"3","-8.3","89","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"4","-8.5","86","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"5","-8.0","82","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"6","-7.1","77","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"7","-7.4","75","3","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"8","-7.5","76","47","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"9","-6.9","71","117","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"10","-6.4","51","296","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"11","-6.4","45","372","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"12","-6.8","49","327","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"13","-7.3","53","221","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"14","-6.8","40","313","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"15","-7.1","43","159","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"16","-8.2","52","33","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"17","-9.1","59","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
"18","-9.7","47","0","0.0",2015-01-07,"DGRN",39.8,-75.61,"DEOS"
