"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-4.6","58","1","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"1","-3.6","51","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"2","-3.0","46","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"3","-2.9","45","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"4","-3.2","46","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"5","-3.8","50","1","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"6","-5.1","58","1","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"7","-6.4","66","4","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"8","-2.4","51","91","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"9","1.1","37","252","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"10","2.0","37","347","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"11","3.2","34","403","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"12","3.9","32","298","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"13","4.0","33","128","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"14","3.8","38","91","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"15","3.8","39","89","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"16","3.5","40","19","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"17","2.4","46","3","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"18","1.4","54","3","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"19","0.2","61","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"20","-1.6","68","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
"21","-2.9","74","2","0.0",2015-01-01,"DHOC",39.79,-75.7,"DEOS"
