"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-5.4","69","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"1","-3.2","48","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"2","-2.3","42","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"3","-2.0","38","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"4","-2.2","40","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"5","-2.5","40","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"6","-2.8","41","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"7","-3.1","42","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"8","-1.4","37","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"9","0.5","35","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"10","2.0","34","21","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"11","3.1","32","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"12","4.0","31","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"13","4.6","31","111","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"14","4.5","32","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"15","4.7","32","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"16","4.1","35","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"17","3.2","40","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"18","1.9","45","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"19","1.3","50","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"20","0.4","56","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"21","-2.0","70","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"22","-2.2","70","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"23","-1.8","71","0","0.0",2015-01-01,"DPRC",39.75,-75.61,"DEOS"
"0","-2.5","74","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"1","-1.7","68","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"2","0.4","54","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"3","0.7","51","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"4","0.7","50","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"5","-0.7","58","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"6","0.8","51","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"7","0.4","52","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"8","1.2","51","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"9","3.0","47","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"10","4.5","43","15","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"11","5.0","40","155","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"12","5.0","41","144","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"13","4.9","42","52","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"14","4.9","42","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"15","4.7","42","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"16","4.2","45","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"17","2.7","51","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"18","0.7","62","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"19","-1.3","73","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"20","-2.1","79","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"21","-2.8","82","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"22","-3.2","83","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"23","-3.5","84","0","0.0",2015-01-02,"DPRC",39.75,-75.61,"DEOS"
"0","-3.4","85","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"1","-3.7","86","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"2","-4.0","88","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"3","-4.2","89","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"4","-4.6","90","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"5","-2.4","81","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"6","0.7","63","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"7","1.1","62","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"8","1.1","64","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"9","1.5","66","0","0.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"10","2.2","69","0","0.3",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"11","2.2","81","0","0.8",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"12","2.2","87","0","0.8",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"13","2.1","93","0","3.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"14","2.6","94","0","0.3",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"15","3.0","95","0","1.0",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"16","3.4","95","0","0.5",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"17","3.9","96","0","0.5",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"18","4.2","96","0","0.3",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"19","4.7","96","0","0.3",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"20","5.2","96","0","0.5",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"21","5.3","96","0","0.8",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"22","5.2","97","0","5.3",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"23","5.6","97","0","4.8",2015-01-03,"DPRC",39.75,-75.61,"DEOS"
"0","5.5","97","0","0.0",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"1","5.5","97","0","0.0",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"2","5.2","97","0","0.0",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"3","5.1","97","0","0.3",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"4","4.8","97","0","0.0",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"5","4.8","97","0","3.0",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"6","4.9","98","0","2.5",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"7","4.9","98","0","0.5",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
"8","5.4","98","0","0.5",2015-01-04,"DPRC",39.75,-75.61,"DEOS"
