"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-3.2","63","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"1","-3.9","70","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"2","-4.4","74","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"3","-4.7","75","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"4","-5.1","77","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"5","-5.1","76","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"6","-6.0","84","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"7","-6.1","90","15","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"8","-2.3","74","134","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"9","0.5","60","260","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"10","2.1","53","357","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"11","3.7","47","412","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"12","5.0","37","424","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"13","5.6","35","353","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"14","5.8","36","298","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"15","5.3","36","155","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"16","4.2","40","37","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"17","2.8","47","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"18","1.2","56","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"19","1.0","60","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"20","1.7","57","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"21","2.8","53","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"22","3.2","54","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"23","1.6","63","0","0.0",2015-01-01,"DSMY",39.28,-75.58,"DEOS"
"0","-0.1","72","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"1","-0.3","74","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"2","-0.7","77","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"3","0.2","73","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"4","0.8","68","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"5","0.9","65","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"6","1.2","60","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"7","0.6","60","11","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"8","2.0","57","68","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"9","3.9","53","179","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"10","5.9","45","210","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"11","7.0","39","283","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"12","7.1","39","235","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"13","6.9","40","193","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"14","6.6","41","132","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"15","6.2","43","80","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"16","4.9","47","20","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"17","2.6","58","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"18","1.4","65","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"19","0.3","72","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"20","-1.4","84","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"21","-2.0","88","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"22","-1.8","84","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"23","-2.3","85","0","0.0",2015-01-02,"DSMY",39.28,-75.58,"DEOS"
"0","-2.9","90","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"1","-3.7","96","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"2","-4.1","100","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"3","-4.1","100","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"4","-2.9","100","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"5","-1.3","99","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"6","0.8","85","0","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"7","1.1","77","5","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"8","1.7","79","19","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"9","2.0","88","65","0.5",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"10","2.7","88","76","0.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"11","3.5","93","69","0.4",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"12","3.3","98","28","1.9",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"13","3.5","100","31","3.2",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"14","3.5","100","21","2.5",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"15","4.0","100","13","0.4",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"16","4.1","100","2","0.4",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"17","4.2","N/A","0","0.5",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"18","4.3","N/A","0","0.1",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"19","4.5","N/A","0","0.1",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"20","4.4","N/A","0","0.2",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"21","4.4","N/A","0","1.6",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"22","4.4","N/A","0","4.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"23","4.9","N/A","0","1.0",2015-01-03,"DSMY",39.28,-75.58,"DEOS"
"0","5.1","N/A","0","0.0",2015-01-04,"DSMY",39.28,-75.58,"DEOS"
