"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-4.6","53","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"1","-4.6","52","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"2","-4.2","49","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"3","-4.4","50","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"4","-4.6","52","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"5","-4.8","52","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"6","-5.7","58","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"7","-7.9","74","8","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"8","-5.1","64","128","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"9","-0.9","46","255","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"10","1.3","38","359","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"11","2.8","36","413","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"12","3.6","33","427","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"13","4.3","31","382","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"14","4.2","31","237","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"15","3.4","36","90","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"16","2.8","39","29","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"17","1.5","45","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"18","0.8","50","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"19","0.9","52","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"20","0.3","55","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"21","0.1","57","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"22","0.2","55","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"23","0.4","53","0","0.0",2015-01-01,"DWBD",39.94,-75.72,"DEOS"
"0","-1.7","64","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"1","-3.7","74","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"2","-4.6","80","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"3","-5.6","86","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"4","-5.8","89","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"5","-5.9","92","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"6","-4.0","82","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"7","-5.8","90","9","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"8","-4.3","90","82","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"9","0.1","69","176","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"10","3.4","50","269","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"11","4.8","42","307","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"12","4.7","42","281","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"13","5.1","41","254","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"14","5.2","41","198","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"15","4.8","42","115","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"16","3.4","47","20","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
"17","0.7","58","0","0.0",2015-01-02,"DWBD",39.94,-75.72,"DEOS"
