"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-3.7","47","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"1","-3.6","46","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"2","-3.3","44","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"3","-3.3","44","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"4","-3.5","44","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"5","-3.7","45","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"6","-4.0","47","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"7","-4.3","48","15","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"8","-3.2","44","136","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"9","-0.9","37","276","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"10","0.4","37","385","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"11","1.6","37","445","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"12","2.9","33","454","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"13","3.7","31","404","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"14","3.9","32","284","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"15","3.1","37","88","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"16","2.6","42","25","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"17","2.1","43","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"18","1.7","48","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"19","1.4","52","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"20","0.9","55","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"21","0.2","60","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"22","0.9","54","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"23","0.8","53","0","0.0",2015-01-01,"DWCH",39.94,-75.55,"DEOS"
"0","0.1","56","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"1","-0.1","56","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"2","-3.1","71","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"3","-2.0","66","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"4","0.2","52","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"5","0.1","52","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"6","0.0","53","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"7","-1.2","59","11","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"8","0.1","55","89","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"9","1.5","50","191","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"10","2.8","48","285","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"11","3.7","44","334","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"12","3.8","43","293","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"13","4.0","43","263","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"14","4.2","43","208","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"15","4.2","44","122","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"16","3.6","46","20","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"17","1.9","54","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"18","-0.3","64","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"19","-1.3","69","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"20","-2.5","76","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"21","-2.9","79","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"22","-3.2","81","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"23","-3.2","81","0","0.0",2015-01-02,"DWCH",39.94,-75.55,"DEOS"
"0","-3.5","82","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"1","-3.9","84","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"2","-4.6","87","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"3","-4.6","88","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"4","-3.3","80","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"5","-1.9","71","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"6","-1.5","70","0","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"7","-1.1","67","4","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"8","-0.2","66","20","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"9","0.7","68","59","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"10","1.1","71","71","0.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"11","1.5","83","97","0.8",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"12","1.3","92","40","2.0",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"13","1.2","97","42","1.5",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"14","1.5","98","22","1.3",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"15","1.7","99","9","2.8",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"16","1.9","99","2","0.5",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"17","2.0","99","0","0.8",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"18","2.4","100","0","0.3",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"19","3.1","100","0","0.3",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
"20","3.4","100","0","0.8",2015-01-03,"DWCH",39.94,-75.55,"DEOS"
