"Hour","Temp_degC","Relative_humidity_p","Solar_radiation_wattsperm2","Rainfall_mm","Date","Station","Latitude","Longitude","Data_source"
"0","-4.3","49","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"1","-4.3","49","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"2","-4.5","50","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"3","-4.8","53","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"4","-4.6","52","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"5","-4.6","51","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"6","-5.0","53","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"7","-5.3","54","6","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"8","-4.9","54","32","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"9","-2.1","45","147","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"10","-0.3","40","287","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"11","1.0","39","405","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"12","2.2","37","408","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"13","3.5","34","363","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"14","3.9","32","218","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"15","3.3","34","67","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"16","2.2","38","10","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"17","1.5","41","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"18","1.6","41","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"19","1.8","42","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"20","1.1","45","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"21","1.2","47","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"22","1.0","50","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"23","1.1","51","0","0.0",2015-01-01,"DWWK",40.16,-75.73,"DEOS"
"0","-0.1","56","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"1","-1.4","62","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"2","-2.3","65","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"3","-2.2","65","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"4","-2.3","63","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"5","-2.2","62","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"6","-2.6","64","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"7","-2.1","62","6","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"8","-1.2","59","44","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"9","1.0","53","123","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"10","2.5","49","219","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"11","3.3","45","287","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"12","4.1","44","326","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"13","4.2","43","227","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"14","4.4","43","211","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"15","4.1","44","95","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"16","3.0","48","14","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"17","1.3","55","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"18","-0.4","63","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"19","-1.0","65","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"20","-2.1","71","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"21","-2.7","74","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"22","-3.3","78","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"23","-3.5","79","0","0.0",2015-01-02,"DWWK",40.16,-75.73,"DEOS"
"0","-3.5","78","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"1","-4.2","82","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"2","-4.3","83","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"3","-4.4","83","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"4","-4.7","84","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"5","-5.5","89","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"6","-4.7","89","0","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"7","-3.9","85","3","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"8","-2.4","80","25","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"9","-1.2","74","60","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"10","-0.7","77","61","0.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"11","0.0","82","117","0.3",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"12","-0.2","94","43","2.3",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"13","-0.0","100","38","0.8",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"14","-0.0","100","19","1.3",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"15","0.1","100","9","3.0",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"16","0.2","100","1","0.5",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"17","0.2","N/A","0","1.8",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"18","0.3","N/A","0","0.3",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"19","0.4","N/A","0","0.3",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"20","0.8","N/A","0","0.8",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"21","1.2","N/A","0","0.5",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"22","1.6","N/A","0","2.3",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"23","1.9","N/A","0","2.5",2015-01-03,"DWWK",40.16,-75.73,"DEOS"
"0","2.2","N/A","0","0.5",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"1","2.8","N/A","0","0.3",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"2","2.5","N/A","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"3","2.6","N/A","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"4","2.6","N/A","0","0.3",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"5","3.0","N/A","0","1.8",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"6","3.4","N/A","0","1.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"7","3.5","N/A","3","0.5",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"8","4.4","N/A","21","0.3",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"9","5.7","N/A","29","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"10","6.7","N/A","46","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"11","8.0","N/A","47","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"12","8.5","N/A","39","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"13","9.7","100","57","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"14","10.8","100","56","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"15","12.5","98","24","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"16","12.6","99","5","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"17","12.9","99","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"18","12.0","100","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"19","11.2","100","0","0.8",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"20","10.3","97","0","1.5",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"21","9.6","79","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"22","9.1","61","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"23","7.9","62","0","0.0",2015-01-04,"DWWK",40.16,-75.73,"DEOS"
"0","6.7","56","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"1","5.3","58","0","0.3",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"2","4.4","57","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"3","4.0","57","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"4","3.6","54","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"5","2.8","54","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"6","2.2","52","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"7","1.4","50","2","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"8","0.7","50","51","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"9","-0.0","49","77","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"10","0.7","40","296","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"11","0.6","32","429","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"12","0.5","31","441","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"13","-0.4","30","390","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"14","-0.6","29","276","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"15","-1.3","31","109","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"16","-2.5","30","12","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"17","-3.2","33","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"18","-4.0","34","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"19","-5.2","40","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
"20","-5.8","41","0","0.0",2015-01-05,"DWWK",40.16,-75.73,"DEOS"
