"Hour","Temp_degC","Relative_humidity_%","Solar_radiation_wattsperm2","Rainfall_mm","Date"
"0","-16.1","38","0","0.0",2015-02-20
"1","-16.7","43","0","0.0",2015-02-20
"2","-17.2","42","0","0.0",2015-02-20
"3","-17.5","42","0","0.0",2015-02-20
"4","-17.8","44","0","0.0",2015-02-20
"5","-18.1","45","0","0.0",2015-02-20
"6","-18.3","46","2","0.0",2015-02-20
"7","-18.1","45","78","0.0",2015-02-20
"8","-17.2","43","254","0.0",2015-02-20
"9","-16.1","41","415","0.0",2015-02-20
"10","-14.9","39","537","0.0",2015-02-20
"11","-13.6","37","614","0.0",2015-02-20
"12","-12.2","36","634","0.0",2015-02-20
"13","-11.5","36","594","0.0",2015-02-20
"14","-10.6","35","498","0.0",2015-02-20
"15","-10.2","35","354","0.0",2015-02-20
"16","-10.1","34","183","0.0",2015-02-20
"17","-10.4","35","29","0.0",2015-02-20
"18","-11.1","39","0","0.0",2015-02-20
"19","-12.1","44","0","0.0",2015-02-20
"20","-14.0","58","0","0.0",2015-02-20
"21","-14.8","62","0","0.0",2015-02-20
"22","-15.3","64","0","0.0",2015-02-20
"23","-15.9","68","0","0.0",2015-02-20
"0","-8.3","40","0","0.0",2015-02-19
"1","-9.4","45","0","0.0",2015-02-19
"2","-10.2","46","0","0.0",2015-02-19
"3","-11.0","48","0","0.0",2015-02-19
"4","-11.5","53","0","0.0",2015-02-19
"5","-11.9","58","0","0.0",2015-02-19
"6","-12.2","61","2","0.0",2015-02-19
"7","-12.0","61","58","0.0",2015-02-19
"8","-11.3","58","233","0.0",2015-02-19
"9","-10.4","51","355","0.3",2015-02-19
"10","-9.7","43","518","0.0",2015-02-19
"11","-9.4","37","595","0.0",2015-02-19
"12","-9.0","35","586","0.0",2015-02-19
"13","-9.2","35","576","0.0",2015-02-19
"14","-9.5","34","469","0.0",2015-02-19
"15","-10.1","35","237","0.0",2015-02-19
"16","-10.5","37","93","0.0",2015-02-19
"17","-11.2","39","24","0.0",2015-02-19
"18","-12.1","44","0","0.0",2015-02-19
"19","-12.6","37","0","0.0",2015-02-19
"20","-13.1","34","0","0.0",2015-02-19
"21","-13.7","31","0","0.0",2015-02-19
"22","-14.5","34","0","0.0",2015-02-19
"23","-15.2","40","0","0.0",2015-02-19
"0","-12.8","86","0","0.0",2015-02-18
"1","-13.0","89","0","0.0",2015-02-18
"2","-14.0","89","0","0.0",2015-02-18
"3","-14.0","90","0","0.0",2015-02-18
"4","-14.2","89","0","0.0",2015-02-18
"5","-14.7","88","0","0.0",2015-02-18
"6","-14.8","89","1","0.0",2015-02-18
"7","-13.7","89","75","0.0",2015-02-18
"8","-7.8","62","256","0.0",2015-02-18
"9","-5.2","40","403","0.0",2015-02-18
"10","-3.9","38","554","0.0",2015-02-18
"11","-2.7","34","636","0.0",2015-02-18
"12","-1.1","33","651","0.0",2015-02-18
"13","-1.0","34","609","0.0",2015-02-18
