"Date","rel_humidity_mean","temp_mean","solar_radiation_mean","Station","Latitude","Longitude","Data_source"
2015-01-01,70,-0.2573,85.4805,"DDMV",39.67,-75.63,"SNTemp"
2015-01-02,70,1.464,92.5554166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-03,70,1,91.2955,"DDMV",39.67,-75.63,"SNTemp"
2015-01-04,70,7.46,107.189833333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-05,70,4.118,107.189833333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-06,70,-5.642,33.2521083333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-07,70,-8.285,33.4410958333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-08,70,-9.715,33.6349291666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-09,70,-4.589,58.2469166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-10,70,-7.637,34.0662083333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-11,70,-5.365,69.4407916666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-12,70,0.82,41.6111708333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-13,70,-1.246,39.9442041666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-14,70,-3.412,47.0288125,"DDMV",39.67,-75.63,"SNTemp"
2015-01-15,70,-0.9887,71.81525,"DDMV",39.67,-75.63,"SNTemp"
2015-01-16,70,0.07334,96.5774583333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-17,70,-2.75,82.427625,"DDMV",39.67,-75.63,"SNTemp"
2015-01-18,70,0.4859,50.3966666666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-19,70,2.575,52.9165,"DDMV",39.67,-75.63,"SNTemp"
2015-01-20,70,2.23,108.788958333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-21,70,-0.6673,82.4760833333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-22,70,0.7374,47.653925,"DDMV",39.67,-75.63,"SNTemp"
2015-01-23,70,0.3407,101.035625,"DDMV",39.67,-75.63,"SNTemp"
2015-01-24,70,1.594,47.3777125,"DDMV",39.67,-75.63,"SNTemp"
2015-01-25,70,3.601,113.974,"DDMV",39.67,-75.63,"SNTemp"
2015-01-26,70,-0.01033,89.6479166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-27,70,-3.013,39.4596208333333,"DDMV",39.67,-75.63,"SNTemp"
2015-01-28,70,-3.306,73.3659166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-29,70,-4.288,74.577375,"DDMV",39.67,-75.63,"SNTemp"
2015-01-30,70,-1.636,104.766916666667,"DDMV",39.67,-75.63,"SNTemp"
2015-01-31,70,-5.39,46.8301333333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-01,70,-2.472,88.5818333333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-02,70,0.09146,54.4671666666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-03,70,-3.252,42.4931125,"DDMV",39.67,-75.63,"SNTemp"
2015-02-04,70,-0.1625,114.26475,"DDMV",39.67,-75.63,"SNTemp"
2015-02-05,70,-1.18,109.079708333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-06,70,-5.427,50.3482083333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-07,70,-1.268,113.68325,"DDMV",39.67,-75.63,"SNTemp"
2015-02-08,70,4.037,135.150291666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-09,70,2.029,122.551125,"DDMV",39.67,-75.63,"SNTemp"
2015-02-10,70,0.5411,52.7226666666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-11,70,0.1108,109.176625,"DDMV",39.67,-75.63,"SNTemp"
2015-02-12,70,-1.495,110.678833333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-13,70,-7.336,47.4697833333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-14,70,-5.748,48.002825,"DDMV",39.67,-75.63,"SNTemp"
2015-02-15,70,-9.656,48.55525,"DDMV",39.67,-75.63,"SNTemp"
2015-02-16,70,-12.93,49.0882916666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-17,70,-8.865,49.6213333333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-18,70,-8.281,50.2028333333333,"DDMV",39.67,-75.63,"SNTemp"
2015-02-19,70,-9.231,50.735875,"DDMV",39.67,-75.63,"SNTemp"
2015-02-20,70,-12.25,51.317375,"DDMV",39.67,-75.63,"SNTemp"
2015-02-21,70,-8.553,51.8504166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-22,70,0.9572,65.564125,"DDMV",39.67,-75.63,"SNTemp"
2015-02-23,70,-3.003,112.035666666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-24,70,-8.807,53.5949166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-25,70,-4.723,102.9255,"DDMV",39.67,-75.63,"SNTemp"
2015-02-26,70,-2.226,75.158875,"DDMV",39.67,-75.63,"SNTemp"
2015-02-27,70,-4.239,55.3394166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-02-28,70,-5.687,55.9209166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-03-01,70,-4.249,56.5024166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-03-02,70,-0.1494,57.0839166666667,"DDMV",39.67,-75.63,"SNTemp"
2015-03-03,70,-1.037,57.713875,"DDMV",39.67,-75.63,"SNTemp"
