"Date","rel_humidity_mean","temp_mean","solar_radiation_mean","Station","Latitude","Longitude","Data_source"
2015-01-01,70,0.3626,84.9474583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-02,70,3.431,94.9783333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-03,70,2.779,95.4144583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-04,70,12.09,115.379291666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-05,70,7.204,111.551083333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-06,70,-2.347,52.335,"DMIL",38.88,-75.44,"SNTemp"
2015-01-07,70,-5.608,34.8270041666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-08,70,-8.497,35.0256833333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-09,70,-2.524,65.3218333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-10,70,-5.518,35.4521166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-11,70,-3.674,81.9915,"DMIL",38.88,-75.44,"SNTemp"
2015-01-12,70,3.329,46.8834375,"DMIL",38.88,-75.44,"SNTemp"
2015-01-13,70,0.7828,38.3160041666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-14,70,-1.387,36.4406666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-15,70,0.4832,36.7168791666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-16,70,1.75,95.802125,"DMIL",38.88,-75.44,"SNTemp"
2015-01-17,70,-1.463,75.2073333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-18,70,3.924,54.4187083333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-19,70,3.5,52.9649583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-20,70,2.966,111.405708333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-21,70,1.664,92.8461666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-22,70,1.8,46.897975,"DMIL",38.88,-75.44,"SNTemp"
2015-01-23,70,0.7154,95.220625,"DMIL",38.88,-75.44,"SNTemp"
2015-01-24,70,2.519,45.0565583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-25,70,4.882,57.6654166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-01-26,70,2.7,98.7580833333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-27,70,-0.5246,40.8213,"DMIL",38.88,-75.44,"SNTemp"
2015-01-28,70,-2.043,63.4319583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-29,70,-2.796,76.46725,"DMIL",38.88,-75.44,"SNTemp"
2015-01-30,70,1.019,102.683208333333,"DMIL",38.88,-75.44,"SNTemp"
2015-01-31,70,-3.755,48.119125,"DMIL",38.88,-75.44,"SNTemp"
2015-02-01,70,-1.784,87.6126666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-02,70,4.56,129.771416666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-03,70,-1.832,43.8305625,"DMIL",38.88,-75.44,"SNTemp"
2015-02-04,70,1.263,119.449791666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-05,70,1.5,114.410125,"DMIL",38.88,-75.44,"SNTemp"
2015-02-06,70,-4.318,45.2407,"DMIL",38.88,-75.44,"SNTemp"
2015-02-07,70,0,116.833041666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-08,70,7.44,148.815541666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-09,70,3.124,115.379291666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-10,70,0.75,47.2129541666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-11,70,0.7169,97.98275,"DMIL",38.88,-75.44,"SNTemp"
2015-02-12,70,-0.4985,85.4320416666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-13,70,-5.599,48.7490833333333,"DMIL",38.88,-75.44,"SNTemp"
2015-02-14,70,-3.851,73.0751666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-15,70,-7.45,49.8151666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-16,70,-11,50.3482083333333,"DMIL",38.88,-75.44,"SNTemp"
2015-02-17,70,-6.883,50.88125,"DMIL",38.88,-75.44,"SNTemp"
2015-02-18,70,-5.927,51.46275,"DMIL",38.88,-75.44,"SNTemp"
2015-02-19,70,-7,51.9957916666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-20,70,-12.25,52.5288333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-02-21,70,-8.443,53.1103333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-02-22,70,2.117,67.1147916666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-23,70,-0.25,111.35725,"DMIL",38.88,-75.44,"SNTemp"
2015-02-24,70,-6.972,54.806375,"DMIL",38.88,-75.44,"SNTemp"
2015-02-25,70,-3.003,94.203,"DMIL",38.88,-75.44,"SNTemp"
2015-02-26,70,-1.69,55.969375,"DMIL",38.88,-75.44,"SNTemp"
2015-02-27,70,-3.61,56.5024166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-02-28,70,-5.185,57.0839166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-01,70,-4.711,57.6654166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-02,70,1.722,58.2469166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-03,70,-0.2591,58.8284166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-04,70,4.356,59.4099166666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-05,70,1.5,60.039875,"DMIL",38.88,-75.44,"SNTemp"
2015-03-06,70,-6.838,60.621375,"DMIL",38.88,-75.44,"SNTemp"
2015-03-07,70,-4.249,61.202875,"DMIL",38.88,-75.44,"SNTemp"
2015-03-08,70,5.076,156.617333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-09,70,7.289,182.348708333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-10,70,7.43,185.934625,"DMIL",38.88,-75.44,"SNTemp"
2015-03-11,70,11.52,192.234208333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-12,70,7.5,181.815666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-13,70,4.02,151.965333333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-14,70,8.447,181.864125,"DMIL",38.88,-75.44,"SNTemp"
2015-03-15,70,7.939,172.269375,"DMIL",38.88,-75.44,"SNTemp"
2015-03-16,70,6.75,185.401583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-17,70,11.71,217.723291666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-18,70,5.908,191.60425,"DMIL",38.88,-75.44,"SNTemp"
2015-03-19,70,2.107,126.282416666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-20,70,3.238,87.51575,"DMIL",38.88,-75.44,"SNTemp"
2015-03-21,70,6.046,180.022708333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-22,70,6.619,180.458833333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-23,70,2.929,118.480625,"DMIL",38.88,-75.44,"SNTemp"
2015-03-24,70,2.109,82.8152916666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-25,70,2.657,165.097541666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-26,70,11.57,227.172666666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-27,70,9.75,221.26075,"DMIL",38.88,-75.44,"SNTemp"
2015-03-28,70,2.5,73.3174583333333,"DMIL",38.88,-75.44,"SNTemp"
2015-03-29,70,1.15,88.6302916666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-30,70,7.244,213.943541666667,"DMIL",38.88,-75.44,"SNTemp"
2015-03-31,70,9.747,234.05375,"DMIL",38.88,-75.44,"SNTemp"
