"Date","rel_humidity_mean","temp_mean","solar_radiation_mean","Station","Latitude","Longitude","Data_source"
2015-01-01,70,-1.142,97.8858333333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-02,70,0.4444,107.189833333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-03,70,0.3194,106.4145,"DSCR",39.86,-75.84,"SNTemp"
2015-01-04,70,5.642,61.3967083333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-05,70,2.406,61.3967083333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-06,70,-7.058,38.4226125,"DSCR",39.86,-75.84,"SNTemp"
2015-01-07,70,-9.825,38.6067541666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-08,70,-10.73,38.8054333333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-09,70,-5.897,39.0089583333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-10,70,-8.881,39.2318666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-11,70,-6.953,71.960625,"DSCR",39.86,-75.84,"SNTemp"
2015-01-12,70,0.01389,47.85745,"DSCR",39.86,-75.84,"SNTemp"
2015-01-13,70,-2,47.305025,"DSCR",39.86,-75.84,"SNTemp"
2015-01-14,70,-5.103,40.210725,"DSCR",39.86,-75.84,"SNTemp"
2015-01-15,70,-2.214,78.21175,"DSCR",39.86,-75.84,"SNTemp"
2015-01-16,70,-1.036,108.304375,"DSCR",39.86,-75.84,"SNTemp"
2015-01-17,70,-3.811,93.2822916666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-18,70,-0.55,58.15,"DSCR",39.86,-75.84,"SNTemp"
2015-01-19,70,1.936,61.0575,"DSCR",39.86,-75.84,"SNTemp"
2015-01-20,70,1.625,122.6965,"DSCR",39.86,-75.84,"SNTemp"
2015-01-21,70,-1.611,87.9034166666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-22,70,-0.4194,51.317375,"DSCR",39.86,-75.84,"SNTemp"
2015-01-23,70,-0.5778,111.890291666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-24,70,0.8528,55.7755416666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-25,70,2.639,127.493875,"DSCR",39.86,-75.84,"SNTemp"
2015-01-26,70,-1.239,50.2512916666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-27,70,-4.492,44.5380541666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-28,70,-4.353,71.23375,"DSCR",39.86,-75.84,"SNTemp"
2015-01-29,70,-5.372,71.1368333333333,"DSCR",39.86,-75.84,"SNTemp"
2015-01-30,70,-2.894,113.198666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-01-31,70,-6.553,46.258325,"DSCR",39.86,-75.84,"SNTemp"
2015-02-01,70,-3.514,93.185375,"DSCR",39.86,-75.84,"SNTemp"
2015-02-02,70,-1.269,57.2292916666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-03,70,-4.483,47.4891666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-04,70,-1.586,120.903541666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-05,70,-2.314,120.176666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-06,70,-6.114,66.1940833333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-07,70,-2.181,127.396958333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-08,70,2.919,146.344166666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-09,70,0.9028,127.493875,"DSCR",39.86,-75.84,"SNTemp"
2015-02-10,70,-0.6944,54.7094583333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-11,70,-0.9389,121.630416666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-12,70,-2.758,118.577541666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-13,70,-8.461,52.2865416666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-14,70,-6.978,52.8195833333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-15,70,-11.1,53.3041666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-16,70,-14.35,53.8372083333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-17,70,-10.49,54.37025,"DSCR",39.86,-75.84,"SNTemp"
2015-02-18,70,-9.181,54.9032916666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-19,70,-10.24,55.4363333333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-20,70,-13.45,55.969375,"DSCR",39.86,-75.84,"SNTemp"
2015-02-21,70,-9.65,56.5024166666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-22,70,0.2778,71.4760416666667,"DSCR",39.86,-75.84,"SNTemp"
2015-02-23,70,-3.883,123.132625,"DSCR",39.86,-75.84,"SNTemp"
2015-02-24,70,-10.15,58.15,"DSCR",39.86,-75.84,"SNTemp"
2015-02-25,70,-6.064,104.282333333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-26,70,-3.161,82.136875,"DSCR",39.86,-75.84,"SNTemp"
2015-02-27,70,-5.156,59.7975833333333,"DSCR",39.86,-75.84,"SNTemp"
2015-02-28,70,-6.856,60.330625,"DSCR",39.86,-75.84,"SNTemp"
2015-03-01,70,-5.436,60.912125,"DSCR",39.86,-75.84,"SNTemp"
2015-03-02,70,-0.9167,61.4451666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-03-03,70,-2.164,62.0266666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-03-04,70,2.181,62.6081666666667,"DSCR",39.86,-75.84,"SNTemp"
2015-03-05,70,-1.117,63.1412083333333,"DSCR",39.86,-75.84,"SNTemp"
2015-03-06,70,-7.536,63.7227083333333,"DSCR",39.86,-75.84,"SNTemp"
2015-03-07,70,-6.853,64.25575,"DSCR",39.86,-75.84,"SNTemp"
2015-03-08,70,1.164,142.17675,"DSCR",39.86,-75.84,"SNTemp"
2015-03-09,70,4.656,180.071166666667,"DSCR",39.86,-75.84,"SNTemp"
2015-03-10,70,5.969,189.908208333333,"DSCR",39.86,-75.84,"SNTemp"
