"Date","rel_humidity_mean","temp_mean","solar_radiation_mean","Station","Latitude","Longitude","Data_source"
2015-01-01,70,-1.636,90.714,"DWCH",39.94,-75.55,"SNTemp"
2015-01-02,70,0.2889,104.96075,"DWCH",39.94,-75.55,"SNTemp"
2015-01-03,70,0.5306,105.54225,"DWCH",39.94,-75.55,"SNTemp"
2015-01-04,70,4.683,58.6345833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-05,70,4.431,122.454208333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-06,70,-5.322,37.361375,"DWCH",39.94,-75.55,"SNTemp"
2015-01-07,70,-9.078,37.5455166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-08,70,-10.34,37.7441958333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-09,70,-6.692,37.9525666666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-10,70,-7.464,38.1706291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-11,70,-6.789,63.7227083333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-12,70,-0.775,48.7975416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-13,70,-1.758,47.2904875,"DWCH",39.94,-75.55,"SNTemp"
2015-01-14,70,-4.917,45.9627291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-15,70,-2.908,70.5553333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-16,70,-0.975,103.700833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-17,70,-3.236,101.229458333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-18,70,-1.939,105.978375,"DWCH",39.94,-75.55,"SNTemp"
2015-01-19,70,1.681,59.167625,"DWCH",39.94,-75.55,"SNTemp"
2015-01-20,70,1.811,121.097375,"DWCH",39.94,-75.55,"SNTemp"
2015-01-21,70,-0.7611,103.603916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-22,70,-0.8917,48.7975416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-23,70,-0.6639,111.696458333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-24,70,0.5583,56.2116666666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-25,70,2.011,122.454208333333,"DWCH",39.94,-75.55,"SNTemp"
2015-01-26,70,-0.5889,54.661,"DWCH",39.94,-75.55,"SNTemp"
2015-01-27,70,-4.347,43.5058916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-28,70,-4.172,79.9077916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-01-29,70,-5.114,79.810875,"DWCH",39.94,-75.55,"SNTemp"
2015-01-30,70,-3.278,108.885875,"DWCH",39.94,-75.55,"SNTemp"
2015-01-31,70,-5.731,82.5245416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-01,70,-4.244,83.299875,"DWCH",39.94,-75.55,"SNTemp"
2015-02-02,70,-0.6917,58.3438333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-03,70,-4.197,46.4763875,"DWCH",39.94,-75.55,"SNTemp"
2015-02-04,70,-2.3,117.075333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-05,70,-0.9278,132.824291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-06,70,-6.347,65.5156666666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-07,70,-3.467,115.233916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-08,70,2.947,147.313333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-09,70,1.747,139.802291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-10,70,-1.036,54.1764166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-11,70,-0.7389,128.075375,"DWCH",39.94,-75.55,"SNTemp"
2015-02-12,70,-1.911,122.841875,"DWCH",39.94,-75.55,"SNTemp"
2015-02-13,70,-7.55,51.317375,"DWCH",39.94,-75.55,"SNTemp"
2015-02-14,70,-7.386,51.8504166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-15,70,-9.847,52.3834583333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-16,70,-14,52.8680416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-17,70,-10.57,53.4010833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-18,70,-8.7,53.934125,"DWCH",39.94,-75.55,"SNTemp"
2015-02-19,70,-9.294,54.515625,"DWCH",39.94,-75.55,"SNTemp"
2015-02-20,70,-13.06,55.0486666666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-21,70,-10.31,55.5817083333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-22,70,-0.9611,68.762375,"DWCH",39.94,-75.55,"SNTemp"
2015-02-23,70,-2.189,145.714208333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-24,70,-9.669,57.2292916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-02-25,70,-6.8,79.4232083333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-26,70,-3.344,109.467375,"DWCH",39.94,-75.55,"SNTemp"
2015-02-27,70,-4.433,58.9253333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-02-28,70,-6.444,59.458375,"DWCH",39.94,-75.55,"SNTemp"
2015-03-01,70,-5.494,60.039875,"DWCH",39.94,-75.55,"SNTemp"
2015-03-02,70,-1.064,60.621375,"DWCH",39.94,-75.55,"SNTemp"
2015-03-03,70,-2.439,61.1544166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-04,70,0.9222,61.7359166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-05,70,0.2222,62.3174166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-06,70,-8.372,62.8504583333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-07,70,-6.736,63.4319583333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-08,70,-0.01944,126.573166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-09,70,4.419,179.150458333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-10,70,6.039,190.247416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-11,70,8.108,200.811333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-12,70,6.769,189.908208333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-13,70,3.358,170.815625,"DWCH",39.94,-75.55,"SNTemp"
2015-03-14,70,4.144,81.5069166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-15,70,5.658,82.5245416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-16,70,4.783,180.991875,"DWCH",39.94,-75.55,"SNTemp"
2015-03-17,70,8.131,220.340041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-18,70,5.4,205.2695,"DWCH",39.94,-75.55,"SNTemp"
2015-03-19,70,1.233,146.24725,"DWCH",39.94,-75.55,"SNTemp"
2015-03-20,70,1.756,137.282458333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-21,70,2.517,71.3306666666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-22,70,3.961,173.190083333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-23,70,1.008,150.31775,"DWCH",39.94,-75.55,"SNTemp"
2015-03-24,70,0.3694,91.9739166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-25,70,0.1111,107.529041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-26,70,7.122,230.807041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-27,70,7.728,218.886291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-28,70,2.272,143.194375,"DWCH",39.94,-75.55,"SNTemp"
2015-03-29,70,0.09167,111.018041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-03-30,70,4.706,206.335583333333,"DWCH",39.94,-75.55,"SNTemp"
2015-03-31,70,6.706,233.569166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-01,70,5.889,104.573083333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-02,70,7.956,179.828875,"DWCH",39.94,-75.55,"SNTemp"
2015-04-03,70,12.59,206.72325,"DWCH",39.94,-75.55,"SNTemp"
2015-04-04,70,12,202.991958333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-05,70,8.956,178.665875,"DWCH",39.94,-75.55,"SNTemp"
2015-04-06,70,11.23,230.274,"DWCH",39.94,-75.55,"SNTemp"
2015-04-07,70,13.55,240.256416666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-08,70,8.789,122.938791666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-09,70,4.444,81.11925,"DWCH",39.94,-75.55,"SNTemp"
2015-04-10,70,6.778,81.6038333333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-11,70,9.7,160.300166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-12,70,9.078,212.2475,"DWCH",39.94,-75.55,"SNTemp"
2015-04-13,70,12.68,247.379791666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-14,70,14.26,238.948041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-15,70,12.41,227.802625,"DWCH",39.94,-75.55,"SNTemp"
2015-04-16,70,14.49,246.362166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-17,70,15.91,258.137541666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-18,70,17.11,269.816,"DWCH",39.94,-75.55,"SNTemp"
2015-04-19,70,15.97,263.952541666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-20,70,15.28,257.216833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-21,70,15.03,249.415041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-22,70,12.42,246.216791666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-23,70,8.556,178.665875,"DWCH",39.94,-75.55,"SNTemp"
2015-04-24,70,6.6,87.661125,"DWCH",39.94,-75.55,"SNTemp"
2015-04-25,70,6.225,126.670083333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-26,70,9.156,196.886208333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-27,70,9.783,202.313541666667,"DWCH",39.94,-75.55,"SNTemp"
2015-04-28,70,12.67,235.846708333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-29,70,14.9,272.335833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-04-30,70,14.89,277.327041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-01,70,12.99,110.291166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-02,70,12.86,171.881708333333,"DWCH",39.94,-75.55,"SNTemp"
2015-05-03,70,16.22,252.467916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-04,70,18.49,276.745541666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-05,70,20.94,282.657458333333,"DWCH",39.94,-75.55,"SNTemp"
2015-05-06,70,20.42,265.406291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-07,70,19.09,257.992166666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-08,70,19.24,275.291791666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-09,70,20,278.053916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-10,70,21.36,276.987833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-05-11,70,23.23,287.212541666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-12,70,22.72,294.335916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-13,70,17.6,257.216833333333,"DWCH",39.94,-75.55,"SNTemp"
2015-05-14,70,14.11,198.243041666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-15,70,15.3,234.974458333333,"DWCH",39.94,-75.55,"SNTemp"
2015-05-16,70,19.21,283.868916666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-17,70,22.5,297.728,"DWCH",39.94,-75.55,"SNTemp"
2015-05-18,70,22.74,299.133291666667,"DWCH",39.94,-75.55,"SNTemp"
2015-05-19,70,21.73,297.1465,"DWCH",39.94,-75.55,"SNTemp"
2015-05-20,70,17.63,263.322583333333,"DWCH",39.94,-75.55,"SNTemp"
