"Date","rel_humidity_mean","temp_mean","solar_radiation_mean","Station","Latitude","Longitude","Data_source"
2015-01-01,70,-2.661,82.2337916666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-02,70,-0.5583,97.7889166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-03,70,-0.6833,97.255875,"DWWK",40.16,-75.73,"SNTemp"
2015-01-04,70,2.992,54.0310416666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-05,70,3.383,56.9385416666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-06,70,-5.975,51.4142916666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-07,70,-9.192,35.6265666666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-08,70,-11.04,35.8204,"DWWK",40.16,-75.73,"SNTemp"
2015-01-09,70,-7.819,36.0336166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-10,70,-8.25,36.2516791666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-11,70,-7.764,36.4842791666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-12,70,-2.072,44.5380541666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-13,70,-2.903,42.6384875,"DWWK",40.16,-75.73,"SNTemp"
2015-01-14,70,-6.317,37.245075,"DWWK",40.16,-75.73,"SNTemp"
2015-01-15,70,-4.486,52.5772916666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-16,70,-2.167,93.6699583333333,"DWWK",40.16,-75.73,"SNTemp"
2015-01-17,70,-4.236,93.3792083333333,"DWWK",40.16,-75.73,"SNTemp"
2015-01-18,70,-3.228,90.568625,"DWWK",40.16,-75.73,"SNTemp"
2015-01-19,70,1.233,56.3570416666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-20,70,1.189,112.617166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-21,70,-1.428,97.5950833333333,"DWWK",40.16,-75.73,"SNTemp"
2015-01-22,70,-2.047,40.2494916666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-23,70,-1.586,102.9255,"DWWK",40.16,-75.73,"SNTemp"
2015-01-24,70,-0.3778,52.6742083333333,"DWWK",40.16,-75.73,"SNTemp"
2015-01-25,70,1.292,110.969583333333,"DWWK",40.16,-75.73,"SNTemp"
2015-01-26,70,-1.683,50.6874166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-27,70,-4.886,41.6305541666667,"DWWK",40.16,-75.73,"SNTemp"
2015-01-28,70,-5.142,71.5245,"DWWK",40.16,-75.73,"SNTemp"
2015-01-29,70,-6.822,69.1985,"DWWK",40.16,-75.73,"SNTemp"
2015-01-30,70,-4.95,47.0336583333333,"DWWK",40.16,-75.73,"SNTemp"
2015-01-31,70,-6.386,43.3023666666667,"DWWK",40.16,-75.73,"SNTemp"
2015-02-01,70,-5.497,53.8372083333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-02,70,-1.528,53.0134166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-02-03,70,-5.128,44.6398166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-02-04,70,-3.889,93.6215,"DWWK",40.16,-75.73,"SNTemp"
2015-02-05,70,-1.867,123.326458333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-06,70,-7.858,46.0499541666667,"DWWK",40.16,-75.73,"SNTemp"
2015-02-07,70,-5.067,93.185375,"DWWK",40.16,-75.73,"SNTemp"
2015-02-08,70,1.192,129.577583333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-09,70,0.5,118.383708333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-10,70,-2.058,48.0222083333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-11,70,-2.036,118.383708333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-12,70,-2.978,112.277958333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-13,70,-8.061,49.572875,"DWWK",40.16,-75.73,"SNTemp"
2015-02-14,70,-9.111,50.1059166666667,"DWWK",40.16,-75.73,"SNTemp"
2015-02-15,70,-11.12,50.6389583333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-16,70,-14.78,51.172,"DWWK",40.16,-75.73,"SNTemp"
2015-02-17,70,-11.97,51.7050416666667,"DWWK",40.16,-75.73,"SNTemp"
2015-02-18,70,-9.489,52.2380833333333,"DWWK",40.16,-75.73,"SNTemp"
2015-02-19,70,-9.822,52.771125,"DWWK",40.16,-75.73,"SNTemp"
2015-02-20,70,-13.59,53.352625,"DWWK",40.16,-75.73,"SNTemp"
