"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DBUK1",39.82,-75.73,"PSM",-0.916666666666667,70.5583333333333,114.083333333333,485,2738
2015-01-02,"DBUK1",39.82,-75.73,"PSM",0.25,78.2320833333333,88.125,387,2115
2015-01-03,"DBUK1",39.82,-75.73,"PSM",0.583333333333333,93.2216666666667,17.5416666666667,103,421
2015-01-04,"DBUK1",39.82,-75.73,"PSM",6.29166666666667,98.4375,23.25,115,558
2015-01-05,"DBUK1",39.82,-75.73,"PSM",-1.25,61.0670833333333,106.625,496,2559
2015-01-06,"DBUK1",39.82,-75.73,"PSM",-4.5,66.9395833333333,42.0416666666667,185,1009
2015-01-07,"DBUK1",39.82,-75.73,"PSM",-7.125,57.14375,95.6666666666667,436,2296
2015-01-08,"DBUK1",39.82,-75.73,"PSM",-9.91666666666667,60.1925,119.083333333333,516,2858
2015-01-09,"DBUK1",39.82,-75.73,"PSM",-4,65.1904166666667,103.875,516,2493
2015-01-10,"DBUK1",39.82,-75.73,"PSM",-8.58333333333333,60.3729166666667,130.791666666667,541,3139
2015-01-11,"DBUK1",39.82,-75.73,"PSM",-3.16666666666667,72.2866666666667,116.625,520,2799
2015-01-12,"DBUK1",39.82,-75.73,"PSM",0.0833333333333333,95.6220833333333,27,124,648
2015-01-13,"DBUK1",39.82,-75.73,"PSM",-4.29166666666667,70.9808333333333,124.375,523,2985
2015-01-14,"DBUK1",39.82,-75.73,"PSM",-4.95833333333333,79.5183333333333,43.125,197,1035
2015-01-15,"DBUK1",39.82,-75.73,"PSM",-3.25,82.7579166666667,107.666666666667,497,2584
2015-01-16,"DBUK1",39.82,-75.73,"PSM",-2.16666666666667,78.1766666666667,110.666666666667,505,2656
2015-01-17,"DBUK1",39.82,-75.73,"PSM",-5.33333333333333,69.25125,120.041666666667,515,2881
2015-01-18,"DBUK1",39.82,-75.73,"PSM",-0.291666666666667,98.3233333333333,13.7083333333333,86,329
2015-01-19,"DBUK1",39.82,-75.73,"PSM",0.416666666666667,87.735,77.9583333333333,504,1871
2015-01-20,"DBUK1",39.82,-75.73,"PSM",0.25,88.32875,65.8333333333333,304,1580
2015-01-21,"DBUK1",39.82,-75.73,"PSM",-2.08333333333333,80.5054166666667,61.7083333333333,306,1481
2015-01-22,"DBUK1",39.82,-75.73,"PSM",-0.833333333333333,88.68,77,385,1848
2015-01-23,"DBUK1",39.82,-75.73,"PSM",-0.75,85.755,98.6666666666667,441,2368
2015-01-24,"DBUK1",39.82,-75.73,"PSM",-0.583333333333333,95.3291666666667,41.75,210,1002
2015-01-25,"DBUK1",39.82,-75.73,"PSM",-0.25,90.04375,87.2083333333333,364,2093
2015-01-26,"DBUK1",39.82,-75.73,"PSM",-3.375,84.4625,29.5416666666667,142,709
2015-01-27,"DBUK1",39.82,-75.73,"PSM",-4,78.5158333333333,106.958333333333,573,2567
2015-01-28,"DBUK1",39.82,-75.73,"PSM",-7.08333333333333,73.06125,154.125,604,3699
2015-01-29,"DBUK1",39.82,-75.73,"PSM",-5.08333333333333,77.2558333333333,88.5,412,2124
2015-01-30,"DBUK1",39.82,-75.73,"PSM",-2.5,81.7404166666667,111.125,452,2667
2015-01-31,"DBUK1",39.82,-75.73,"PSM",-8.08333333333333,70.0795833333333,151.458333333333,588,3635
2015-02-01,"DBUK1",39.82,-75.73,"PSM",-3.25,82.4945833333333,83.2083333333333,385,1997
2015-02-02,"DBUK1",39.82,-75.73,"PSM",-2.04166666666667,89.7858333333333,31.2083333333333,141,749
2015-02-03,"DBUK1",39.82,-75.73,"PSM",-6.95833333333333,69.785,137.416666666667,607,3298
2015-02-04,"DBUK1",39.82,-75.73,"PSM",-1.41666666666667,87.2766666666667,114.75,421,2754
2015-02-05,"DBUK1",39.82,-75.73,"PSM",-4,70.4891666666667,122.166666666667,577,2932
2015-02-06,"DBUK1",39.82,-75.73,"PSM",-7.41666666666667,69.5825,115.625,472,2775
2015-02-07,"DBUK1",39.82,-75.73,"PSM",-2,79.38125,110.375,475,2649
2015-02-08,"DBUK1",39.82,-75.73,"PSM",0.625,94.9154166666667,78.5833333333333,414,1886
2015-02-09,"DBUK1",39.82,-75.73,"PSM",-0.916666666666667,87.6145833333333,17.75,96,426
2015-02-10,"DBUK1",39.82,-75.73,"PSM",-1.375,80.7983333333333,121.5,562,2916
2015-02-11,"DBUK1",39.82,-75.73,"PSM",-2.41666666666667,71.41,166.416666666667,648,3994
2015-02-12,"DBUK1",39.82,-75.73,"PSM",-2.29166666666667,75.1170833333333,95.625,394,2295
2015-02-13,"DBUK1",39.82,-75.73,"PSM",-9.04166666666667,55.38,180.666666666667,676,4336
2015-02-14,"DBUK1",39.82,-75.73,"PSM",-5.04166666666667,76.975,57.75,214,1386
2015-02-15,"DBUK1",39.82,-75.73,"PSM",-12.375,57.4425,187.041666666667,704,4489
2015-02-16,"DBUK1",39.82,-75.73,"PSM",-12.75,60.63,131.625,535,3159
2015-02-17,"DBUK1",39.82,-75.73,"PSM",-8.16666666666667,74.2420833333333,175.75,693,4218
2015-02-18,"DBUK1",39.82,-75.73,"PSM",-5.79166666666667,69.5358333333333,184.25,711,4422
2015-02-19,"DBUK1",39.82,-75.73,"PSM",-10.3333333333333,60.3804166666667,156.958333333333,712,3767
2015-02-20,"DBUK1",39.82,-75.73,"PSM",-13.375,58.70875,204.625,743,4911
2015-02-21,"DBUK1",39.82,-75.73,"PSM",-7.45833333333333,79.8179166666667,57.6666666666667,249,1384
2015-02-22,"DBUK1",39.82,-75.73,"PSM",0.625,89.4679166666667,157.791666666667,710,3787
2015-02-23,"DBUK1",39.82,-75.73,"PSM",-6.41666666666667,71.4625,136.708333333333,741,3281
2015-02-24,"DBUK1",39.82,-75.73,"PSM",-10.0416666666667,69.0629166666667,206.708333333333,765,4961
2015-02-25,"DBUK1",39.82,-75.73,"PSM",-4.125,77.1525,187.208333333333,745,4493
2015-02-26,"DBUK1",39.82,-75.73,"PSM",-3.41666666666667,75.48875,145.666666666667,586,3496
2015-02-27,"DBUK1",39.82,-75.73,"PSM",-5.125,71.5883333333333,203,754,4872
2015-02-28,"DBUK1",39.82,-75.73,"PSM",-6.54166666666667,59.18125,212.166666666667,774,5092
2015-03-01,"DBUK1",39.82,-75.73,"PSM",-3.95833333333333,81.1729166666667,67.375,304,1617
2015-03-02,"DBUK1",39.82,-75.73,"PSM",-1.875,85.8554166666667,216.666666666667,780,5200
2015-03-03,"DBUK1",39.82,-75.73,"PSM",-3.66666666666667,82.0058333333333,107.875,653,2589
2015-03-04,"DBUK1",39.82,-75.73,"PSM",0.958333333333333,99.86625,78.0833333333333,389,1874
2015-03-05,"DBUK1",39.82,-75.73,"PSM",-3.41666666666667,90.2425,50.5,248,1212
2015-03-06,"DBUK1",39.82,-75.73,"PSM",-10.875,78.9629166666667,238.416666666667,825,5722
2015-03-07,"DBUK1",39.82,-75.73,"PSM",-5.58333333333333,87.0908333333333,184.791666666667,768,4435
