"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DCHI",39.73,-75.52,"PSM",-0.25,71.4483333333333,110.916666666667,483,2662
2015-01-02,"DCHI",39.73,-75.52,"PSM",0.791666666666667,78.3075,87.5833333333333,387,2102
2015-01-03,"DCHI",39.73,-75.52,"PSM",1.41666666666667,93.3408333333333,16.7083333333333,71,401
2015-01-04,"DCHI",39.73,-75.52,"PSM",8.08333333333333,99.01375,25.25,116,606
2015-01-05,"DCHI",39.73,-75.52,"PSM",-0.5,62.7008333333333,96.125,442,2307
2015-01-06,"DCHI",39.73,-75.52,"PSM",-4,69.34625,40.75,239,978
2015-01-07,"DCHI",39.73,-75.52,"PSM",-6.04166666666667,57.0033333333333,95.3333333333333,438,2288
2015-01-08,"DCHI",39.73,-75.52,"PSM",-9.20833333333333,60.39625,121.958333333333,516,2927
2015-01-09,"DCHI",39.73,-75.52,"PSM",-3.25,68.1045833333333,103.541666666667,500,2485
2015-01-10,"DCHI",39.73,-75.52,"PSM",-7.75,61.8466666666667,126.625,523,3039
2015-01-11,"DCHI",39.73,-75.52,"PSM",-2.5,72.3395833333333,106.666666666667,501,2560
2015-01-12,"DCHI",39.73,-75.52,"PSM",0.666666666666667,95.9275,15.2916666666667,72,367
2015-01-13,"DCHI",39.73,-75.52,"PSM",-3.20833333333333,71.995,118.291666666667,519,2839
2015-01-14,"DCHI",39.73,-75.52,"PSM",-3.875,81.6454166666667,52.4583333333333,271,1259
2015-01-15,"DCHI",39.73,-75.52,"PSM",-2.25,81.6383333333333,98.0833333333333,447,2354
2015-01-16,"DCHI",39.73,-75.52,"PSM",-1.29166666666667,78.2945833333333,113.875,504,2733
2015-01-17,"DCHI",39.73,-75.52,"PSM",-4.25,67.6433333333333,120.208333333333,515,2885
2015-01-18,"DCHI",39.73,-75.52,"PSM",0.708333333333333,99.4920833333333,14.7083333333333,86,353
2015-01-19,"DCHI",39.73,-75.52,"PSM",1,87.7091666666667,94.0833333333333,504,2258
2015-01-20,"DCHI",39.73,-75.52,"PSM",0.833333333333333,89.41875,74.875,376,1797
2015-01-21,"DCHI",39.73,-75.52,"PSM",-1.5,81.00875,73.375,360,1761
2015-01-22,"DCHI",39.73,-75.52,"PSM",-0.25,90.5125,79.8333333333333,435,1916
2015-01-23,"DCHI",39.73,-75.52,"PSM",-0.291666666666667,87.0020833333333,96.125,413,2307
2015-01-24,"DCHI",39.73,-75.52,"PSM",-0.166666666666667,96.7516666666667,38.5833333333333,218,926
2015-01-25,"DCHI",39.73,-75.52,"PSM",0.208333333333333,89.8154166666667,95.7916666666667,409,2299
2015-01-26,"DCHI",39.73,-75.52,"PSM",-2.16666666666667,86.3454166666667,44.0416666666667,234,1057
2015-01-27,"DCHI",39.73,-75.52,"PSM",-3.125,77.0291666666667,112.166666666667,571,2692
2015-01-28,"DCHI",39.73,-75.52,"PSM",-6.375,72.9179166666667,149.166666666667,584,3580
2015-01-29,"DCHI",39.73,-75.52,"PSM",-4.16666666666667,77.7175,78.125,326,1875
2015-01-30,"DCHI",39.73,-75.52,"PSM",-1.54166666666667,81.7020833333333,90.75,341,2178
2015-01-31,"DCHI",39.73,-75.52,"PSM",-7.29166666666667,68.6220833333333,151.291666666667,586,3631
2015-02-01,"DCHI",39.73,-75.52,"PSM",-2.5,80.8883333333333,85.625,426,2055
2015-02-02,"DCHI",39.73,-75.52,"PSM",-0.958333333333333,90.6279166666667,30.5,171,732
2015-02-03,"DCHI",39.73,-75.52,"PSM",-6.04166666666667,68.795,143.25,606,3438
2015-02-04,"DCHI",39.73,-75.52,"PSM",-0.583333333333333,86.9416666666667,117.416666666667,517,2818
2015-02-05,"DCHI",39.73,-75.52,"PSM",-3.125,70.94375,99.7916666666667,467,2395
2015-02-06,"DCHI",39.73,-75.52,"PSM",-6.5,69.52875,114.125,436,2739
2015-02-07,"DCHI",39.73,-75.52,"PSM",-1.70833333333333,80.14125,114.416666666667,514,2746
2015-02-08,"DCHI",39.73,-75.52,"PSM",1.04166666666667,96.4058333333333,92.625,448,2223
