"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DDFS",39.17,-75.59,"PSM",0.25,73.9154166666667,115.166666666667,496,2764
2015-01-02,"DDFS",39.17,-75.59,"PSM",1.58333333333333,79.9241666666667,72.4583333333333,349,1739
2015-01-03,"DDFS",39.17,-75.59,"PSM",2.625,93.905,20.2916666666667,106,487
2015-01-04,"DDFS",39.17,-75.59,"PSM",10.2916666666667,98.4233333333333,31.375,184,753
2015-01-05,"DDFS",39.17,-75.59,"PSM",0.916666666666667,64.8033333333333,105.083333333333,454,2522
2015-01-06,"DDFS",39.17,-75.59,"PSM",-2.83333333333333,72.2870833333333,43.9166666666667,210,1054
2015-01-07,"DDFS",39.17,-75.59,"PSM",-4.375,58.6983333333333,88.25,458,2118
2015-01-08,"DDFS",39.17,-75.59,"PSM",-7.91666666666667,59.435,128.583333333333,531,3086
2015-01-09,"DDFS",39.17,-75.59,"PSM",-2.375,66.0641666666667,108.291666666667,520,2599
2015-01-10,"DDFS",39.17,-75.59,"PSM",-6.54166666666667,61.07125,130.375,536,3129
2015-01-11,"DDFS",39.17,-75.59,"PSM",-1.91666666666667,71.02375,117.666666666667,513,2824
2015-01-12,"DDFS",39.17,-75.59,"PSM",0.916666666666667,98.22875,19.9166666666667,100,478
2015-01-13,"DDFS",39.17,-75.59,"PSM",-1.41666666666667,73.3770833333333,94.875,448,2277
2015-01-14,"DDFS",39.17,-75.59,"PSM",-1.91666666666667,85.9358333333333,89.125,455,2139
2015-01-15,"DDFS",39.17,-75.59,"PSM",-1.04166666666667,81.615,114.375,508,2745
2015-01-16,"DDFS",39.17,-75.59,"PSM",0.125,80.8683333333333,102.416666666667,433,2458
2015-01-17,"DDFS",39.17,-75.59,"PSM",-2.45833333333333,66.765,130.125,528,3123
2015-01-18,"DDFS",39.17,-75.59,"PSM",1.95833333333333,99.7866666666667,11.0416666666667,54,265
2015-01-19,"DDFS",39.17,-75.59,"PSM",1.25,86.7033333333333,82.4583333333333,516,1979
2015-01-20,"DDFS",39.17,-75.59,"PSM",1.5,86.3604166666667,64.4583333333333,403,1547
2015-01-21,"DDFS",39.17,-75.59,"PSM",-0.625,88.94375,31.4583333333333,134,755
2015-01-22,"DDFS",39.17,-75.59,"PSM",0.333333333333333,90.57375,88.9166666666667,547,2134
2015-01-23,"DDFS",39.17,-75.59,"PSM",0.416666666666667,89.1570833333333,114.833333333333,475,2756
2015-01-24,"DDFS",39.17,-75.59,"PSM",0.25,96.1320833333333,33.2916666666667,231,799
2015-01-25,"DDFS",39.17,-75.59,"PSM",1.70833333333333,87.69625,107.875,525,2589
2015-01-26,"DDFS",39.17,-75.59,"PSM",-0.25,94.2329166666667,20.7083333333333,171,497
2015-01-27,"DDFS",39.17,-75.59,"PSM",-1.75,76.3879166666667,127.25,579,3054
2015-01-28,"DDFS",39.17,-75.59,"PSM",-4.20833333333333,69.2183333333333,157.458333333333,616,3779
2015-01-29,"DDFS",39.17,-75.59,"PSM",-2.66666666666667,77.38375,103.333333333333,441,2480
2015-01-30,"DDFS",39.17,-75.59,"PSM",-0.875,81.12625,90.4166666666667,468,2170
2015-01-31,"DDFS",39.17,-75.59,"PSM",-5.625,65.6079166666667,154.666666666667,598,3712
2015-02-01,"DDFS",39.17,-75.59,"PSM",-1.29166666666667,78.3166666666667,79.25,421,1902
2015-02-02,"DDFS",39.17,-75.59,"PSM",1.33333333333333,87.84125,30.9166666666667,184,742
2015-02-03,"DDFS",39.17,-75.59,"PSM",-3.70833333333333,64.00125,141.916666666667,620,3406
2015-02-04,"DDFS",39.17,-75.59,"PSM",0.708333333333333,84.9766666666667,143.833333333333,547,3452
2015-02-05,"DDFS",39.17,-75.59,"PSM",-1.875,70.0066666666667,125.208333333333,583,3005
2015-02-06,"DDFS",39.17,-75.59,"PSM",-4.45833333333333,64.6166666666667,148,626,3552
2015-02-07,"DDFS",39.17,-75.59,"PSM",-0.333333333333333,78.3095833333333,119.166666666667,485,2860
2015-02-08,"DDFS",39.17,-75.59,"PSM",2.625,94.8933333333333,123.791666666667,606,2971
2015-02-09,"DDFS",39.17,-75.59,"PSM",0.208333333333333,95.2045833333333,35.4583333333333,209,851
2015-02-10,"DDFS",39.17,-75.59,"PSM",-0.333333333333333,84.9533333333333,107.791666666667,463,2587
2015-02-11,"DDFS",39.17,-75.59,"PSM",-0.916666666666667,74.7529166666667,172.041666666667,657,4129
2015-02-12,"DDFS",39.17,-75.59,"PSM",-0.583333333333333,78.4095833333333,58.75,252,1410
2015-02-13,"DDFS",39.17,-75.59,"PSM",-7,56.69875,183.916666666667,685,4414
2015-02-14,"DDFS",39.17,-75.59,"PSM",-2.83333333333333,74.85625,79.4583333333333,482,1907
2015-02-15,"DDFS",39.17,-75.59,"PSM",-10.375,57.2204166666667,190.291666666667,713,4567
2015-02-16,"DDFS",39.17,-75.59,"PSM",-11,61.7866666666667,145.333333333333,646,3488
2015-02-17,"DDFS",39.17,-75.59,"PSM",-6.41666666666667,74.9395833333333,160.041666666667,700,3841
2015-02-18,"DDFS",39.17,-75.59,"PSM",-4.16666666666667,69.7541666666667,187.916666666667,722,4510
2015-02-19,"DDFS",39.17,-75.59,"PSM",-9.04166666666667,61.76125,147.375,723,3537
2015-02-20,"DDFS",39.17,-75.59,"PSM",-11.875,59.485,208.416666666667,754,5002
2015-02-21,"DDFS",39.17,-75.59,"PSM",-4.95833333333333,78.0291666666667,53.9166666666667,186,1294
2015-02-22,"DDFS",39.17,-75.59,"PSM",0.791666666666667,96.9454166666667,145.375,707,3489
2015-02-23,"DDFS",39.17,-75.59,"PSM",-3.33333333333333,71.8595833333333,136.5,691,3276
2015-02-24,"DDFS",39.17,-75.59,"PSM",-7.70833333333333,68.5779166666667,211.208333333333,772,5069
2015-02-25,"DDFS",39.17,-75.59,"PSM",-2.08333333333333,76.51875,177.916666666667,664,4270
2015-02-26,"DDFS",39.17,-75.59,"PSM",-1.54166666666667,79.8879166666667,132.833333333333,636,3188
2015-02-27,"DDFS",39.17,-75.59,"PSM",-3.125,74.0108333333333,156.375,616,3753
2015-02-28,"DDFS",39.17,-75.59,"PSM",-5.125,59.6858333333333,183.125,681,4395
2015-03-01,"DDFS",39.17,-75.59,"PSM",-2.45833333333333,77.97125,53.0416666666667,274,1273
2015-03-02,"DDFS",39.17,-75.59,"PSM",-0.291666666666667,85.1229166666667,206.041666666667,789,4945
2015-03-03,"DDFS",39.17,-75.59,"PSM",-1.83333333333333,83.8979166666667,80.7083333333333,388,1937
2015-03-04,"DDFS",39.17,-75.59,"PSM",2.75,99.5670833333333,55.8333333333333,318,1340
2015-03-05,"DDFS",39.17,-75.59,"PSM",-1.625,90.7454166666667,19.4583333333333,105,467
2015-03-06,"DDFS",39.17,-75.59,"PSM",-7.375,73.57,241.583333333333,835,5798
2015-03-07,"DDFS",39.17,-75.59,"PSM",-2.875,84.5341666666667,218.166666666667,799,5236
2015-03-08,"DDFS",39.17,-75.59,"PSM",3,82.2720833333333,225.416666666667,799,5410
2015-03-09,"DDFS",39.17,-75.59,"PSM",4.83333333333333,83.8141666666667,212.666666666667,790,5104
2015-03-10,"DDFS",39.17,-75.59,"PSM",5.54166666666667,96.6866666666667,92.25,395,2214
2015-03-11,"DDFS",39.17,-75.59,"PSM",7.45833333333333,95.6641666666667,141.75,582,3402
2015-03-12,"DDFS",39.17,-75.59,"PSM",2.95833333333333,76.20125,239.708333333333,814,5753
2015-03-13,"DDFS",39.17,-75.59,"PSM",2.66666666666667,78.0395833333333,182.25,667,4374
2015-03-14,"DDFS",39.17,-75.59,"PSM",7.5,99.1995833333333,46.375,212,1113
2015-03-15,"DDFS",39.17,-75.59,"PSM",4.33333333333333,85.935,94.5416666666667,316,2269
2015-03-16,"DDFS",39.17,-75.59,"PSM",4.625,87.2504166666667,184.5,653,4428
2015-03-17,"DDFS",39.17,-75.59,"PSM",7.79166666666667,82.8258333333333,197.583333333333,643,4742
2015-03-18,"DDFS",39.17,-75.59,"PSM",1.29166666666667,67.2066666666667,254.041666666667,849,6097
2015-03-19,"DDFS",39.17,-75.59,"PSM",1.45833333333333,70.5675,209.25,711,5022
2015-03-20,"DDFS",39.17,-75.59,"PSM",0.666666666666667,96.77375,37.25,230,894
2015-03-21,"DDFS",39.17,-75.59,"PSM",4.41666666666667,89.105,234.083333333333,797,5618
2015-03-22,"DDFS",39.17,-75.59,"PSM",3.29166666666667,76.5420833333333,244.125,844,5859
2015-03-23,"DDFS",39.17,-75.59,"PSM",0.833333333333333,69.6125,257.5,858,6180
2015-03-24,"DDFS",39.17,-75.59,"PSM",1.29166666666667,72.3,65.5,287,1572
2015-03-25,"DDFS",39.17,-75.59,"PSM",4,85.9483333333333,118.458333333333,471,2843
2015-03-26,"DDFS",39.17,-75.59,"PSM",11.2083333333333,98.2875,75.4583333333333,390,1811
2015-03-27,"DDFS",39.17,-75.59,"PSM",4.875,88.7354166666667,50.5416666666667,192,1213
2015-03-28,"DDFS",39.17,-75.59,"PSM",0.25,77.68125,118.333333333333,645,2840
2015-03-29,"DDFS",39.17,-75.59,"PSM",0.375,62.655,284.083333333333,909,6818
2015-03-30,"DDFS",39.17,-75.59,"PSM",5.5,81.0333333333333,189.75,874,4554
2015-03-31,"DDFS",39.17,-75.59,"PSM",7.25,84.04875,172.625,859,4143
2015-04-01,"DDFS",39.17,-75.59,"PSM",4.79166666666667,72.87,282.083333333333,897,6770
2015-04-02,"DDFS",39.17,-75.59,"PSM",8.20833333333333,82.8675,256.958333333333,868,6167
2015-04-03,"DDFS",39.17,-75.59,"PSM",14.4583333333333,96.4354166666667,90.75,335,2178
2015-04-04,"DDFS",39.17,-75.59,"PSM",9,75.58375,250.583333333333,918,6014
2015-04-05,"DDFS",39.17,-75.59,"PSM",7.91666666666667,73.5195833333333,251.208333333333,787,6029
2015-04-06,"DDFS",39.17,-75.59,"PSM",11.5833333333333,85.2195833333333,277.375,880,6657
2015-04-07,"DDFS",39.17,-75.59,"PSM",14.4166666666667,92.7045833333333,104.583333333333,487,2510
2015-04-08,"DDFS",39.17,-75.59,"PSM",6.5,96.6825,51.875,346,1245
2015-04-09,"DDFS",39.17,-75.59,"PSM",5.29166666666667,96.4941666666667,83.4583333333333,511,2003
2015-04-10,"DDFS",39.17,-75.59,"PSM",12.125,95.2783333333333,116.625,512,2799
2015-04-11,"DDFS",39.17,-75.59,"PSM",10.25,77.1791666666667,296.791666666667,927,7123
2015-04-12,"DDFS",39.17,-75.59,"PSM",9.08333333333333,76.1370833333333,301.458333333333,929,7235
2015-04-13,"DDFS",39.17,-75.59,"PSM",12.0833333333333,89.48625,248,877,5952
2015-04-14,"DDFS",39.17,-75.59,"PSM",13.25,97.6970833333333,73.25,291,1758
2015-04-15,"DDFS",39.17,-75.59,"PSM",11.4166666666667,71.2395833333333,242.666666666667,777,5824
2015-04-16,"DDFS",39.17,-75.59,"PSM",12.2083333333333,79.7979166666667,267.75,936,6426
