"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DGRN",39.8,-75.61,"PSM",-0.916666666666667,70.8804166666667,113.708333333333,484,2729
2015-01-02,"DGRN",39.8,-75.61,"PSM",0.333333333333333,77.9658333333333,87.5833333333333,390,2102
2015-01-03,"DGRN",39.8,-75.61,"PSM",0.625,93.4179166666667,24.0416666666667,130,577
2015-01-04,"DGRN",39.8,-75.61,"PSM",6.5,98.635,21.9166666666667,127,526
2015-01-05,"DGRN",39.8,-75.61,"PSM",-1.20833333333333,61.4108333333333,97,495,2328
2015-01-06,"DGRN",39.8,-75.61,"PSM",-4.5,66.3166666666667,41.75,187,1002
2015-01-07,"DGRN",39.8,-75.61,"PSM",-7.125,56.9941666666667,102.375,507,2457
2015-01-08,"DGRN",39.8,-75.61,"PSM",-9.91666666666667,60.2558333333333,120.125,516,2883
2015-01-09,"DGRN",39.8,-75.61,"PSM",-3.875,65.7604166666667,97.2916666666667,465,2335
2015-01-10,"DGRN",39.8,-75.61,"PSM",-8.45833333333333,60.5770833333333,130.708333333333,540,3137
2015-01-11,"DGRN",39.8,-75.61,"PSM",-3.20833333333333,72.2304166666667,117.583333333333,519,2822
2015-01-12,"DGRN",39.8,-75.61,"PSM",0.0833333333333333,95.6891666666667,26,120,624
2015-01-13,"DGRN",39.8,-75.61,"PSM",-4.33333333333333,71.6320833333333,120.458333333333,523,2891
2015-01-14,"DGRN",39.8,-75.61,"PSM",-4.91666666666667,79.3029166666667,50.375,228,1209
2015-01-15,"DGRN",39.8,-75.61,"PSM",-3.25,82.4945833333333,92.5833333333333,451,2222
2015-01-16,"DGRN",39.8,-75.61,"PSM",-2.16666666666667,77.6883333333333,103.125,505,2475
2015-01-17,"DGRN",39.8,-75.61,"PSM",-5.33333333333333,68.7070833333333,122.75,515,2946
2015-01-18,"DGRN",39.8,-75.61,"PSM",-0.333333333333333,98.33625,16.625,102,399
2015-01-19,"DGRN",39.8,-75.61,"PSM",0.5,88.2720833333333,89.4166666666667,437,2146
2015-01-20,"DGRN",39.8,-75.61,"PSM",0.166666666666667,89.0483333333333,66.625,360,1599
2015-01-21,"DGRN",39.8,-75.61,"PSM",-2.08333333333333,79.3120833333333,59.0416666666667,257,1417
2015-01-22,"DGRN",39.8,-75.61,"PSM",-0.916666666666667,89.4020833333333,59.1666666666667,286,1420
2015-01-23,"DGRN",39.8,-75.61,"PSM",-0.875,86.1075,100.041666666667,439,2401
2015-01-24,"DGRN",39.8,-75.61,"PSM",-0.5,95.855,41.4583333333333,194,995
2015-01-25,"DGRN",39.8,-75.61,"PSM",-0.25,90.0254166666667,83.875,408,2013
2015-01-26,"DGRN",39.8,-75.61,"PSM",-3.5,85.0345833333333,33.7916666666667,199,811
2015-01-27,"DGRN",39.8,-75.61,"PSM",-4.08333333333333,78.2504166666667,119.125,572,2859
2015-01-28,"DGRN",39.8,-75.61,"PSM",-7.125,73.50625,149.708333333333,586,3593
2015-01-29,"DGRN",39.8,-75.61,"PSM",-5.20833333333333,76.9891666666667,73.6666666666667,343,1768
2015-01-30,"DGRN",39.8,-75.61,"PSM",-2.375,82.5104166666667,94.5416666666667,340,2269
2015-01-31,"DGRN",39.8,-75.61,"PSM",-8.16666666666667,69.83875,151.583333333333,588,3638
2015-02-01,"DGRN",39.8,-75.61,"PSM",-3.29166666666667,82.8495833333333,86.5833333333333,422,2078
2015-02-02,"DGRN",39.8,-75.61,"PSM",-2.08333333333333,90.7329166666667,37,171,888
2015-02-03,"DGRN",39.8,-75.61,"PSM",-7.16666666666667,70.16125,141,606,3384
2015-02-04,"DGRN",39.8,-75.61,"PSM",-1.45833333333333,87.2333333333333,120.375,454,2889
2015-02-05,"DGRN",39.8,-75.61,"PSM",-4.04166666666667,71.0433333333333,113.666666666667,575,2728
2015-02-06,"DGRN",39.8,-75.61,"PSM",-7.58333333333333,69.85625,111.666666666667,448,2680
2015-02-07,"DGRN",39.8,-75.61,"PSM",-2,79.73125,111.708333333333,479,2681
2015-02-08,"DGRN",39.8,-75.61,"PSM",0.541666666666667,96.3754166666667,85.75,350,2058
2015-02-09,"DGRN",39.8,-75.61,"PSM",-1.04166666666667,87.2929166666667,17.0416666666667,90,409
2015-02-10,"DGRN",39.8,-75.61,"PSM",-1.45833333333333,81.9345833333333,116.375,560,2793
2015-02-11,"DGRN",39.8,-75.61,"PSM",-2.58333333333333,72.2345833333333,161.583333333333,647,3878
2015-02-12,"DGRN",39.8,-75.61,"PSM",-2.29166666666667,76.2525,98.375,423,2361
2015-02-13,"DGRN",39.8,-75.61,"PSM",-9.20833333333333,55.2370833333333,180.583333333333,676,4334
2015-02-14,"DGRN",39.8,-75.61,"PSM",-4.875,78.0354166666667,53.125,235,1275
2015-02-15,"DGRN",39.8,-75.61,"PSM",-12.2083333333333,58.2129166666667,186.5,703,4476
2015-02-16,"DGRN",39.8,-75.61,"PSM",-12.5833333333333,61.0233333333333,136.25,540,3270
2015-02-17,"DGRN",39.8,-75.61,"PSM",-8.125,74.7325,175.083333333333,691,4202
2015-02-18,"DGRN",39.8,-75.61,"PSM",-5.70833333333333,69.9145833333333,185.083333333333,711,4442
2015-02-19,"DGRN",39.8,-75.61,"PSM",-10.2916666666667,61.04125,170.5,710,4092
2015-02-20,"DGRN",39.8,-75.61,"PSM",-13.2916666666667,59.2429166666667,204.416666666667,743,4906
2015-02-21,"DGRN",39.8,-75.61,"PSM",-7.45833333333333,79.0516666666667,62.5833333333333,240,1502
2015-02-22,"DGRN",39.8,-75.61,"PSM",0.625,89.7808333333333,150.875,709,3621
2015-02-23,"DGRN",39.8,-75.61,"PSM",-6.45833333333333,72.1270833333333,142.916666666667,740,3430
2015-02-24,"DGRN",39.8,-75.61,"PSM",-10.2916666666667,70.2495833333333,201.833333333333,765,4844
2015-02-25,"DGRN",39.8,-75.61,"PSM",-4.375,78.33,187.708333333333,745,4505
2015-02-26,"DGRN",39.8,-75.61,"PSM",-3.66666666666667,75.89625,142.791666666667,586,3427
2015-02-27,"DGRN",39.8,-75.61,"PSM",-5.16666666666667,70.76375,205.541666666667,754,4933
2015-02-28,"DGRN",39.8,-75.61,"PSM",-6.41666666666667,59.1354166666667,216.5,775,5196
2015-03-01,"DGRN",39.8,-75.61,"PSM",-4,81.3825,69.8333333333333,340,1676
2015-03-02,"DGRN",39.8,-75.61,"PSM",-1.875,85.8975,211.625,779,5079
2015-03-03,"DGRN",39.8,-75.61,"PSM",-3.58333333333333,81.9941666666667,114.625,655,2751
2015-03-04,"DGRN",39.8,-75.61,"PSM",0.833333333333333,99.8675,70,366,1680
2015-03-05,"DGRN",39.8,-75.61,"PSM",-3.41666666666667,90.5654166666667,48.7916666666667,233,1171
2015-03-06,"DGRN",39.8,-75.61,"PSM",-10.875,79.1629166666667,238.166666666667,824,5716
2015-03-07,"DGRN",39.8,-75.61,"PSM",-5.75,87.2816666666667,195.5,769,4692
2015-03-08,"DGRN",39.8,-75.61,"PSM",0.875,83.5658333333333,220.166666666667,775,5284
2015-03-09,"DGRN",39.8,-75.61,"PSM",4.5,78.0604166666667,212.333333333333,786,5096
2015-03-10,"DGRN",39.8,-75.61,"PSM",4.29166666666667,96.3770833333333,138.916666666667,553,3334
2015-03-11,"DGRN",39.8,-75.61,"PSM",6.75,92.8354166666667,161.291666666667,676,3871
2015-03-12,"DGRN",39.8,-75.61,"PSM",2.20833333333333,72.8741666666667,237.291666666667,808,5695
2015-03-13,"DGRN",39.8,-75.61,"PSM",1,75.9854166666667,174,689,4176
2015-03-14,"DGRN",39.8,-75.61,"PSM",5.33333333333333,98.73875,51.5833333333333,244,1238
2015-03-15,"DGRN",39.8,-75.61,"PSM",2.70833333333333,85.2854166666667,70.1666666666667,358,1684
2015-03-16,"DGRN",39.8,-75.61,"PSM",4.04166666666667,86.5441666666667,159.083333333333,613,3818
2015-03-17,"DGRN",39.8,-75.61,"PSM",6.54166666666667,78.5708333333333,199.833333333333,753,4796
2015-03-18,"DGRN",39.8,-75.61,"PSM",0,64.2683333333333,256,846,6144
2015-03-19,"DGRN",39.8,-75.61,"PSM",0.75,65.2225,225.666666666667,771,5416
2015-03-20,"DGRN",39.8,-75.61,"PSM",0.125,91.71625,32.4583333333333,152,779
2015-03-21,"DGRN",39.8,-75.61,"PSM",2.625,89.4229166666667,223.208333333333,757,5357
2015-03-22,"DGRN",39.8,-75.61,"PSM",0.875,73.8191666666667,230.833333333333,787,5540
2015-03-23,"DGRN",39.8,-75.61,"PSM",-0.916666666666667,66.2045833333333,261.916666666667,852,6286
2015-03-24,"DGRN",39.8,-75.61,"PSM",0.791666666666667,65.97875,84.7916666666667,483,2035
2015-03-25,"DGRN",39.8,-75.61,"PSM",2.29166666666667,82.2183333333333,89.5,443,2148
2015-03-26,"DGRN",39.8,-75.61,"PSM",9.83333333333333,96.8470833333333,106.708333333333,474,2561
2015-03-27,"DGRN",39.8,-75.61,"PSM",3.875,84.8758333333333,109.75,570,2634
2015-03-28,"DGRN",39.8,-75.61,"PSM",-0.666666666666667,69.7895833333333,166.208333333333,581,3989
2015-03-29,"DGRN",39.8,-75.61,"PSM",-0.291666666666667,60.6779166666667,282.416666666667,903,6778
2015-03-30,"DGRN",39.8,-75.61,"PSM",4.625,78.945,174,648,4176
2015-03-31,"DGRN",39.8,-75.61,"PSM",4.79166666666667,88.23875,141.791666666667,627,3403
2015-04-01,"DGRN",39.8,-75.61,"PSM",3.66666666666667,69.86,278.875,885,6693
2015-04-02,"DGRN",39.8,-75.61,"PSM",8.125,79.5845833333333,254,859,6096
2015-04-03,"DGRN",39.8,-75.61,"PSM",13.5,98.5654166666667,65.3333333333333,233,1568
2015-04-04,"DGRN",39.8,-75.61,"PSM",7.16666666666667,75.1258333333333,272.125,913,6531
2015-04-05,"DGRN",39.8,-75.61,"PSM",6.875,75.5483333333333,253.375,757,6081
2015-04-06,"DGRN",39.8,-75.61,"PSM",10.3333333333333,84.9558333333333,268.666666666667,869,6448
2015-04-07,"DGRN",39.8,-75.61,"PSM",13.0833333333333,91.9429166666667,124.458333333333,561,2987
2015-04-08,"DGRN",39.8,-75.61,"PSM",4.58333333333333,96.2625,53.9583333333333,183,1295
2015-04-09,"DGRN",39.8,-75.61,"PSM",3.83333333333333,96.2258333333333,81.5,509,1956
2015-04-10,"DGRN",39.8,-75.61,"PSM",9.16666666666667,96.4629166666667,89.8333333333333,485,2156
2015-04-11,"DGRN",39.8,-75.61,"PSM",8.125,77.4891666666667,297,921,7128
2015-04-12,"DGRN",39.8,-75.61,"PSM",8.375,74.9116666666667,296.833333333333,925,7124
2015-04-13,"DGRN",39.8,-75.61,"PSM",11.875,87.1983333333333,262.208333333333,870,6293
2015-04-14,"DGRN",39.8,-75.61,"PSM",11.7916666666667,89.5091666666667,64.4583333333333,248,1547
2015-04-15,"DGRN",39.8,-75.61,"PSM",10.2916666666667,74.4575,249.083333333333,840,5978
2015-04-16,"DGRN",39.8,-75.61,"PSM",11.25,78.8716666666667,293.125,927,7035
2015-04-17,"DGRN",39.8,-75.61,"PSM",15.3333333333333,90.4470833333333,180.75,863,4338
2015-04-18,"DGRN",39.8,-75.61,"PSM",16,76.8020833333333,284.333333333333,850,6824
2015-04-19,"DGRN",39.8,-75.61,"PSM",10.125,81.3058333333333,234.416666666667,813,5626
