"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DSCR",39.86,-75.84,"PSM",-1.29166666666667,70.16625,114.125,485,2739
2015-01-02,"DSCR",39.86,-75.84,"PSM",-0.125,78.34,87.375,396,2097
2015-01-03,"DSCR",39.86,-75.84,"PSM",0.166666666666667,92.9129166666667,15.8333333333333,98,380
2015-01-04,"DSCR",39.86,-75.84,"PSM",5.45833333333333,98.3695833333333,20.5,124,492
2015-01-05,"DSCR",39.86,-75.84,"PSM",-1.41666666666667,59.9591666666667,107.666666666667,497,2584
2015-01-06,"DSCR",39.86,-75.84,"PSM",-4.95833333333333,66.47,43.3333333333333,230,1040
2015-01-07,"DSCR",39.86,-75.84,"PSM",-7.5,56.8779166666667,100.75,465,2418
2015-01-08,"DSCR",39.86,-75.84,"PSM",-10.25,59.7516666666667,113.166666666667,517,2716
2015-01-09,"DSCR",39.86,-75.84,"PSM",-4.375,65.6675,106.875,517,2565
2015-01-10,"DSCR",39.86,-75.84,"PSM",-9.08333333333333,59.9916666666667,130.875,541,3141
2015-01-11,"DSCR",39.86,-75.84,"PSM",-3.625,71.8533333333333,113.791666666667,520,2731
2015-01-12,"DSCR",39.86,-75.84,"PSM",-0.0833333333333333,95.4145833333333,25.5416666666667,119,613
2015-01-13,"DSCR",39.86,-75.84,"PSM",-4.75,70.9725,124.25,524,2982
2015-01-14,"DSCR",39.86,-75.84,"PSM",-5.41666666666667,78.88875,50.625,234,1215
2015-01-15,"DSCR",39.86,-75.84,"PSM",-3.41666666666667,81.4,108.375,455,2601
2015-01-16,"DSCR",39.86,-75.84,"PSM",-2.58333333333333,76.9179166666667,113.458333333333,496,2723
2015-01-17,"DSCR",39.86,-75.84,"PSM",-5.66666666666667,69.4195833333333,116.458333333333,503,2795
2015-01-18,"DSCR",39.86,-75.84,"PSM",-0.583333333333333,97.8479166666667,15.75,118,378
2015-01-19,"DSCR",39.86,-75.84,"PSM",0,86.8625,80.7083333333333,446,1937
2015-01-20,"DSCR",39.86,-75.84,"PSM",-0.0833333333333333,87.9191666666667,57.125,273,1371
2015-01-21,"DSCR",39.86,-75.84,"PSM",-2.41666666666667,79.8258333333333,62.2916666666667,339,1495
2015-01-22,"DSCR",39.86,-75.84,"PSM",-1.125,88.4483333333333,86.9583333333333,422,2087
2015-01-23,"DSCR",39.86,-75.84,"PSM",-1.125,85.1108333333333,102.208333333333,441,2453
2015-01-24,"DSCR",39.86,-75.84,"PSM",-0.75,95.1179166666667,56.25,269,1350
2015-01-25,"DSCR",39.86,-75.84,"PSM",-0.458333333333333,89.3220833333333,101.375,448,2433
2015-01-26,"DSCR",39.86,-75.84,"PSM",-3.95833333333333,83.7954166666667,37.375,244,897
2015-01-27,"DSCR",39.86,-75.84,"PSM",-4.29166666666667,77.49375,122.208333333333,573,2933
2015-01-28,"DSCR",39.86,-75.84,"PSM",-7.45833333333333,73.2783333333333,154.083333333333,605,3698
2015-01-29,"DSCR",39.86,-75.84,"PSM",-5.58333333333333,76.5816666666667,72.0416666666667,369,1729
2015-01-30,"DSCR",39.86,-75.84,"PSM",-2.79166666666667,81.50125,91.7916666666667,422,2203
