"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DWPK",40.09,-75.62,"PSM",-1.20833333333333,70.5625,113.666666666667,479,2728
2015-01-02,"DWPK",40.09,-75.62,"PSM",-0.0833333333333333,80.1429166666667,90.5,411,2172
2015-01-03,"DWPK",40.09,-75.62,"PSM",0.291666666666667,93.4829166666667,17.875,118,429
2015-01-04,"DWPK",40.09,-75.62,"PSM",5.70833333333333,98.775,20.5416666666667,99,493
2015-01-05,"DWPK",40.09,-75.62,"PSM",-1.29166666666667,59.6491666666667,103.958333333333,490,2495
2015-01-06,"DWPK",40.09,-75.62,"PSM",-4.91666666666667,65.4479166666667,53.3333333333333,239,1280
2015-01-07,"DWPK",40.09,-75.62,"PSM",-7.54166666666667,56.5704166666667,89.7083333333333,431,2153
2015-01-08,"DWPK",40.09,-75.62,"PSM",-10.3333333333333,59.59375,116.5,510,2796
2015-01-09,"DWPK",40.09,-75.62,"PSM",-4.29166666666667,66.34375,99,498,2376
2015-01-10,"DWPK",40.09,-75.62,"PSM",-8.875,60.91125,129.083333333333,535,3098
2015-01-11,"DWPK",40.09,-75.62,"PSM",-3.41666666666667,71.88125,98.5,514,2364
2015-01-12,"DWPK",40.09,-75.62,"PSM",-0.0416666666666667,95.2345833333333,32.125,187,771
2015-01-13,"DWPK",40.09,-75.62,"PSM",-4.70833333333333,70.2716666666667,123.75,519,2970
2015-01-14,"DWPK",40.09,-75.62,"PSM",-5.58333333333333,78.7091666666667,49.125,242,1179
2015-01-15,"DWPK",40.09,-75.62,"PSM",-3.41666666666667,81.0895833333333,81,446,1944
2015-01-16,"DWPK",40.09,-75.62,"PSM",-2.54166666666667,76.87125,98.7916666666667,491,2371
2015-01-17,"DWPK",40.09,-75.62,"PSM",-5.91666666666667,69.3845833333333,122.875,510,2949
2015-01-18,"DWPK",40.09,-75.62,"PSM",-0.666666666666667,98.02375,14.875,70,357
2015-01-19,"DWPK",40.09,-75.62,"PSM",0.208333333333333,88.8125,75.2916666666667,499,1807
2015-01-20,"DWPK",40.09,-75.62,"PSM",-0.375,90.2225,69.8333333333333,419,1676
2015-01-21,"DWPK",40.09,-75.62,"PSM",-2.625,78.6920833333333,51.0416666666667,254,1225
2015-01-22,"DWPK",40.09,-75.62,"PSM",-1.20833333333333,89.5854166666667,58.1666666666667,252,1396
2015-01-23,"DWPK",40.09,-75.62,"PSM",-1.16666666666667,85.1475,99.2083333333333,408,2381
2015-01-24,"DWPK",40.09,-75.62,"PSM",-0.5,96.0741666666667,38.9166666666667,198,934
2015-01-25,"DWPK",40.09,-75.62,"PSM",-0.416666666666667,89.8866666666667,88.6666666666667,464,2128
2015-01-26,"DWPK",40.09,-75.62,"PSM",-4.20833333333333,83.8641666666667,43.4166666666667,306,1042
