"Date","Station","Latitude","Longitude","Data_source","temp_mean","rel_humidity_mean","solar_radiation_mean","solar_radiation_max","solar_radiation_sum"
2015-01-01,"DWWK",40.16,-75.73,"PSM",-1.54166666666667,69.4770833333333,113.333333333333,477,2720
2015-01-02,"DWWK",40.16,-75.73,"PSM",-0.416666666666667,79.8041666666667,87.5833333333333,393,2102
2015-01-03,"DWWK",40.16,-75.73,"PSM",0,93.22125,20.1666666666667,119,484
2015-01-04,"DWWK",40.16,-75.73,"PSM",4.91666666666667,99.2570833333333,16.3333333333333,75,392
2015-01-05,"DWWK",40.16,-75.73,"PSM",-1.75,59.1233333333333,116.5,488,2796
2015-01-06,"DWWK",40.16,-75.73,"PSM",-5.375,66.1083333333333,54.0416666666667,271,1297
2015-01-07,"DWWK",40.16,-75.73,"PSM",-7.95833333333333,56.5020833333333,73.8333333333333,431,1772
2015-01-08,"DWWK",40.16,-75.73,"PSM",-10.3333333333333,58.9991666666667,116.833333333333,509,2804
2015-01-09,"DWWK",40.16,-75.73,"PSM",-4.45833333333333,64.48625,99.8333333333333,510,2396
2015-01-10,"DWWK",40.16,-75.73,"PSM",-9.16666666666667,59.9516666666667,128.666666666667,533,3088
2015-01-11,"DWWK",40.16,-75.73,"PSM",-4,73.1595833333333,99.25,511,2382
2015-01-12,"DWWK",40.16,-75.73,"PSM",-0.208333333333333,95.4004166666667,30.2916666666667,196,727
2015-01-13,"DWWK",40.16,-75.73,"PSM",-5.5,70.8779166666667,126.625,520,3039
2015-01-14,"DWWK",40.16,-75.73,"PSM",-5.95833333333333,78.5529166666667,47.875,213,1149
2015-01-15,"DWWK",40.16,-75.73,"PSM",-4,81.9083333333333,86.5833333333333,446,2078
2015-01-16,"DWWK",40.16,-75.73,"PSM",-3.08333333333333,76.5716666666667,98.9166666666667,489,2374
2015-01-17,"DWWK",40.16,-75.73,"PSM",-6.25,69.9383333333333,123.333333333333,508,2960
2015-01-18,"DWWK",40.16,-75.73,"PSM",-0.958333333333333,97.3354166666667,13.25,75,318
2015-01-19,"DWWK",40.16,-75.73,"PSM",-0.0416666666666667,89.32125,70.0833333333333,496,1682
2015-01-20,"DWWK",40.16,-75.73,"PSM",-0.666666666666667,89.19125,59.7083333333333,359,1433
2015-01-21,"DWWK",40.16,-75.73,"PSM",-3.125,78.4258333333333,67.1666666666667,420,1612
2015-01-22,"DWWK",40.16,-75.73,"PSM",-1.54166666666667,89.59625,77.3333333333333,399,1856
2015-01-23,"DWWK",40.16,-75.73,"PSM",-1.54166666666667,85.1695833333333,96.2083333333333,435,2309
2015-01-24,"DWWK",40.16,-75.73,"PSM",-0.708333333333333,95.4429166666667,54.0833333333333,232,1298
2015-01-25,"DWWK",40.16,-75.73,"PSM",-0.666666666666667,89.7770833333333,62,415,1488
2015-01-26,"DWWK",40.16,-75.73,"PSM",-4.70833333333333,84.1595833333333,49.6666666666667,226,1192
2015-01-27,"DWWK",40.16,-75.73,"PSM",-4.79166666666667,78.6404166666667,92.625,411,2223
2015-01-28,"DWWK",40.16,-75.73,"PSM",-7.95833333333333,75.1670833333333,152,598,3648
2015-01-29,"DWWK",40.16,-75.73,"PSM",-6,77.9683333333333,76.5,341,1836
2015-01-30,"DWWK",40.16,-75.73,"PSM",-2.91666666666667,82.0445833333333,70.5,375,1692
