"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,81.04,162.59,2015-01-01,2015-01-01 00:30:00,"PSM","DAGF",39.67,-75.75
-3,0,0,0,0,0,0,80.61,155.68,2015-01-01,2015-01-01 01:30:00,"PSM","DAGF",39.67,-75.75
-3,0,0,0,0,0,0,79.4,145.41,2015-01-01,2015-01-01 02:30:00,"PSM","DAGF",39.67,-75.75
-3,0,0,0,0,0,0,78.33,134.12,2015-01-01,2015-01-01 03:30:00,"PSM","DAGF",39.67,-75.75
-3,0,0,0,0,0,0,77.96,122.59,2015-01-01,2015-01-01 04:30:00,"PSM","DAGF",39.67,-75.75
-3,0,0,0,0,0,0,78.73,111.19,2015-01-01,2015-01-01 05:30:00,"PSM","DAGF",39.67,-75.75
-3,0,0,0,0,0,0,80.05,100.18,2015-01-01,2015-01-01 06:30:00,"PSM","DAGF",39.67,-75.75
-2,0,0,0,0,0,0,75.96,89.81,2015-01-01,2015-01-01 07:30:00,"PSM","DAGF",39.67,-75.75
0,143,42,610,42,610,143,67,80.45,2015-01-01,2015-01-01 08:30:00,"PSM","DAGF",39.67,-75.75
0,297,58,794,58,794,297,65.09,72.53,2015-01-01,2015-01-01 09:30:00,"PSM","DAGF",39.67,-75.75
1,413,67,872,67,872,413,54.28,66.6,2015-01-01,2015-01-01 10:30:00,"PSM","DAGF",39.67,-75.75
2,479,70,908,70,908,479,50.44,63.25,2015-01-01,2015-01-01 11:30:00,"PSM","DAGF",39.67,-75.75
3,486,69,915,69,915,486,48.75,62.91,2015-01-01,2015-01-01 12:30:00,"PSM","DAGF",39.67,-75.75
3,432,67,883,67,883,432,50.79,65.62,2015-01-01,2015-01-01 13:30:00,"PSM","DAGF",39.67,-75.75
2,215,124,278,58,822,326,57.11,71.04,2015-01-01,2015-01-01 14:30:00,"PSM","DAGF",39.67,-75.75
1,135,61,373,44,677,179,67.03,78.58,2015-01-01,2015-01-01 15:30:00,"PSM","DAGF",39.67,-75.75
0,21,21,0,16,295,28,73.72,87.67,2015-01-01,2015-01-01 16:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,72.66,97.84,2015-01-01,2015-01-01 17:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,74.47,108.74,2015-01-01,2015-01-01 18:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,77.08,120.07,2015-01-01,2015-01-01 19:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,79.74,131.59,2015-01-01,2015-01-01 20:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,81.89,142.97,2015-01-01,2015-01-01 21:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,83.89,153.56,2015-01-01,2015-01-01 22:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,90.4,161.53,2015-01-01,2015-01-01 23:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,89.76,162.54,2015-01-02,2015-01-02 00:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,89.3,155.68,2015-01-02,2015-01-02 01:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,88.76,145.44,2015-01-02,2015-01-02 02:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,88.71,134.16,2015-01-02,2015-01-02 03:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,88.5,122.63,2015-01-02,2015-01-02 04:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,87.91,111.23,2015-01-02,2015-01-02 05:30:00,"PSM","DAGF",39.67,-75.75
-1,0,0,0,0,0,0,87.26,100.21,2015-01-02,2015-01-02 06:30:00,"PSM","DAGF",39.67,-75.75
0,0,0,0,0,0,0,80.81,89.83,2015-01-02,2015-01-02 07:30:00,"PSM","DAGF",39.67,-75.75
