"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,77.45,162.47,2015-01-01,2015-01-01 00:30:00,"PSM","DBUK1",39.82,-75.73
-3,0,0,0,0,0,0,76.81,155.6,2015-01-01,2015-01-01 01:30:00,"PSM","DBUK1",39.82,-75.73
-3,0,0,0,0,0,0,75.56,145.37,2015-01-01,2015-01-01 02:30:00,"PSM","DBUK1",39.82,-75.73
-3,0,0,0,0,0,0,74.6,134.11,2015-01-01,2015-01-01 03:30:00,"PSM","DBUK1",39.82,-75.73
-4,0,0,0,0,0,0,74.17,122.6,2015-01-01,2015-01-01 04:30:00,"PSM","DBUK1",39.82,-75.73
-4,0,0,0,0,0,0,80.43,111.22,2015-01-01,2015-01-01 05:30:00,"PSM","DBUK1",39.82,-75.73
-4,0,0,0,0,0,0,75.84,100.22,2015-01-01,2015-01-01 06:30:00,"PSM","DBUK1",39.82,-75.73
-3,0,0,0,0,0,0,71.94,89.87,2015-01-01,2015-01-01 07:30:00,"PSM","DBUK1",39.82,-75.73
-1,142,42,609,42,609,142,68.28,80.53,2015-01-01,2015-01-01 08:30:00,"PSM","DBUK1",39.82,-75.73
0,295,58,795,58,795,295,61.02,72.62,2015-01-01,2015-01-01 09:30:00,"PSM","DBUK1",39.82,-75.73
1,413,67,875,67,875,413,51.67,66.71,2015-01-01,2015-01-01 10:30:00,"PSM","DBUK1",39.82,-75.73
2,478,69,911,69,911,478,48.57,63.37,2015-01-01,2015-01-01 11:30:00,"PSM","DBUK1",39.82,-75.73
2,485,68,917,68,917,485,50.58,63.03,2015-01-01,2015-01-01 12:30:00,"PSM","DBUK1",39.82,-75.73
3,431,68,884,68,884,431,49.18,65.74,2015-01-01,2015-01-01 13:30:00,"PSM","DBUK1",39.82,-75.73
2,325,58,823,58,823,325,55.34,71.14,2015-01-01,2015-01-01 14:30:00,"PSM","DBUK1",39.82,-75.73
1,147,52,484,44,677,178,64.43,78.66,2015-01-01,2015-01-01 15:30:00,"PSM","DBUK1",39.82,-75.73
0,22,22,0,15,293,27,71.49,87.73,2015-01-01,2015-01-01 16:30:00,"PSM","DBUK1",39.82,-75.73
0,0,0,0,0,0,0,71.37,97.89,2015-01-01,2015-01-01 17:30:00,"PSM","DBUK1",39.82,-75.73
0,0,0,0,0,0,0,73.35,108.77,2015-01-01,2015-01-01 18:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,75.62,120.09,2015-01-01,2015-01-01 19:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,83.91,131.59,2015-01-01,2015-01-01 20:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,85.96,142.94,2015-01-01,2015-01-01 21:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,87.82,153.5,2015-01-01,2015-01-01 22:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,88.01,161.42,2015-01-01,2015-01-01 23:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,87.51,162.42,2015-01-02,2015-01-02 00:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,87.19,155.61,2015-01-02,2015-01-02 01:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,86.9,145.41,2015-01-02,2015-01-02 02:30:00,"PSM","DBUK1",39.82,-75.73
-2,0,0,0,0,0,0,86.82,134.15,2015-01-02,2015-01-02 03:30:00,"PSM","DBUK1",39.82,-75.73
-2,0,0,0,0,0,0,86.73,122.64,2015-01-02,2015-01-02 04:30:00,"PSM","DBUK1",39.82,-75.73
-2,0,0,0,0,0,0,86.42,111.26,2015-01-02,2015-01-02 05:30:00,"PSM","DBUK1",39.82,-75.73
-2,0,0,0,0,0,0,92.49,100.25,2015-01-02,2015-01-02 06:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,85.41,89.89,2015-01-02,2015-01-02 07:30:00,"PSM","DBUK1",39.82,-75.73
1,76,61,92,45,536,133,77.08,80.53,2015-01-02,2015-01-02 08:30:00,"PSM","DBUK1",39.82,-75.73
2,232,86,487,65,718,280,73.89,72.6,2015-01-02,2015-01-02 09:30:00,"PSM","DBUK1",39.82,-75.73
3,281,154,322,95,728,384,64.48,66.66,2015-01-02,2015-01-02 10:30:00,"PSM","DBUK1",39.82,-75.73
4,380,137,540,101,773,449,57.9,63.29,2015-01-02,2015-01-02 11:30:00,"PSM","DBUK1",39.82,-75.73
4,387,139,543,99,789,458,54.35,62.93,2015-01-02,2015-01-02 12:30:00,"PSM","DBUK1",39.82,-75.73
4,363,100,638,98,743,405,59.21,65.62,2015-01-02,2015-01-02 13:30:00,"PSM","DBUK1",39.82,-75.73
3,268,84,565,83,681,304,65.18,71.01,2015-01-02,2015-01-02 14:30:00,"PSM","DBUK1",39.82,-75.73
1,111,73,189,58,544,166,80.27,78.52,2015-01-02,2015-01-02 15:30:00,"PSM","DBUK1",39.82,-75.73
0,17,17,0,18,184,26,82.11,87.59,2015-01-02,2015-01-02 16:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,78.94,97.75,2015-01-02,2015-01-02 17:30:00,"PSM","DBUK1",39.82,-75.73
0,0,0,0,0,0,0,79.87,108.63,2015-01-02,2015-01-02 18:30:00,"PSM","DBUK1",39.82,-75.73
0,0,0,0,0,0,0,80.27,119.95,2015-01-02,2015-01-02 19:30:00,"PSM","DBUK1",39.82,-75.73
0,0,0,0,0,0,0,79.35,131.45,2015-01-02,2015-01-02 20:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,81.86,142.8,2015-01-02,2015-01-02 21:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,81.57,153.36,2015-01-02,2015-01-02 22:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,81.77,161.3,2015-01-02,2015-01-02 23:30:00,"PSM","DBUK1",39.82,-75.73
-1,0,0,0,0,0,0,83.24,162.36,2015-01-03,2015-01-03 00:30:00,"PSM","DBUK1",39.82,-75.73
