"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-2,0,0,0,0,0,0,82.11,162.49,2015-01-01,2015-01-01 00:30:00,"PSM","DCHI",39.73,-75.52
-2,0,0,0,0,0,0,82.07,155.5,2015-01-01,2015-01-01 01:30:00,"PSM","DCHI",39.73,-75.52
-3,0,0,0,0,0,0,80.73,145.22,2015-01-01,2015-01-01 02:30:00,"PSM","DCHI",39.73,-75.52
-3,0,0,0,0,0,0,79.01,133.93,2015-01-01,2015-01-01 03:30:00,"PSM","DCHI",39.73,-75.52
-3,0,0,0,0,0,0,78.14,122.41,2015-01-01,2015-01-01 04:30:00,"PSM","DCHI",39.73,-75.52
-3,0,0,0,0,0,0,78.6,111.02,2015-01-01,2015-01-01 05:30:00,"PSM","DCHI",39.73,-75.52
-3,0,0,0,0,0,0,79.78,100.02,2015-01-01,2015-01-01 06:30:00,"PSM","DCHI",39.73,-75.52
-2,0,0,0,0,0,0,75.53,89.67,2015-01-01,2015-01-01 07:30:00,"PSM","DCHI",39.73,-75.52
0,144,42,607,42,607,144,66.66,80.34,2015-01-01,2015-01-01 08:30:00,"PSM","DCHI",39.73,-75.52
1,297,58,791,58,791,297,60.26,72.45,2015-01-01,2015-01-01 09:30:00,"PSM","DCHI",39.73,-75.52
2,413,67,869,67,869,413,50.27,66.56,2015-01-01,2015-01-01 10:30:00,"PSM","DCHI",39.73,-75.52
3,477,70,904,70,904,477,50.41,63.26,2015-01-01,2015-01-01 11:30:00,"PSM","DCHI",39.73,-75.52
3,483,69,910,69,910,483,48.68,62.97,2015-01-01,2015-01-01 12:30:00,"PSM","DCHI",39.73,-75.52
3,428,68,876,68,876,428,50.66,65.73,2015-01-01,2015-01-01 13:30:00,"PSM","DCHI",39.73,-75.52
2,274,74,619,58,815,321,56.95,71.18,2015-01-01,2015-01-01 14:30:00,"PSM","DCHI",39.73,-75.52
1,128,63,331,44,669,175,66.72,78.74,2015-01-01,2015-01-01 15:30:00,"PSM","DCHI",39.73,-75.52
0,18,18,0,15,278,25,73.57,87.84,2015-01-01,2015-01-01 16:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,72.65,98.03,2015-01-01,2015-01-01 17:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,74.38,108.92,2015-01-01,2015-01-01 18:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,76.67,120.26,2015-01-01,2015-01-01 19:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,79.46,131.77,2015-01-01,2015-01-01 20:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,82.06,143.14,2015-01-01,2015-01-01 21:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,84.51,153.7,2015-01-01,2015-01-01 22:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,84.88,161.58,2015-01-01,2015-01-01 23:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,90.4,162.44,2015-01-02,2015-01-02 00:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,89.76,155.51,2015-01-02,2015-01-02 01:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,89.29,145.25,2015-01-02,2015-01-02 02:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,89.19,133.97,2015-01-02,2015-01-02 03:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,89.12,122.45,2015-01-02,2015-01-02 04:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,88.61,111.06,2015-01-02,2015-01-02 05:30:00,"PSM","DCHI",39.73,-75.52
-1,0,0,0,0,0,0,88.09,100.05,2015-01-02,2015-01-02 06:30:00,"PSM","DCHI",39.73,-75.52
0,0,0,0,0,0,0,81.72,89.69,2015-01-02,2015-01-02 07:30:00,"PSM","DCHI",39.73,-75.52
1,72,62,62,45,540,136,80.87,80.34,2015-01-02,2015-01-02 08:30:00,"PSM","DCHI",39.73,-75.52
3,231,89,470,65,716,281,72.02,72.43,2015-01-02,2015-01-02 09:30:00,"PSM","DCHI",39.73,-75.52
4,317,129,473,91,738,385,63.64,66.51,2015-01-02,2015-01-02 10:30:00,"PSM","DCHI",39.73,-75.52
5,367,152,476,97,776,447,56.45,63.19,2015-01-02,2015-01-02 11:30:00,"PSM","DCHI",39.73,-75.52
5,387,139,544,96,787,455,56.4,62.87,2015-01-02,2015-01-02 12:30:00,"PSM","DCHI",39.73,-75.52
5,334,132,490,98,734,401,57.26,65.61,2015-01-02,2015-01-02 13:30:00,"PSM","DCHI",39.73,-75.52
