"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-2,0,0,0,0,0,0,80.64,163.04,2015-01-01,2015-01-01 00:30:00,"PSM","DDFS",39.17,-75.59
-2,0,0,0,0,0,0,83.97,155.89,2015-01-01,2015-01-01 01:30:00,"PSM","DDFS",39.17,-75.59
-2,0,0,0,0,0,0,84.25,145.45,2015-01-01,2015-01-01 02:30:00,"PSM","DDFS",39.17,-75.59
-2,0,0,0,0,0,0,82.39,134.04,2015-01-01,2015-01-01 03:30:00,"PSM","DDFS",39.17,-75.59
-2,0,0,0,0,0,0,79.71,122.43,2015-01-01,2015-01-01 04:30:00,"PSM","DDFS",39.17,-75.59
-2,0,0,0,0,0,0,79.25,110.95,2015-01-01,2015-01-01 05:30:00,"PSM","DDFS",39.17,-75.59
-2,0,0,0,0,0,0,79.26,99.87,2015-01-01,2015-01-01 06:30:00,"PSM","DDFS",39.17,-75.59
-1,0,0,0,0,0,0,75.07,89.44,2015-01-01,2015-01-01 07:30:00,"PSM","DDFS",39.17,-75.59
0,152,43,628,43,628,152,71.99,80.02,2015-01-01,2015-01-01 08:30:00,"PSM","DDFS",39.17,-75.59
2,307,59,803,59,803,307,62.05,72.04,2015-01-01,2015-01-01 09:30:00,"PSM","DDFS",39.17,-75.59
3,424,69,876,69,876,424,50.03,66.07,2015-01-01,2015-01-01 10:30:00,"PSM","DDFS",39.17,-75.59
4,489,72,911,72,911,489,46.35,62.72,2015-01-01,2015-01-01 11:30:00,"PSM","DDFS",39.17,-75.59
4,496,71,918,71,918,496,47.9,62.4,2015-01-01,2015-01-01 12:30:00,"PSM","DDFS",39.17,-75.59
4,349,127,527,68,889,441,49.9,65.18,2015-01-01,2015-01-01 13:30:00,"PSM","DDFS",39.17,-75.59
3,333,59,827,59,827,333,56.39,70.68,2015-01-01,2015-01-01 14:30:00,"PSM","DDFS",39.17,-75.59
1,184,45,684,45,684,184,72.87,78.31,2015-01-01,2015-01-01 15:30:00,"PSM","DDFS",39.17,-75.59
0,30,30,0,17,307,30,78.26,87.49,2015-01-01,2015-01-01 16:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,75.69,97.75,2015-01-01,2015-01-01 17:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,77.91,108.72,2015-01-01,2015-01-01 18:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,81.4,120.14,2015-01-01,2015-01-01 19:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,85.12,131.75,2015-01-01,2015-01-01 20:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,88.71,143.22,2015-01-01,2015-01-01 21:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,91.58,153.94,2015-01-01,2015-01-01 22:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,93.28,162.05,2015-01-01,2015-01-01 23:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,93.84,162.99,2015-01-02,2015-01-02 00:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,93.59,155.9,2015-01-02,2015-01-02 01:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,92.63,145.48,2015-01-02,2015-01-02 02:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,91.58,134.09,2015-01-02,2015-01-02 03:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,90.47,122.47,2015-01-02,2015-01-02 04:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,89.31,110.99,2015-01-02,2015-01-02 05:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,87.91,99.9,2015-01-02,2015-01-02 06:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,86.64,89.46,2015-01-02,2015-01-02 07:30:00,"PSM","DDFS",39.17,-75.59
2,95,62,187,47,551,142,80.24,80.02,2015-01-02,2015-01-02 08:30:00,"PSM","DDFS",39.17,-75.59
4,230,98,428,67,721,290,71.65,72.02,2015-01-02,2015-01-02 09:30:00,"PSM","DDFS",39.17,-75.59
5,258,171,213,89,759,397,66.97,66.03,2015-01-02,2015-01-02 10:30:00,"PSM","DDFS",39.17,-75.59
6,349,176,375,94,799,462,59.68,62.64,2015-01-02,2015-01-02 11:30:00,"PSM","DDFS",39.17,-75.59
6,262,206,121,94,806,469,58.53,62.31,2015-01-02,2015-01-02 12:30:00,"PSM","DDFS",39.17,-75.59
6,243,183,142,93,760,414,58.77,65.07,2015-01-02,2015-01-02 13:30:00,"PSM","DDFS",39.17,-75.59
5,164,137,83,80,691,311,65.14,70.55,2015-01-02,2015-01-02 14:30:00,"PSM","DDFS",39.17,-75.59
2,119,74,215,59,541,170,89.55,78.18,2015-01-02,2015-01-02 15:30:00,"PSM","DDFS",39.17,-75.59
0,19,19,0,19,177,27,89.79,87.35,2015-01-02,2015-01-02 16:30:00,"PSM","DDFS",39.17,-75.59
0,0,0,0,0,0,0,82.52,97.61,2015-01-02,2015-01-02 17:30:00,"PSM","DDFS",39.17,-75.59
