"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-2,0,0,0,0,0,0,83.24,162.56,2015-01-01,2015-01-01 00:30:00,"PSM","DDMV",39.67,-75.63
-2,0,0,0,0,0,0,83.12,155.6,2015-01-01,2015-01-01 01:30:00,"PSM","DDMV",39.67,-75.63
-2,0,0,0,0,0,0,81.93,145.32,2015-01-01,2015-01-01 02:30:00,"PSM","DDMV",39.67,-75.63
-3,0,0,0,0,0,0,80.57,134.03,2015-01-01,2015-01-01 03:30:00,"PSM","DDMV",39.67,-75.63
-3,0,0,0,0,0,0,79.89,122.5,2015-01-01,2015-01-01 04:30:00,"PSM","DDMV",39.67,-75.63
-3,0,0,0,0,0,0,80.57,111.1,2015-01-01,2015-01-01 05:30:00,"PSM","DDMV",39.67,-75.63
-2,0,0,0,0,0,0,81.88,100.09,2015-01-01,2015-01-01 06:30:00,"PSM","DDMV",39.67,-75.63
-1,0,0,0,0,0,0,77.61,89.73,2015-01-01,2015-01-01 07:30:00,"PSM","DDMV",39.67,-75.63
0,144,42,609,42,609,144,68.34,80.38,2015-01-01,2015-01-01 08:30:00,"PSM","DDMV",39.67,-75.63
1,297,58,792,58,792,297,62.03,72.47,2015-01-01,2015-01-01 09:30:00,"PSM","DDMV",39.67,-75.63
2,414,67,870,67,870,414,51.39,66.56,2015-01-01,2015-01-01 10:30:00,"PSM","DDMV",39.67,-75.63
3,478,70,905,70,905,478,47.66,63.23,2015-01-01,2015-01-01 11:30:00,"PSM","DDMV",39.67,-75.63
3,485,69,912,69,912,485,49.34,62.92,2015-01-01,2015-01-01 12:30:00,"PSM","DDMV",39.67,-75.63
4,431,68,880,68,880,431,51.33,65.66,2015-01-01,2015-01-01 13:30:00,"PSM","DDMV",39.67,-75.63
3,225,117,332,59,818,324,57.72,71.09,2015-01-01,2015-01-01 14:30:00,"PSM","DDMV",39.67,-75.63
1,114,71,219,44,673,177,67.85,78.64,2015-01-01,2015-01-01 15:30:00,"PSM","DDMV",39.67,-75.63
