"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
0,0,0,0,0,0,0,71.36,163.34,2015-01-01,2015-01-01 00:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,76.26,155.99,2015-01-01,2015-01-01 01:30:00,"PSM","DELN",38.81,-75.43
-1,0,0,0,0,0,0,84.3,145.43,2015-01-01,2015-01-01 02:30:00,"PSM","DELN",38.81,-75.43
-1,0,0,0,0,0,0,82.97,133.95,2015-01-01,2015-01-01 03:30:00,"PSM","DELN",38.81,-75.43
-1,0,0,0,0,0,0,79.03,122.28,2015-01-01,2015-01-01 04:30:00,"PSM","DELN",38.81,-75.43
-1,0,0,0,0,0,0,76.38,110.75,2015-01-01,2015-01-01 05:30:00,"PSM","DELN",38.81,-75.43
-1,0,0,0,0,0,0,75.07,99.62,2015-01-01,2015-01-01 06:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,70.51,89.15,2015-01-01,2015-01-01 07:30:00,"PSM","DELN",38.81,-75.43
1,158,44,640,44,640,158,67.72,79.69,2015-01-01,2015-01-01 08:30:00,"PSM","DELN",38.81,-75.43
2,314,59,810,59,810,314,62.19,71.68,2015-01-01,2015-01-01 09:30:00,"PSM","DELN",38.81,-75.43
3,431,69,881,69,881,431,51.35,65.69,2015-01-01,2015-01-01 10:30:00,"PSM","DELN",38.81,-75.43
4,496,72,914,72,914,496,48.02,62.34,2015-01-01,2015-01-01 11:30:00,"PSM","DELN",38.81,-75.43
5,503,71,920,71,920,503,46.25,62.06,2015-01-01,2015-01-01 12:30:00,"PSM","DELN",38.81,-75.43
5,447,68,893,68,893,447,48.22,64.89,2015-01-01,2015-01-01 13:30:00,"PSM","DELN",38.81,-75.43
4,250,110,419,60,829,337,54.57,70.46,2015-01-01,2015-01-01 14:30:00,"PSM","DELN",38.81,-75.43
2,118,75,207,46,686,187,70.23,78.16,2015-01-01,2015-01-01 15:30:00,"PSM","DELN",38.81,-75.43
0,31,17,309,17,309,31,82.79,87.4,2015-01-01,2015-01-01 16:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,81.41,97.72,2015-01-01,2015-01-01 17:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,83.62,108.75,2015-01-01,2015-01-01 18:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,81.04,120.22,2015-01-01,2015-01-01 19:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,84.83,131.89,2015-01-01,2015-01-01 20:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,88.88,143.43,2015-01-01,2015-01-01 21:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,92.1,154.23,2015-01-01,2015-01-01 22:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,94.27,162.42,2015-01-01,2015-01-01 23:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,94.95,163.29,2015-01-02,2015-01-02 00:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,100,156.01,2015-01-02,2015-01-02 01:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,100,145.47,2015-01-02,2015-01-02 02:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,99.71,133.99,2015-01-02,2015-01-02 03:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,98.55,122.32,2015-01-02,2015-01-02 04:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,97.44,110.79,2015-01-02,2015-01-02 05:30:00,"PSM","DELN",38.81,-75.43
0,0,0,0,0,0,0,96.04,99.65,2015-01-02,2015-01-02 06:30:00,"PSM","DELN",38.81,-75.43
1,0,0,0,0,0,0,87.62,89.17,2015-01-02,2015-01-02 07:30:00,"PSM","DELN",38.81,-75.43
2,84,67,95,47,563,148,85,79.69,2015-01-02,2015-01-02 08:30:00,"PSM","DELN",38.81,-75.43
4,205,120,271,67,730,297,75.38,71.66,2015-01-02,2015-01-02 09:30:00,"PSM","DELN",38.81,-75.43
