"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-2,0,0,0,0,0,0,83.46,162.66,2015-01-01,2015-01-01 00:30:00,"PSM","DGLW",39.61,-75.73
-2,0,0,0,0,0,0,83.21,155.72,2015-01-01,2015-01-01 01:30:00,"PSM","DGLW",39.61,-75.73
-3,0,0,0,0,0,0,81.99,145.43,2015-01-01,2015-01-01 02:30:00,"PSM","DGLW",39.61,-75.73
-3,0,0,0,0,0,0,80.75,134.13,2015-01-01,2015-01-01 03:30:00,"PSM","DGLW",39.61,-75.73
-3,0,0,0,0,0,0,80.3,122.59,2015-01-01,2015-01-01 04:30:00,"PSM","DGLW",39.61,-75.73
-3,0,0,0,0,0,0,81.22,111.17,2015-01-01,2015-01-01 05:30:00,"PSM","DGLW",39.61,-75.73
-3,0,0,0,0,0,0,82.62,100.15,2015-01-01,2015-01-01 06:30:00,"PSM","DGLW",39.61,-75.73
-2,0,0,0,0,0,0,78.43,89.77,2015-01-01,2015-01-01 07:30:00,"PSM","DGLW",39.61,-75.73
0,144,42,611,42,611,144,69.1,80.4,2015-01-01,2015-01-01 08:30:00,"PSM","DGLW",39.61,-75.73
1,298,59,794,59,794,298,62.83,72.46,2015-01-01,2015-01-01 09:30:00,"PSM","DGLW",39.61,-75.73
2,415,68,871,68,871,415,51.9,66.52,2015-01-01,2015-01-01 10:30:00,"PSM","DGLW",39.61,-75.73
3,480,70,907,70,907,480,47.98,63.17,2015-01-01,2015-01-01 11:30:00,"PSM","DGLW",39.61,-75.73
3,487,70,914,70,914,487,49.65,62.83,2015-01-01,2015-01-01 12:30:00,"PSM","DGLW",39.61,-75.73
3,433,68,883,68,883,433,51.65,65.55,2015-01-01,2015-01-01 13:30:00,"PSM","DGLW",39.61,-75.73
2,231,116,354,59,822,327,58.06,70.97,2015-01-01,2015-01-01 14:30:00,"PSM","DGLW",39.61,-75.73
1,93,76,87,45,679,180,68.38,78.52,2015-01-01,2015-01-01 15:30:00,"PSM","DGLW",39.61,-75.73
0,28,16,298,16,298,28,74.86,87.62,2015-01-01,2015-01-01 16:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,73.26,97.81,2015-01-01,2015-01-01 17:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,74.94,108.72,2015-01-01,2015-01-01 18:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,77.69,120.06,2015-01-01,2015-01-01 19:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,80.56,131.6,2015-01-01,2015-01-01 20:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,82.96,142.99,2015-01-01,2015-01-01 21:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,85.23,153.61,2015-01-01,2015-01-01 22:30:00,"PSM","DGLW",39.61,-75.73
0,0,0,0,0,0,0,85.42,161.6,2015-01-01,2015-01-01 23:30:00,"PSM","DGLW",39.61,-75.73
-1,0,0,0,0,0,0,91.15,162.61,2015-01-02,2015-01-02 00:30:00,"PSM","DGLW",39.61,-75.73
-1,0,0,0,0,0,0,90.57,155.73,2015-01-02,2015-01-02 01:30:00,"PSM","DGLW",39.61,-75.73
