"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,77.87,162.44,2015-01-01,2015-01-01 00:30:00,"PSM","DGRN",39.8,-75.61
-3,0,0,0,0,0,0,77.33,155.53,2015-01-01,2015-01-01 01:30:00,"PSM","DGRN",39.8,-75.61
-3,0,0,0,0,0,0,75.87,145.28,2015-01-01,2015-01-01 02:30:00,"PSM","DGRN",39.8,-75.61
-3,0,0,0,0,0,0,74.58,134.01,2015-01-01,2015-01-01 03:30:00,"PSM","DGRN",39.8,-75.61
-4,0,0,0,0,0,0,79.72,122.51,2015-01-01,2015-01-01 04:30:00,"PSM","DGRN",39.8,-75.61
-4,0,0,0,0,0,0,80.15,111.13,2015-01-01,2015-01-01 05:30:00,"PSM","DGRN",39.8,-75.61
-4,0,0,0,0,0,0,75.57,100.13,2015-01-01,2015-01-01 06:30:00,"PSM","DGRN",39.8,-75.61
-3,0,0,0,0,0,0,71.69,89.79,2015-01-01,2015-01-01 07:30:00,"PSM","DGRN",39.8,-75.61
-1,143,42,608,42,608,143,67.99,80.46,2015-01-01,2015-01-01 08:30:00,"PSM","DGRN",39.8,-75.61
0,296,58,793,58,793,296,60.62,72.57,2015-01-01,2015-01-01 09:30:00,"PSM","DGRN",39.8,-75.61
1,413,67,873,67,873,413,51.39,66.67,2015-01-01,2015-01-01 10:30:00,"PSM","DGRN",39.8,-75.61
2,478,69,910,69,910,478,48.45,63.35,2015-01-01,2015-01-01 11:30:00,"PSM","DGRN",39.8,-75.61
2,484,69,916,69,916,484,50.45,63.04,2015-01-01,2015-01-01 12:30:00,"PSM","DGRN",39.8,-75.61
3,429,68,880,68,880,429,49.04,65.77,2015-01-01,2015-01-01 13:30:00,"PSM","DGRN",39.8,-75.61
2,323,59,820,59,820,323,55.15,71.19,2015-01-01,2015-01-01 14:30:00,"PSM","DGRN",39.8,-75.61
1,142,54,452,44,673,176,64.07,78.73,2015-01-01,2015-01-01 15:30:00,"PSM","DGRN",39.8,-75.61
0,21,21,0,15,285,26,71.2,87.81,2015-01-01,2015-01-01 16:30:00,"PSM","DGRN",39.8,-75.61
0,0,0,0,0,0,0,71.15,97.97,2015-01-01,2015-01-01 17:30:00,"PSM","DGRN",39.8,-75.61
0,0,0,0,0,0,0,73.04,108.86,2015-01-01,2015-01-01 18:30:00,"PSM","DGRN",39.8,-75.61
-1,0,0,0,0,0,0,80.83,120.18,2015-01-01,2015-01-01 19:30:00,"PSM","DGRN",39.8,-75.61
-1,0,0,0,0,0,0,83.46,131.68,2015-01-01,2015-01-01 20:30:00,"PSM","DGRN",39.8,-75.61
-1,0,0,0,0,0,0,85.69,143.03,2015-01-01,2015-01-01 21:30:00,"PSM","DGRN",39.8,-75.61
-1,0,0,0,0,0,0,87.76,153.58,2015-01-01,2015-01-01 22:30:00,"PSM","DGRN",39.8,-75.61
-1,0,0,0,0,0,0,88.06,161.47,2015-01-01,2015-01-01 23:30:00,"PSM","DGRN",39.8,-75.61
