"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,78.62,162.5,2015-01-01,2015-01-01 00:30:00,"PSM","DHOC",39.79,-75.7
-3,0,0,0,0,0,0,78.05,155.6,2015-01-01,2015-01-01 01:30:00,"PSM","DHOC",39.79,-75.7
-3,0,0,0,0,0,0,76.81,145.35,2015-01-01,2015-01-01 02:30:00,"PSM","DHOC",39.79,-75.7
-3,0,0,0,0,0,0,75.8,134.08,2015-01-01,2015-01-01 03:30:00,"PSM","DHOC",39.79,-75.7
-3,0,0,0,0,0,0,75.38,122.57,2015-01-01,2015-01-01 04:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,81.83,111.18,2015-01-01,2015-01-01 05:30:00,"PSM","DHOC",39.79,-75.7
-3,0,0,0,0,0,0,77.18,100.18,2015-01-01,2015-01-01 06:30:00,"PSM","DHOC",39.79,-75.7
-2,0,0,0,0,0,0,73.23,89.83,2015-01-01,2015-01-01 07:30:00,"PSM","DHOC",39.79,-75.7
-1,143,42,610,42,610,143,69.48,80.48,2015-01-01,2015-01-01 08:30:00,"PSM","DHOC",39.79,-75.7
0,296,58,795,58,795,296,62.3,72.57,2015-01-01,2015-01-01 09:30:00,"PSM","DHOC",39.79,-75.7
1,413,66,874,66,874,413,52.49,66.66,2015-01-01,2015-01-01 10:30:00,"PSM","DHOC",39.79,-75.7
2,478,69,911,69,911,478,49.15,63.32,2015-01-01,2015-01-01 11:30:00,"PSM","DHOC",39.79,-75.7
3,485,68,917,68,917,485,47.61,62.99,2015-01-01,2015-01-01 12:30:00,"PSM","DHOC",39.79,-75.7
3,431,67,883,67,883,431,49.67,65.71,2015-01-01,2015-01-01 13:30:00,"PSM","DHOC",39.79,-75.7
2,324,58,823,58,823,324,55.88,71.12,2015-01-01,2015-01-01 14:30:00,"PSM","DHOC",39.79,-75.7
1,147,52,482,44,677,177,65.22,78.65,2015-01-01,2015-01-01 15:30:00,"PSM","DHOC",39.79,-75.7
0,22,22,0,15,292,27,72.17,87.73,2015-01-01,2015-01-01 16:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,71.75,97.9,2015-01-01,2015-01-01 17:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,73.67,108.79,2015-01-01,2015-01-01 18:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,76.05,120.11,2015-01-01,2015-01-01 19:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,84.46,131.62,2015-01-01,2015-01-01 20:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,86.6,142.98,2015-01-01,2015-01-01 21:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,88.57,153.55,2015-01-01,2015-01-01 22:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,88.76,161.47,2015-01-01,2015-01-01 23:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,88.22,162.45,2015-01-02,2015-01-02 00:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,87.85,155.61,2015-01-02,2015-01-02 01:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,87.47,145.39,2015-01-02,2015-01-02 02:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,87.41,134.12,2015-01-02,2015-01-02 03:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,87.28,122.61,2015-01-02,2015-01-02 04:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,86.89,111.22,2015-01-02,2015-01-02 05:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,86.37,100.21,2015-01-02,2015-01-02 06:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,79.86,89.84,2015-01-02,2015-01-02 07:30:00,"PSM","DHOC",39.79,-75.7
1,76,61,90,45,537,134,77.96,80.48,2015-01-02,2015-01-02 08:30:00,"PSM","DHOC",39.79,-75.7
3,230,88,473,65,717,281,69.63,72.55,2015-01-02,2015-01-02 09:30:00,"PSM","DHOC",39.79,-75.7
4,280,155,316,94,729,384,61.3,66.61,2015-01-02,2015-01-02 10:30:00,"PSM","DHOC",39.79,-75.7
4,380,139,534,100,774,449,58.79,63.25,2015-01-02,2015-01-02 11:30:00,"PSM","DHOC",39.79,-75.7
5,386,141,537,98,790,458,55.05,62.89,2015-01-02,2015-01-02 12:30:00,"PSM","DHOC",39.79,-75.7
4,362,101,631,98,743,405,59.98,65.59,2015-01-02,2015-01-02 13:30:00,"PSM","DHOC",39.79,-75.7
3,267,85,560,82,680,304,66.12,70.99,2015-01-02,2015-01-02 14:30:00,"PSM","DHOC",39.79,-75.7
1,110,74,185,58,542,166,81.79,78.52,2015-01-02,2015-01-02 15:30:00,"PSM","DHOC",39.79,-75.7
0,17,17,0,18,181,25,82.6,87.6,2015-01-02,2015-01-02 16:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,79.09,97.76,2015-01-02,2015-01-02 17:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,79.92,108.65,2015-01-02,2015-01-02 18:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,80.44,119.97,2015-01-02,2015-01-02 19:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,78.99,131.48,2015-01-02,2015-01-02 20:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,81.73,142.84,2015-01-02,2015-01-02 21:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,81.55,153.41,2015-01-02,2015-01-02 22:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,81.82,161.35,2015-01-02,2015-01-02 23:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,83.15,162.39,2015-01-03,2015-01-03 00:30:00,"PSM","DHOC",39.79,-75.7
-2,0,0,0,0,0,0,89.06,155.61,2015-01-03,2015-01-03 01:30:00,"PSM","DHOC",39.79,-75.7
-2,0,0,0,0,0,0,89.57,145.42,2015-01-03,2015-01-03 02:30:00,"PSM","DHOC",39.79,-75.7
-2,0,0,0,0,0,0,90.66,134.16,2015-01-03,2015-01-03 03:30:00,"PSM","DHOC",39.79,-75.7
-2,0,0,0,0,0,0,85.04,122.65,2015-01-03,2015-01-03 04:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,86.25,111.25,2015-01-03,2015-01-03 05:30:00,"PSM","DHOC",39.79,-75.7
-1,0,0,0,0,0,0,87.6,100.23,2015-01-03,2015-01-03 06:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,82.75,89.86,2015-01-03,2015-01-03 07:30:00,"PSM","DHOC",39.79,-75.7
0,96,57,238,50,442,123,86.42,80.48,2015-01-03,2015-01-03 08:30:00,"PSM","DHOC",39.79,-75.7
1,54,54,0,77,614,261,86.49,72.53,2015-01-03,2015-01-03 09:30:00,"PSM","DHOC",39.79,-75.7
2,103,103,0,93,693,369,87.45,66.56,2015-01-03,2015-01-03 10:30:00,"PSM","DHOC",39.79,-75.7
2,74,74,0,108,705,426,92.55,63.17,2015-01-03,2015-01-03 11:30:00,"PSM","DHOC",39.79,-75.7
2,60,60,0,122,663,426,96.18,62.79,2015-01-03,2015-01-03 12:30:00,"PSM","DHOC",39.79,-75.7
2,11,11,0,132,569,369,99.21,65.47,2015-01-03,2015-01-03 13:30:00,"PSM","DHOC",39.79,-75.7
2,53,53,0,116,474,271,100,70.86,2015-01-03,2015-01-03 14:30:00,"PSM","DHOC",39.79,-75.7
1,6,6,0,80,311,143,100,78.38,2015-01-03,2015-01-03 15:30:00,"PSM","DHOC",39.79,-75.7
1,0,0,0,17,39,19,100,87.45,2015-01-03,2015-01-03 16:30:00,"PSM","DHOC",39.79,-75.7
1,0,0,0,0,0,0,100,97.62,2015-01-03,2015-01-03 17:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,108.5,2015-01-03,2015-01-03 18:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,119.83,2015-01-03,2015-01-03 19:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,131.34,2015-01-03,2015-01-03 20:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,142.7,2015-01-03,2015-01-03 21:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,153.26,2015-01-03,2015-01-03 22:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,161.22,2015-01-03,2015-01-03 23:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,162.32,2015-01-04,2015-01-04 00:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,155.61,2015-01-04,2015-01-04 01:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,145.44,2015-01-04,2015-01-04 02:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,100,134.19,2015-01-04,2015-01-04 03:30:00,"PSM","DHOC",39.79,-75.7
3,0,0,0,0,0,0,100,122.68,2015-01-04,2015-01-04 04:30:00,"PSM","DHOC",39.79,-75.7
3,0,0,0,0,0,0,100,111.28,2015-01-04,2015-01-04 05:30:00,"PSM","DHOC",39.79,-75.7
3,0,0,0,0,0,0,100,100.25,2015-01-04,2015-01-04 06:30:00,"PSM","DHOC",39.79,-75.7
3,0,0,0,0,0,0,100,89.86,2015-01-04,2015-01-04 07:30:00,"PSM","DHOC",39.79,-75.7
4,34,34,0,50,407,118,100,80.46,2015-01-04,2015-01-04 08:30:00,"PSM","DHOC",39.79,-75.7
5,19,19,0,71,623,259,100,72.49,2015-01-04,2015-01-04 09:30:00,"PSM","DHOC",39.79,-75.7
7,92,92,0,93,678,364,97.71,66.5,2015-01-04,2015-01-04 10:30:00,"PSM","DHOC",39.79,-75.7
9,76,76,0,84,768,432,96.99,63.08,2015-01-04,2015-01-04 11:30:00,"PSM","DHOC",39.79,-75.7
10,71,71,0,74,803,443,100,62.68,2015-01-04,2015-01-04 12:30:00,"PSM","DHOC",39.79,-75.7
11,114,114,0,70,780,396,100,65.34,2015-01-04,2015-01-04 13:30:00,"PSM","DHOC",39.79,-75.7
11,100,100,0,62,712,298,100,70.72,2015-01-04,2015-01-04 14:30:00,"PSM","DHOC",39.79,-75.7
11,54,54,0,49,552,162,100,78.23,2015-01-04,2015-01-04 15:30:00,"PSM","DHOC",39.79,-75.7
11,8,8,0,18,160,26,100,87.31,2015-01-04,2015-01-04 16:30:00,"PSM","DHOC",39.79,-75.7
11,0,0,0,0,0,0,100,97.47,2015-01-04,2015-01-04 17:30:00,"PSM","DHOC",39.79,-75.7
10,0,0,0,0,0,0,100,108.36,2015-01-04,2015-01-04 18:30:00,"PSM","DHOC",39.79,-75.7
9,0,0,0,0,0,0,100,119.68,2015-01-04,2015-01-04 19:30:00,"PSM","DHOC",39.79,-75.7
8,0,0,0,0,0,0,100,131.19,2015-01-04,2015-01-04 20:30:00,"PSM","DHOC",39.79,-75.7
7,0,0,0,0,0,0,99.66,142.55,2015-01-04,2015-01-04 21:30:00,"PSM","DHOC",39.79,-75.7
6,0,0,0,0,0,0,88.91,153.11,2015-01-04,2015-01-04 22:30:00,"PSM","DHOC",39.79,-75.7
4,0,0,0,0,0,0,88.16,161.08,2015-01-04,2015-01-04 23:30:00,"PSM","DHOC",39.79,-75.7
3,0,0,0,0,0,0,84.69,162.24,2015-01-05,2015-01-05 00:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,86.14,155.6,2015-01-05,2015-01-05 01:30:00,"PSM","DHOC",39.79,-75.7
2,0,0,0,0,0,0,83.94,145.46,2015-01-05,2015-01-05 02:30:00,"PSM","DHOC",39.79,-75.7
1,0,0,0,0,0,0,83.06,134.22,2015-01-05,2015-01-05 03:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,80.04,122.71,2015-01-05,2015-01-05 04:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,72.99,111.3,2015-01-05,2015-01-05 05:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,68.24,100.26,2015-01-05,2015-01-05 06:30:00,"PSM","DHOC",39.79,-75.7
0,0,0,0,0,0,0,65.27,89.86,2015-01-05,2015-01-05 07:30:00,"PSM","DHOC",39.79,-75.7
0,34,34,0,47,553,139,62.19,80.45,2015-01-05,2015-01-05 08:30:00,"PSM","DHOC",39.79,-75.7
0,293,66,752,66,752,293,56.12,72.45,2015-01-05,2015-01-05 09:30:00,"PSM","DHOC",39.79,-75.7
0,232,172,150,72,856,415,52.3,66.43,2015-01-05,2015-01-05 10:30:00,"PSM","DHOC",39.79,-75.7
0,485,75,902,75,902,485,50.18,62.99,2015-01-05,2015-01-05 11:30:00,"PSM","DHOC",39.79,-75.7
0,496,73,917,73,917,496,48.06,62.56,2015-01-05,2015-01-05 12:30:00,"PSM","DHOC",39.79,-75.7
0,446,67,903,67,903,446,45.84,65.2,2015-01-05,2015-01-05 13:30:00,"PSM","DHOC",39.79,-75.7
0,342,57,857,57,857,342,43.89,70.57,2015-01-05,2015-01-05 14:30:00,"PSM","DHOC",39.79,-75.7
-1,194,42,736,42,736,194,45.92,78.08,2015-01-05,2015-01-05 15:30:00,"PSM","DHOC",39.79,-75.7
-3,36,17,380,17,380,36,52.9,87.15,2015-01-05,2015-01-05 16:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,57.59,97.32,2015-01-05,2015-01-05 17:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,56.42,108.21,2015-01-05,2015-01-05 18:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,55.53,119.54,2015-01-05,2015-01-05 19:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,54.92,131.04,2015-01-05,2015-01-05 20:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,54.13,142.4,2015-01-05,2015-01-05 21:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,57.93,152.96,2015-01-05,2015-01-05 22:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,58.02,160.93,2015-01-05,2015-01-05 23:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,57.02,162.16,2015-01-06,2015-01-06 00:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,56.18,155.57,2015-01-06,2015-01-06 01:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,55.44,145.46,2015-01-06,2015-01-06 02:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,54.13,134.24,2015-01-06,2015-01-06 03:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,54.12,122.73,2015-01-06,2015-01-06 04:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,57.22,111.31,2015-01-06,2015-01-06 05:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,60.6,100.27,2015-01-06,2015-01-06 06:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,63.33,89.85,2015-01-06,2015-01-06 07:30:00,"PSM","DHOC",39.79,-75.7
-5,71,61,57,75,327,129,66.27,80.42,2015-01-06,2015-01-06 08:30:00,"PSM","DHOC",39.79,-75.7
-5,92,92,0,118,547,283,69.65,72.4,2015-01-06,2015-01-06 09:30:00,"PSM","DHOC",39.79,-75.7
-4,144,142,5,154,622,403,67.62,66.36,2015-01-06,2015-01-06 10:30:00,"PSM","DHOC",39.79,-75.7
-4,185,178,16,174,652,472,70.53,62.89,2015-01-06,2015-01-06 11:30:00,"PSM","DHOC",39.79,-75.7
-3,132,132,0,166,686,483,68.09,62.43,2015-01-06,2015-01-06 12:30:00,"PSM","DHOC",39.79,-75.7
-3,117,117,0,161,636,429,70.63,65.06,2015-01-06,2015-01-06 13:30:00,"PSM","DHOC",39.79,-75.7
-3,119,118,2,139,542,321,73.03,70.42,2015-01-06,2015-01-06 14:30:00,"PSM","DHOC",39.79,-75.7
-3,107,90,78,91,405,176,74.88,77.92,2015-01-06,2015-01-06 15:30:00,"PSM","DHOC",39.79,-75.7
-3,30,30,0,24,105,30,74.87,87,2015-01-06,2015-01-06 16:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,80.09,97.17,2015-01-06,2015-01-06 17:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,78.05,108.06,2015-01-06,2015-01-06 18:30:00,"PSM","DHOC",39.79,-75.7
-4,0,0,0,0,0,0,75.34,119.39,2015-01-06,2015-01-06 19:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,78.08,130.89,2015-01-06,2015-01-06 20:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,74.27,142.25,2015-01-06,2015-01-06 21:30:00,"PSM","DHOC",39.79,-75.7
-6,0,0,0,0,0,0,78.65,152.8,2015-01-06,2015-01-06 22:30:00,"PSM","DHOC",39.79,-75.7
-6,0,0,0,0,0,0,77.05,160.78,2015-01-06,2015-01-06 23:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,70.38,162.06,2015-01-07,2015-01-07 00:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,70.52,155.55,2015-01-07,2015-01-07 01:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,71.47,145.47,2015-01-07,2015-01-07 02:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,72.56,134.25,2015-01-07,2015-01-07 03:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,73.04,122.74,2015-01-07,2015-01-07 04:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,71.42,111.32,2015-01-07,2015-01-07 05:30:00,"PSM","DHOC",39.79,-75.7
-5,0,0,0,0,0,0,67.86,100.27,2015-01-07,2015-01-07 06:30:00,"PSM","DHOC",39.79,-75.7
-6,0,0,0,0,0,0,68.1,89.84,2015-01-07,2015-01-07 07:30:00,"PSM","DHOC",39.79,-75.7
-6,146,52,562,52,562,146,61.98,80.39,2015-01-07,2015-01-07 08:30:00,"PSM","DHOC",39.79,-75.7
-6,310,76,771,76,771,310,54.03,72.35,2015-01-07,2015-01-07 09:30:00,"PSM","DHOC",39.79,-75.7
-6,436,94,852,94,852,436,50.58,66.28,2015-01-07,2015-01-07 10:30:00,"PSM","DHOC",39.79,-75.7
-6,353,172,394,108,873,508,46.08,62.78,2015-01-07,2015-01-07 11:30:00,"PSM","DHOC",39.79,-75.7
-6,216,193,49,114,867,517,45.55,62.3,2015-01-07,2015-01-07 12:30:00,"PSM","DHOC",39.79,-75.7
-6,388,85,715,105,849,465,44.74,64.91,2015-01-07,2015-01-07 13:30:00,"PSM","DHOC",39.79,-75.7
-6,353,93,771,93,771,353,47.43,70.26,2015-01-07,2015-01-07 14:30:00,"PSM","DHOC",39.79,-75.7
-6,58,58,0,71,595,197,47.28,77.76,2015-01-07,2015-01-07 15:30:00,"PSM","DHOC",39.79,-75.7
-7,37,26,198,26,198,37,51.8,86.84,2015-01-07,2015-01-07 16:30:00,"PSM","DHOC",39.79,-75.7
-8,0,0,0,0,0,0,50.32,97.01,2015-01-07,2015-01-07 17:30:00,"PSM","DHOC",39.79,-75.7
-8,0,0,0,0,0,0,50.8,107.9,2015-01-07,2015-01-07 18:30:00,"PSM","DHOC",39.79,-75.7
-9,0,0,0,0,0,0,50.5,119.23,2015-01-07,2015-01-07 19:30:00,"PSM","DHOC",39.79,-75.7
-10,0,0,0,0,0,0,50.07,130.74,2015-01-07,2015-01-07 20:30:00,"PSM","DHOC",39.79,-75.7
-11,0,0,0,0,0,0,50.8,142.09,2015-01-07,2015-01-07 21:30:00,"PSM","DHOC",39.79,-75.7
-11,0,0,0,0,0,0,49.7,152.64,2015-01-07,2015-01-07 22:30:00,"PSM","DHOC",39.79,-75.7
-11,0,0,0,0,0,0,49.07,160.62,2015-01-07,2015-01-07 23:30:00,"PSM","DHOC",39.79,-75.7
-12,0,0,0,0,0,0,52.2,161.96,2015-01-08,2015-01-08 00:30:00,"PSM","DHOC",39.79,-75.7
-12,0,0,0,0,0,0,52.73,155.51,2015-01-08,2015-01-08 01:30:00,"PSM","DHOC",39.79,-75.7
-12,0,0,0,0,0,0,55.76,145.46,2015-01-08,2015-01-08 02:30:00,"PSM","DHOC",39.79,-75.7
-13,0,0,0,0,0,0,63.67,134.26,2015-01-08,2015-01-08 03:30:00,"PSM","DHOC",39.79,-75.7
-13,0,0,0,0,0,0,66.59,122.75,2015-01-08,2015-01-08 04:30:00,"PSM","DHOC",39.79,-75.7
-13,0,0,0,0,0,0,69.27,111.33,2015-01-08,2015-01-08 05:30:00,"PSM","DHOC",39.79,-75.7
-13,0,0,0,0,0,0,71,100.26,2015-01-08,2015-01-08 06:30:00,"PSM","DHOC",39.79,-75.7
-12,0,0,0,0,0,0,66.28,89.82,2015-01-08,2015-01-08 07:30:00,"PSM","DHOC",39.79,-75.7
-11,151,48,614,48,614,151,60.83,80.35,2015-01-08,2015-01-08 08:30:00,"PSM","DHOC",39.79,-75.7
-9,313,73,788,73,788,313,51.16,72.29,2015-01-08,2015-01-08 09:30:00,"PSM","DHOC",39.79,-75.7
-8,436,95,845,95,845,436,47.63,66.19,2015-01-08,2015-01-08 10:30:00,"PSM","DHOC",39.79,-75.7
-8,507,101,886,101,886,507,48.96,62.66,2015-01-08,2015-01-08 11:30:00,"PSM","DHOC",39.79,-75.7
-7,517,98,897,98,897,517,46.99,62.16,2015-01-08,2015-01-08 12:30:00,"PSM","DHOC",39.79,-75.7
-7,465,90,879,90,879,465,48.7,64.76,2015-01-08,2015-01-08 13:30:00,"PSM","DHOC",39.79,-75.7
-7,232,128,305,77,815,355,50.12,70.1,2015-01-08,2015-01-08 14:30:00,"PSM","DHOC",39.79,-75.7
-7,202,57,673,57,673,202,51.44,77.6,2015-01-08,2015-01-08 15:30:00,"PSM","DHOC",39.79,-75.7
-8,41,22,319,22,319,41,57.23,86.67,2015-01-08,2015-01-08 16:30:00,"PSM","DHOC",39.79,-75.7
-9,0,0,0,0,0,0,66.36,96.85,2015-01-08,2015-01-08 17:30:00,"PSM","DHOC",39.79,-75.7
-10,0,0,0,0,0,0,72.52,107.74,2015-01-08,2015-01-08 18:30:00,"PSM","DHOC",39.79,-75.7
-9,0,0,0,0,0,0,68.38,119.08,2015-01-08,2015-01-08 19:30:00,"PSM","DHOC",39.79,-75.7
-9,0,0,0,0,0,0,70.65,130.58,2015-01-08,2015-01-08 20:30:00,"PSM","DHOC",39.79,-75.7
-9,0,0,0,0,0,0,68.15,141.93,2015-01-08,2015-01-08 21:30:00,"PSM","DHOC",39.79,-75.7
-8,0,0,0,0,0,0,70.32,152.48,2015-01-08,2015-01-08 22:30:00,"PSM","DHOC",39.79,-75.7
