"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,76.91,162.43,2015-01-01,2015-01-01 00:30:00,"PSM","DLWG",39.87,-75.68
-3,0,0,0,0,0,0,76.31,155.55,2015-01-01,2015-01-01 01:30:00,"PSM","DLWG",39.87,-75.68
-3,0,0,0,0,0,0,74.87,145.33,2015-01-01,2015-01-01 02:30:00,"PSM","DLWG",39.87,-75.68
-4,0,0,0,0,0,0,73.67,134.07,2015-01-01,2015-01-01 03:30:00,"PSM","DLWG",39.87,-75.68
-4,0,0,0,0,0,0,78.74,122.57,2015-01-01,2015-01-01 04:30:00,"PSM","DLWG",39.87,-75.68
-4,0,0,0,0,0,0,79.08,111.2,2015-01-01,2015-01-01 05:30:00,"PSM","DLWG",39.87,-75.68
-4,0,0,0,0,0,0,80.34,100.21,2015-01-01,2015-01-01 06:30:00,"PSM","DLWG",39.87,-75.68
-3,0,0,0,0,0,0,76.16,89.87,2015-01-01,2015-01-01 07:30:00,"PSM","DLWG",39.87,-75.68
-1,141,42,606,42,606,141,67.05,80.53,2015-01-01,2015-01-01 08:30:00,"PSM","DLWG",39.87,-75.68
0,295,58,793,58,793,295,59.62,72.64,2015-01-01,2015-01-01 09:30:00,"PSM","DLWG",39.87,-75.68
1,412,66,874,66,874,412,50.74,66.73,2015-01-01,2015-01-01 10:30:00,"PSM","DLWG",39.87,-75.68
2,477,69,910,69,910,477,47.98,63.4,2015-01-01,2015-01-01 11:30:00,"PSM","DLWG",39.87,-75.68
2,483,68,916,68,916,483,50.02,63.07,2015-01-01,2015-01-01 12:30:00,"PSM","DLWG",39.87,-75.68
2,429,68,881,68,881,429,52.22,65.78,2015-01-01,2015-01-01 13:30:00,"PSM","DLWG",39.87,-75.68
2,323,59,821,59,821,323,54.71,71.19,2015-01-01,2015-01-01 14:30:00,"PSM","DLWG",39.87,-75.68
1,144,53,467,44,674,176,63.42,78.71,2015-01-01,2015-01-01 15:30:00,"PSM","DLWG",39.87,-75.68
0,22,22,0,15,288,26,70.67,87.78,2015-01-01,2015-01-01 16:30:00,"PSM","DLWG",39.87,-75.68
0,0,0,0,0,0,0,70.88,97.93,2015-01-01,2015-01-01 17:30:00,"PSM","DLWG",39.87,-75.68
0,0,0,0,0,0,0,72.84,108.81,2015-01-01,2015-01-01 18:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,80.55,120.12,2015-01-01,2015-01-01 19:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,83.1,131.61,2015-01-01,2015-01-01 20:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,85.24,142.96,2015-01-01,2015-01-01 21:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,87.22,153.5,2015-01-01,2015-01-01 22:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,87.5,161.4,2015-01-01,2015-01-01 23:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,87.01,162.37,2015-01-02,2015-01-02 00:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,86.68,155.56,2015-01-02,2015-01-02 01:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,86.45,145.36,2015-01-02,2015-01-02 02:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,92.97,134.11,2015-01-02,2015-01-02 03:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,93.01,122.62,2015-01-02,2015-01-02 04:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,92.87,111.23,2015-01-02,2015-01-02 05:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,92.51,100.23,2015-01-02,2015-01-02 06:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,85.43,89.88,2015-01-02,2015-01-02 07:30:00,"PSM","DLWG",39.87,-75.68
1,73,61,73,45,536,133,76.68,80.53,2015-01-02,2015-01-02 08:30:00,"PSM","DLWG",39.87,-75.68
2,211,102,364,65,720,280,73.24,72.62,2015-01-02,2015-01-02 09:30:00,"PSM","DLWG",39.87,-75.68
3,277,156,306,94,730,383,62.89,66.69,2015-01-02,2015-01-02 10:30:00,"PSM","DLWG",39.87,-75.68
4,340,171,374,101,771,447,56.8,63.33,2015-01-02,2015-01-02 11:30:00,"PSM","DLWG",39.87,-75.68
4,335,180,340,99,788,457,57.37,62.97,2015-01-02,2015-01-02 12:30:00,"PSM","DLWG",39.87,-75.68
4,306,154,370,99,738,404,58.28,65.67,2015-01-02,2015-01-02 13:30:00,"PSM","DLWG",39.87,-75.68
3,247,102,445,84,674,303,63.98,71.06,2015-01-02,2015-01-02 14:30:00,"PSM","DLWG",39.87,-75.68
1,110,73,189,58,536,165,78.23,78.57,2015-01-02,2015-01-02 15:30:00,"PSM","DLWG",39.87,-75.68
0,17,17,0,18,177,25,81.28,87.64,2015-01-02,2015-01-02 16:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,84.49,97.79,2015-01-02,2015-01-02 17:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,85.59,108.67,2015-01-02,2015-01-02 18:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,85.85,119.98,2015-01-02,2015-01-02 19:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,85.92,131.47,2015-01-02,2015-01-02 20:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,82.13,142.82,2015-01-02,2015-01-02 21:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,87.84,153.36,2015-01-02,2015-01-02 22:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,81.74,161.28,2015-01-02,2015-01-02 23:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,83.37,162.31,2015-01-03,2015-01-03 00:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,88.78,155.56,2015-01-03,2015-01-03 01:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,88.78,145.39,2015-01-03,2015-01-03 02:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,89.42,134.15,2015-01-03,2015-01-03 03:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,90.01,122.65,2015-01-03,2015-01-03 04:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,90.94,111.27,2015-01-03,2015-01-03 05:30:00,"PSM","DLWG",39.87,-75.68
-2,0,0,0,0,0,0,85.63,100.26,2015-01-03,2015-01-03 06:30:00,"PSM","DLWG",39.87,-75.68
-1,0,0,0,0,0,0,80.81,89.9,2015-01-03,2015-01-03 07:30:00,"PSM","DLWG",39.87,-75.68
0,100,55,273,50,443,123,84.18,80.53,2015-01-03,2015-01-03 08:30:00,"PSM","DLWG",39.87,-75.68
1,84,84,0,77,612,260,84.36,72.59,2015-01-03,2015-01-03 09:30:00,"PSM","DLWG",39.87,-75.68
2,18,18,0,93,693,368,86.16,66.63,2015-01-03,2015-01-03 10:30:00,"PSM","DLWG",39.87,-75.68
