"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-1,0,0,0,0,0,0,75.67,163.27,2015-01-01,2015-01-01 00:30:00,"PSM","DMIL",38.88,-75.44
-1,0,0,0,0,0,0,80.37,155.97,2015-01-01,2015-01-01 01:30:00,"PSM","DMIL",38.88,-75.44
-1,0,0,0,0,0,0,81.86,145.44,2015-01-01,2015-01-01 02:30:00,"PSM","DMIL",38.88,-75.44
-1,0,0,0,0,0,0,80.31,133.97,2015-01-01,2015-01-01 03:30:00,"PSM","DMIL",38.88,-75.44
-1,0,0,0,0,0,0,76.85,122.31,2015-01-01,2015-01-01 04:30:00,"PSM","DMIL",38.88,-75.44
-2,0,0,0,0,0,0,80.9,110.8,2015-01-01,2015-01-01 05:30:00,"PSM","DMIL",38.88,-75.44
-1,0,0,0,0,0,0,74.36,99.68,2015-01-01,2015-01-01 06:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,70.16,89.22,2015-01-01,2015-01-01 07:30:00,"PSM","DMIL",38.88,-75.44
0,157,43,637,43,637,157,72.57,79.76,2015-01-01,2015-01-01 08:30:00,"PSM","DMIL",38.88,-75.44
2,312,59,809,59,809,312,62.46,71.76,2015-01-01,2015-01-01 09:30:00,"PSM","DMIL",38.88,-75.44
3,430,69,879,69,879,430,50.66,65.78,2015-01-01,2015-01-01 10:30:00,"PSM","DMIL",38.88,-75.44
4,495,72,913,72,913,495,47.2,62.42,2015-01-01,2015-01-01 11:30:00,"PSM","DMIL",38.88,-75.44
5,501,71,920,71,920,501,45.47,62.14,2015-01-01,2015-01-01 12:30:00,"PSM","DMIL",38.88,-75.44
5,446,68,892,68,892,446,47.4,64.96,2015-01-01,2015-01-01 13:30:00,"PSM","DMIL",38.88,-75.44
4,259,102,468,60,829,337,53.65,70.51,2015-01-01,2015-01-01 14:30:00,"PSM","DMIL",38.88,-75.44
2,121,74,231,46,686,186,69.37,78.19,2015-01-01,2015-01-01 15:30:00,"PSM","DMIL",38.88,-75.44
0,31,17,309,17,309,31,80.64,87.42,2015-01-01,2015-01-01 16:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,78.44,97.72,2015-01-01,2015-01-01 17:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,80.68,108.74,2015-01-01,2015-01-01 18:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,84.22,120.2,2015-01-01,2015-01-01 19:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,88.24,131.85,2015-01-01,2015-01-01 20:30:00,"PSM","DMIL",38.88,-75.44
1,0,0,0,0,0,0,85.93,143.38,2015-01-01,2015-01-01 21:30:00,"PSM","DMIL",38.88,-75.44
1,0,0,0,0,0,0,88.96,154.17,2015-01-01,2015-01-01 22:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,97.88,162.34,2015-01-01,2015-01-01 23:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,98.71,163.22,2015-01-02,2015-01-02 00:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,98.43,155.99,2015-01-02,2015-01-02 01:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,97.44,145.48,2015-01-02,2015-01-02 02:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,96.28,134.02,2015-01-02,2015-01-02 03:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,95.04,122.36,2015-01-02,2015-01-02 04:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,93.87,110.84,2015-01-02,2015-01-02 05:30:00,"PSM","DMIL",38.88,-75.44
0,0,0,0,0,0,0,92.37,99.71,2015-01-02,2015-01-02 06:30:00,"PSM","DMIL",38.88,-75.44
1,0,0,0,0,0,0,84.36,89.24,2015-01-02,2015-01-02 07:30:00,"PSM","DMIL",38.88,-75.44
2,84,66,99,47,559,147,82.84,79.77,2015-01-02,2015-01-02 08:30:00,"PSM","DMIL",38.88,-75.44
4,233,100,426,67,727,295,73.75,71.74,2015-01-02,2015-01-02 09:30:00,"PSM","DMIL",38.88,-75.44
