"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,79.08,162.48,2015-01-01,2015-01-01 00:30:00,"PSM","DPRC",39.75,-75.61
-3,0,0,0,0,0,0,78.61,155.55,2015-01-01,2015-01-01 01:30:00,"PSM","DPRC",39.75,-75.61
-3,0,0,0,0,0,0,77.18,145.3,2015-01-01,2015-01-01 02:30:00,"PSM","DPRC",39.75,-75.61
-3,0,0,0,0,0,0,75.84,134.02,2015-01-01,2015-01-01 03:30:00,"PSM","DPRC",39.75,-75.61
-3,0,0,0,0,0,0,75.27,122.51,2015-01-01,2015-01-01 04:30:00,"PSM","DPRC",39.75,-75.61
-3,0,0,0,0,0,0,81.65,111.12,2015-01-01,2015-01-01 05:30:00,"PSM","DPRC",39.75,-75.61
-3,0,0,0,0,0,0,77.01,100.12,2015-01-01,2015-01-01 06:30:00,"PSM","DPRC",39.75,-75.61
-2,0,0,0,0,0,0,73.04,89.77,2015-01-01,2015-01-01 07:30:00,"PSM","DPRC",39.75,-75.61
-1,143,42,608,42,608,143,69.33,80.43,2015-01-01,2015-01-01 08:30:00,"PSM","DPRC",39.75,-75.61
0,296,58,792,58,792,296,62.1,72.53,2015-01-01,2015-01-01 09:30:00,"PSM","DPRC",39.75,-75.61
1,413,67,872,67,872,413,52.33,66.63,2015-01-01,2015-01-01 10:30:00,"PSM","DPRC",39.75,-75.61
2,478,69,908,69,908,478,49.16,63.31,2015-01-01,2015-01-01 11:30:00,"PSM","DPRC",39.75,-75.61
3,484,69,914,69,914,484,47.62,63,2015-01-01,2015-01-01 12:30:00,"PSM","DPRC",39.75,-75.61
3,429,68,880,68,880,429,49.65,65.73,2015-01-01,2015-01-01 13:30:00,"PSM","DPRC",39.75,-75.61
2,323,59,819,59,819,323,55.83,71.16,2015-01-01,2015-01-01 14:30:00,"PSM","DPRC",39.75,-75.61
1,142,54,449,44,673,176,65.06,78.7,2015-01-01,2015-01-01 15:30:00,"PSM","DPRC",39.75,-75.61
0,21,21,0,15,285,26,72.07,87.79,2015-01-01,2015-01-01 16:30:00,"PSM","DPRC",39.75,-75.61
0,0,0,0,0,0,0,71.67,97.96,2015-01-01,2015-01-01 17:30:00,"PSM","DPRC",39.75,-75.61
0,0,0,0,0,0,0,73.48,108.85,2015-01-01,2015-01-01 18:30:00,"PSM","DPRC",39.75,-75.61
0,0,0,0,0,0,0,75.71,120.17,2015-01-01,2015-01-01 19:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,84.15,131.68,2015-01-01,2015-01-01 20:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,86.46,143.04,2015-01-01,2015-01-01 21:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,88.63,153.6,2015-01-01,2015-01-01 22:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,88.92,161.5,2015-01-01,2015-01-01 23:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,88.34,162.43,2015-01-02,2015-01-02 00:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,87.9,155.56,2015-01-02,2015-01-02 01:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,87.52,145.33,2015-01-02,2015-01-02 02:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,87.47,134.06,2015-01-02,2015-01-02 03:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,87.46,122.55,2015-01-02,2015-01-02 04:30:00,"PSM","DPRC",39.75,-75.61
-1,0,0,0,0,0,0,87.14,111.16,2015-01-02,2015-01-02 05:30:00,"PSM","DPRC",39.75,-75.61
