"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,75.54,162.47,2015-01-01,2015-01-01 00:30:00,"PSM","DSCR",39.86,-75.84
-4,0,0,0,0,0,0,74.8,155.65,2015-01-01,2015-01-01 01:30:00,"PSM","DSCR",39.86,-75.84
-4,0,0,0,0,0,0,73.69,145.45,2015-01-01,2015-01-01 02:30:00,"PSM","DSCR",39.86,-75.84
-4,0,0,0,0,0,0,72.89,134.19,2015-01-01,2015-01-01 03:30:00,"PSM","DSCR",39.86,-75.84
-4,0,0,0,0,0,0,78.21,122.7,2015-01-01,2015-01-01 04:30:00,"PSM","DSCR",39.86,-75.84
-4,0,0,0,0,0,0,78.74,111.32,2015-01-01,2015-01-01 05:30:00,"PSM","DSCR",39.86,-75.84
-4,0,0,0,0,0,0,79.93,100.32,2015-01-01,2015-01-01 06:30:00,"PSM","DSCR",39.86,-75.84
-3,0,0,0,0,0,0,75.75,89.97,2015-01-01,2015-01-01 07:30:00,"PSM","DSCR",39.86,-75.84
-1,141,41,611,41,611,141,67.08,80.63,2015-01-01,2015-01-01 08:30:00,"PSM","DSCR",39.86,-75.84
0,295,58,797,58,797,295,59.95,72.71,2015-01-01,2015-01-01 09:30:00,"PSM","DSCR",39.86,-75.84
0,412,66,878,66,878,412,50.95,66.78,2015-01-01,2015-01-01 10:30:00,"PSM","DSCR",39.86,-75.84
1,478,69,915,69,915,478,47.98,63.42,2015-01-01,2015-01-01 11:30:00,"PSM","DSCR",39.86,-75.84
2,485,68,921,68,921,485,50.03,63.06,2015-01-01,2015-01-01 12:30:00,"PSM","DSCR",39.86,-75.84
2,432,67,888,67,888,432,48.69,65.74,2015-01-01,2015-01-01 13:30:00,"PSM","DSCR",39.86,-75.84
1,326,58,827,58,827,326,54.81,71.12,2015-01-01,2015-01-01 14:30:00,"PSM","DSCR",39.86,-75.84
0,147,52,482,44,682,179,63.85,78.62,2015-01-01,2015-01-01 15:30:00,"PSM","DSCR",39.86,-75.84
0,23,23,0,16,301,28,70.9,87.67,2015-01-01,2015-01-01 16:30:00,"PSM","DSCR",39.86,-75.84
0,0,0,0,0,0,0,70.84,97.82,2015-01-01,2015-01-01 17:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,72.8,108.69,2015-01-01,2015-01-01 18:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,75.07,120,2015-01-01,2015-01-01 19:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,83.17,131.49,2015-01-01,2015-01-01 20:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,84.97,142.84,2015-01-01,2015-01-01 21:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,86.61,153.4,2015-01-01,2015-01-01 22:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,86.74,161.35,2015-01-01,2015-01-01 23:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,86.27,162.41,2015-01-02,2015-01-02 00:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,86.01,155.66,2015-01-02,2015-01-02 01:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,85.76,145.48,2015-01-02,2015-01-02 02:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,92.2,134.24,2015-01-02,2015-01-02 03:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,92.05,122.74,2015-01-02,2015-01-02 04:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,91.66,111.35,2015-01-02,2015-01-02 05:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,91.08,100.35,2015-01-02,2015-01-02 06:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,84.05,89.99,2015-01-02,2015-01-02 07:30:00,"PSM","DSCR",39.86,-75.84
0,65,59,36,45,536,132,75.77,80.63,2015-01-02,2015-01-02 08:30:00,"PSM","DSCR",39.86,-75.84
2,208,103,353,65,720,279,72.87,72.69,2015-01-02,2015-01-02 09:30:00,"PSM","DSCR",39.86,-75.84
3,306,136,430,95,728,383,63.55,66.74,2015-01-02,2015-01-02 10:30:00,"PSM","DSCR",39.86,-75.84
4,378,139,531,101,776,449,57.18,63.35,2015-01-02,2015-01-02 11:30:00,"PSM","DSCR",39.86,-75.84
4,396,125,596,98,794,459,57.59,62.96,2015-01-02,2015-01-02 12:30:00,"PSM","DSCR",39.86,-75.84
4,363,101,634,97,750,407,58.51,65.62,2015-01-02,2015-01-02 13:30:00,"PSM","DSCR",39.86,-75.84
3,247,104,437,81,690,306,64.43,70.99,2015-01-02,2015-01-02 14:30:00,"PSM","DSCR",39.86,-75.84
1,116,72,216,57,555,168,79.36,78.48,2015-01-02,2015-01-02 15:30:00,"PSM","DSCR",39.86,-75.84
0,18,18,0,18,196,26,81.58,87.54,2015-01-02,2015-01-02 16:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,78.54,97.68,2015-01-02,2015-01-02 17:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,79.42,108.55,2015-01-02,2015-01-02 18:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,79.76,119.86,2015-01-02,2015-01-02 19:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,78.88,131.35,2015-01-02,2015-01-02 20:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,81.36,142.7,2015-01-02,2015-01-02 21:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,81.06,153.26,2015-01-02,2015-01-02 22:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,81.22,161.22,2015-01-02,2015-01-02 23:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,82.74,162.35,2015-01-03,2015-01-03 00:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,88.2,155.66,2015-01-03,2015-01-03 01:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,88.3,145.51,2015-01-03,2015-01-03 02:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,89.03,134.27,2015-01-03,2015-01-03 03:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,89.61,122.78,2015-01-03,2015-01-03 04:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,90.7,111.39,2015-01-03,2015-01-03 05:30:00,"PSM","DSCR",39.86,-75.84
-2,0,0,0,0,0,0,85.37,100.37,2015-01-03,2015-01-03 06:30:00,"PSM","DSCR",39.86,-75.84
-1,0,0,0,0,0,0,80.49,90,2015-01-03,2015-01-03 07:30:00,"PSM","DSCR",39.86,-75.84
0,82,60,137,50,440,121,83.99,80.62,2015-01-03,2015-01-03 08:30:00,"PSM","DSCR",39.86,-75.84
1,15,15,0,77,613,260,84.01,72.66,2015-01-03,2015-01-03 09:30:00,"PSM","DSCR",39.86,-75.84
2,98,98,0,93,696,368,84.76,66.68,2015-01-03,2015-01-03 10:30:00,"PSM","DSCR",39.86,-75.84
1,97,97,0,107,710,427,89.54,63.27,2015-01-03,2015-01-03 11:30:00,"PSM","DSCR",39.86,-75.84
1,45,45,0,122,667,427,93.17,62.86,2015-01-03,2015-01-03 12:30:00,"PSM","DSCR",39.86,-75.84
1,12,12,0,133,572,370,100,65.5,2015-01-03,2015-01-03 13:30:00,"PSM","DSCR",39.86,-75.84
1,26,26,0,116,481,273,100,70.85,2015-01-03,2015-01-03 14:30:00,"PSM","DSCR",39.86,-75.84
1,5,5,0,80,320,145,100,78.34,2015-01-03,2015-01-03 15:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,18,42,20,100,87.39,2015-01-03,2015-01-03 16:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,0,0,0,100,97.54,2015-01-03,2015-01-03 17:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,0,0,0,100,108.4,2015-01-03,2015-01-03 18:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,0,0,0,100,119.72,2015-01-03,2015-01-03 19:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,131.21,2015-01-03,2015-01-03 20:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,142.56,2015-01-03,2015-01-03 21:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,153.12,2015-01-03,2015-01-03 22:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,0,0,0,100,161.09,2015-01-03,2015-01-03 23:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,0,0,0,100,162.28,2015-01-04,2015-01-04 00:30:00,"PSM","DSCR",39.86,-75.84
1,0,0,0,0,0,0,100,155.65,2015-01-04,2015-01-04 01:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,145.53,2015-01-04,2015-01-04 02:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,134.3,2015-01-04,2015-01-04 03:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,122.81,2015-01-04,2015-01-04 04:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,111.41,2015-01-04,2015-01-04 05:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,100.39,2015-01-04,2015-01-04 06:30:00,"PSM","DSCR",39.86,-75.84
2,0,0,0,0,0,0,100,90.01,2015-01-04,2015-01-04 07:30:00,"PSM","DSCR",39.86,-75.84
3,39,39,0,49,418,117,100,80.61,2015-01-04,2015-01-04 08:30:00,"PSM","DSCR",39.86,-75.84
4,23,23,0,70,633,259,97.57,72.63,2015-01-04,2015-01-04 09:30:00,"PSM","DSCR",39.86,-75.84
6,49,49,0,91,689,365,94,66.62,2015-01-04,2015-01-04 10:30:00,"PSM","DSCR",39.86,-75.84
