"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-4,0,0,0,0,0,0,72.5,162.22,2015-01-01,2015-01-01 00:30:00,"PSM","DSGM",40.07,-75.78
-4,0,0,0,0,0,0,71.73,155.46,2015-01-01,2015-01-01 01:30:00,"PSM","DSGM",40.07,-75.78
-4,0,0,0,0,0,0,76.02,145.31,2015-01-01,2015-01-01 02:30:00,"PSM","DSGM",40.07,-75.78
-4,0,0,0,0,0,0,75.09,134.11,2015-01-01,2015-01-01 03:30:00,"PSM","DSGM",40.07,-75.78
-4,0,0,0,0,0,0,74.47,122.65,2015-01-01,2015-01-01 04:30:00,"PSM","DSGM",40.07,-75.78
-5,0,0,0,0,0,0,74.62,111.31,2015-01-01,2015-01-01 05:30:00,"PSM","DSGM",40.07,-75.78
-5,0,0,0,0,0,0,75.71,100.35,2015-01-01,2015-01-01 06:30:00,"PSM","DSGM",40.07,-75.78
-4,0,0,0,0,0,0,71.78,90.04,2015-01-01,2015-01-01 07:30:00,"PSM","DSGM",40.07,-75.78
-2,138,41,604,41,604,138,68.37,80.74,2015-01-01,2015-01-01 08:30:00,"PSM","DSGM",40.07,-75.78
0,291,57,793,57,793,291,56.72,72.86,2015-01-01,2015-01-01 09:30:00,"PSM","DSGM",40.07,-75.78
0,408,65,875,65,875,408,52.45,66.97,2015-01-01,2015-01-01 10:30:00,"PSM","DSGM",40.07,-75.78
1,473,68,912,68,912,473,49.83,63.65,2015-01-01,2015-01-01 11:30:00,"PSM","DSGM",40.07,-75.78
1,480,67,918,67,918,480,48.52,63.3,2015-01-01,2015-01-01 12:30:00,"PSM","DSGM",40.07,-75.78
2,426,67,883,67,883,426,50.8,65.99,2015-01-01,2015-01-01 13:30:00,"PSM","DSGM",40.07,-75.78
1,321,57,823,57,823,321,57.27,71.35,2015-01-01,2015-01-01 14:30:00,"PSM","DSGM",40.07,-75.78
0,174,44,675,44,675,174,66.19,78.83,2015-01-01,2015-01-01 15:30:00,"PSM","DSGM",40.07,-75.78
0,26,15,287,15,287,26,69.01,87.86,2015-01-01,2015-01-01 16:30:00,"PSM","DSGM",40.07,-75.78
0,0,0,0,0,0,0,69.77,97.97,2015-01-01,2015-01-01 17:30:00,"PSM","DSGM",40.07,-75.78
-1,0,0,0,0,0,0,71.78,108.81,2015-01-01,2015-01-01 18:30:00,"PSM","DSGM",40.07,-75.78
-1,0,0,0,0,0,0,79.24,120.08,2015-01-01,2015-01-01 19:30:00,"PSM","DSGM",40.07,-75.78
-1,0,0,0,0,0,0,81.39,131.54,2015-01-01,2015-01-01 20:30:00,"PSM","DSGM",40.07,-75.78
-1,0,0,0,0,0,0,83.13,142.84,2015-01-01,2015-01-01 21:30:00,"PSM","DSGM",40.07,-75.78
