"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-1,0,0,0,0,0,0,74.89,163.08,2015-01-01,2015-01-01 00:30:00,"PSM","DSJR",39.09,-75.44
-1,0,0,0,0,0,0,78.63,155.86,2015-01-01,2015-01-01 01:30:00,"PSM","DSJR",39.09,-75.44
-1,0,0,0,0,0,0,79.3,145.38,2015-01-01,2015-01-01 02:30:00,"PSM","DSJR",39.09,-75.44
-2,0,0,0,0,0,0,83.38,133.96,2015-01-01,2015-01-01 03:30:00,"PSM","DSJR",39.09,-75.44
-2,0,0,0,0,0,0,80.18,122.33,2015-01-01,2015-01-01 04:30:00,"PSM","DSJR",39.09,-75.44
-2,0,0,0,0,0,0,79.38,110.84,2015-01-01,2015-01-01 05:30:00,"PSM","DSJR",39.09,-75.44
-1,0,0,0,0,0,0,73.56,99.75,2015-01-01,2015-01-01 06:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,69.6,89.32,2015-01-01,2015-01-01 07:30:00,"PSM","DSJR",39.09,-75.44
0,154,43,631,43,631,154,71.93,79.9,2015-01-01,2015-01-01 08:30:00,"PSM","DSJR",39.09,-75.44
2,309,59,805,59,805,309,62.18,71.92,2015-01-01,2015-01-01 09:30:00,"PSM","DSJR",39.09,-75.44
3,426,69,876,69,876,426,50.14,65.96,2015-01-01,2015-01-01 10:30:00,"PSM","DSJR",39.09,-75.44
4,491,72,911,72,911,491,46.58,62.62,2015-01-01,2015-01-01 11:30:00,"PSM","DSJR",39.09,-75.44
4,497,71,917,71,917,497,48.1,62.34,2015-01-01,2015-01-01 12:30:00,"PSM","DSJR",39.09,-75.44
5,340,136,486,68,889,442,50.08,65.14,2015-01-01,2015-01-01 13:30:00,"PSM","DSJR",39.09,-75.44
4,333,60,826,60,826,333,56.61,70.67,2015-01-01,2015-01-01 14:30:00,"PSM","DSJR",39.09,-75.44
1,184,45,683,45,683,184,73.15,78.32,2015-01-01,2015-01-01 15:30:00,"PSM","DSJR",39.09,-75.44
0,30,30,0,16,304,30,78.75,87.52,2015-01-01,2015-01-01 16:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,76.33,97.8,2015-01-01,2015-01-01 17:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,78.46,108.79,2015-01-01,2015-01-01 18:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,81.84,120.22,2015-01-01,2015-01-01 19:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,85.67,131.84,2015-01-01,2015-01-01 20:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,89.49,143.33,2015-01-01,2015-01-01 21:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,92.55,154.06,2015-01-01,2015-01-01 22:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,94.4,162.16,2015-01-01,2015-01-01 23:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,94.99,163.03,2015-01-02,2015-01-02 00:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,94.78,155.87,2015-01-02,2015-01-02 01:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,93.79,145.42,2015-01-02,2015-01-02 02:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,92.71,134,2015-01-02,2015-01-02 03:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,91.57,122.37,2015-01-02,2015-01-02 04:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,90.4,110.88,2015-01-02,2015-01-02 05:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,89.02,99.78,2015-01-02,2015-01-02 06:30:00,"PSM","DSJR",39.09,-75.44
0,0,0,0,0,0,0,87.67,89.34,2015-01-02,2015-01-02 07:30:00,"PSM","DSJR",39.09,-75.44
2,60,60,0,47,556,144,80.96,79.9,2015-01-02,2015-01-02 08:30:00,"PSM","DSJR",39.09,-75.44
4,231,99,423,67,724,292,72.3,71.9,2015-01-02,2015-01-02 09:30:00,"PSM","DSJR",39.09,-75.44
5,273,167,260,88,763,400,67.5,65.92,2015-01-02,2015-01-02 10:30:00,"PSM","DSJR",39.09,-75.44
6,358,171,405,94,802,463,60.15,62.55,2015-01-02,2015-01-02 11:30:00,"PSM","DSJR",39.09,-75.44
7,287,206,172,93,808,470,58.86,62.24,2015-01-02,2015-01-02 12:30:00,"PSM","DSJR",39.09,-75.44
6,238,183,128,93,761,414,59.04,65.03,2015-01-02,2015-01-02 13:30:00,"PSM","DSJR",39.09,-75.44
5,214,130,252,80,690,310,65.4,70.54,2015-01-02,2015-01-02 14:30:00,"PSM","DSJR",39.09,-75.44
3,106,78,136,59,537,169,83.67,78.19,2015-01-02,2015-01-02 15:30:00,"PSM","DSJR",39.09,-75.44
0,17,17,0,19,170,27,90.34,87.38,2015-01-02,2015-01-02 16:30:00,"PSM","DSJR",39.09,-75.44
