"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,75.33,162.14,2015-01-01,2015-01-01 00:30:00,"PSM","DTDF",40.07,-75.47
-3,0,0,0,0,0,0,74.68,155.26,2015-01-01,2015-01-01 01:30:00,"PSM","DTDF",40.07,-75.47
-3,0,0,0,0,0,0,78.77,145.08,2015-01-01,2015-01-01 02:30:00,"PSM","DTDF",40.07,-75.47
-4,0,0,0,0,0,0,77.34,133.87,2015-01-01,2015-01-01 03:30:00,"PSM","DTDF",40.07,-75.47
-4,0,0,0,0,0,0,76.6,122.41,2015-01-01,2015-01-01 04:30:00,"PSM","DTDF",40.07,-75.47
-4,0,0,0,0,0,0,76.68,111.07,2015-01-01,2015-01-01 05:30:00,"PSM","DTDF",40.07,-75.47
-4,0,0,0,0,0,0,77.78,100.12,2015-01-01,2015-01-01 06:30:00,"PSM","DTDF",40.07,-75.47
-3,0,0,0,0,0,0,73.67,89.83,2015-01-01,2015-01-01 07:30:00,"PSM","DTDF",40.07,-75.47
-1,140,42,600,42,600,140,64.76,80.55,2015-01-01,2015-01-01 08:30:00,"PSM","DTDF",40.07,-75.47
0,292,58,787,58,787,292,57.69,72.72,2015-01-01,2015-01-01 09:30:00,"PSM","DTDF",40.07,-75.47
1,408,66,869,66,869,408,53.37,66.87,2015-01-01,2015-01-01 10:30:00,"PSM","DTDF",40.07,-75.47
2,472,69,905,69,905,472,50.66,63.61,2015-01-01,2015-01-01 11:30:00,"PSM","DTDF",40.07,-75.47
2,477,68,911,68,911,477,49.27,63.33,2015-01-01,2015-01-01 12:30:00,"PSM","DTDF",40.07,-75.47
2,422,68,872,68,872,422,51.52,66.07,2015-01-01,2015-01-01 13:30:00,"PSM","DTDF",40.07,-75.47
2,316,58,812,58,812,316,58,71.49,2015-01-01,2015-01-01 14:30:00,"PSM","DTDF",40.07,-75.47
1,170,44,662,44,662,170,66.95,79.01,2015-01-01,2015-01-01 15:30:00,"PSM","DTDF",40.07,-75.47
0,23,14,264,14,264,23,69.75,88.06,2015-01-01,2015-01-01 16:30:00,"PSM","DTDF",40.07,-75.47
0,0,0,0,0,0,0,70.41,98.2,2015-01-01,2015-01-01 17:30:00,"PSM","DTDF",40.07,-75.47
0,0,0,0,0,0,0,72.36,109.04,2015-01-01,2015-01-01 18:30:00,"PSM","DTDF",40.07,-75.47
0,0,0,0,0,0,0,79.76,120.33,2015-01-01,2015-01-01 19:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,82.06,131.78,2015-01-01,2015-01-01 20:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,84.17,143.07,2015-01-01,2015-01-01 21:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,86.18,153.53,2015-01-01,2015-01-01 22:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,86.72,161.27,2015-01-01,2015-01-01 23:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,86.34,162.09,2015-01-02,2015-01-02 00:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,86.02,155.27,2015-01-02,2015-01-02 01:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,85.9,145.11,2015-01-02,2015-01-02 02:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,92.31,133.91,2015-01-02,2015-01-02 03:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,92.31,122.45,2015-01-02,2015-01-02 04:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,92.25,111.11,2015-01-02,2015-01-02 05:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,91.82,100.15,2015-01-02,2015-01-02 06:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,84.65,89.85,2015-01-02,2015-01-02 07:30:00,"PSM","DTDF",40.07,-75.47
1,71,60,61,45,533,133,81.14,80.55,2015-01-02,2015-01-02 08:30:00,"PSM","DTDF",40.07,-75.47
2,214,99,386,65,717,278,71.68,72.69,2015-01-02,2015-01-02 09:30:00,"PSM","DTDF",40.07,-75.47
3,321,119,513,93,732,381,60.91,66.83,2015-01-02,2015-01-02 10:30:00,"PSM","DTDF",40.07,-75.47
4,351,159,431,101,767,443,55.56,63.54,2015-01-02,2015-01-02 11:30:00,"PSM","DTDF",40.07,-75.47
4,389,128,580,99,780,451,56.3,63.23,2015-01-02,2015-01-02 12:30:00,"PSM","DTDF",40.07,-75.47
4,357,99,632,101,726,397,57.22,65.96,2015-01-02,2015-01-02 13:30:00,"PSM","DTDF",40.07,-75.47
3,295,85,657,85,657,295,62.67,71.36,2015-01-02,2015-01-02 14:30:00,"PSM","DTDF",40.07,-75.47
1,97,73,125,59,516,158,75.96,78.87,2015-01-02,2015-01-02 15:30:00,"PSM","DTDF",40.07,-75.47
0,13,13,0,16,151,22,80.49,87.92,2015-01-02,2015-01-02 16:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,84.51,98.06,2015-01-02,2015-01-02 17:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,85.69,108.9,2015-01-02,2015-01-02 18:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,85.9,120.19,2015-01-02,2015-01-02 19:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,86.48,131.64,2015-01-02,2015-01-02 20:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,89.22,142.93,2015-01-02,2015-01-02 21:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,88.39,153.39,2015-01-02,2015-01-02 22:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,88.24,161.15,2015-01-02,2015-01-02 23:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,89.67,162.03,2015-01-03,2015-01-03 00:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,88.5,155.27,2015-01-03,2015-01-03 01:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,88.07,145.14,2015-01-03,2015-01-03 02:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,88.22,133.94,2015-01-03,2015-01-03 03:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,88.52,122.48,2015-01-03,2015-01-03 04:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,89.08,111.14,2015-01-03,2015-01-03 05:30:00,"PSM","DTDF",40.07,-75.47
-2,0,0,0,0,0,0,90.3,100.17,2015-01-03,2015-01-03 06:30:00,"PSM","DTDF",40.07,-75.47
-1,0,0,0,0,0,0,85.12,89.86,2015-01-03,2015-01-03 07:30:00,"PSM","DTDF",40.07,-75.47
0,18,18,0,50,440,123,82.38,80.55,2015-01-03,2015-01-03 08:30:00,"PSM","DTDF",40.07,-75.47
2,74,74,0,78,608,259,82.48,72.67,2015-01-03,2015-01-03 09:30:00,"PSM","DTDF",40.07,-75.47
3,71,71,0,92,691,365,84.88,66.78,2015-01-03,2015-01-03 10:30:00,"PSM","DTDF",40.07,-75.47
3,17,17,0,105,708,422,91.62,63.46,2015-01-03,2015-01-03 11:30:00,"PSM","DTDF",40.07,-75.47
2,135,135,0,120,665,420,96.41,63.13,2015-01-03,2015-01-03 12:30:00,"PSM","DTDF",40.07,-75.47
2,86,86,0,134,552,361,99.07,65.84,2015-01-03,2015-01-03 13:30:00,"PSM","DTDF",40.07,-75.47
1,51,51,0,118,451,263,100,71.23,2015-01-03,2015-01-03 14:30:00,"PSM","DTDF",40.07,-75.47
1,3,3,0,78,300,137,100,78.73,2015-01-03,2015-01-03 15:30:00,"PSM","DTDF",40.07,-75.47
1,0,0,0,15,30,16,100,87.78,2015-01-03,2015-01-03 16:30:00,"PSM","DTDF",40.07,-75.47
1,0,0,0,0,0,0,100,97.91,2015-01-03,2015-01-03 17:30:00,"PSM","DTDF",40.07,-75.47
