"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,76.42,162.36,2015-01-01,2015-01-01 00:30:00,"PSM","DWBD",39.94,-75.72
-3,0,0,0,0,0,0,75.75,155.53,2015-01-01,2015-01-01 01:30:00,"PSM","DWBD",39.94,-75.72
-3,0,0,0,0,0,0,74.28,145.33,2015-01-01,2015-01-01 02:30:00,"PSM","DWBD",39.94,-75.72
-4,0,0,0,0,0,0,78.81,134.09,2015-01-01,2015-01-01 03:30:00,"PSM","DWBD",39.94,-75.72
-4,0,0,0,0,0,0,78.12,122.61,2015-01-01,2015-01-01 04:30:00,"PSM","DWBD",39.94,-75.72
-4,0,0,0,0,0,0,78.35,111.24,2015-01-01,2015-01-01 05:30:00,"PSM","DWBD",39.94,-75.72
-4,0,0,0,0,0,0,79.6,100.26,2015-01-01,2015-01-01 06:30:00,"PSM","DWBD",39.94,-75.72
-3,0,0,0,0,0,0,75.48,89.93,2015-01-01,2015-01-01 07:30:00,"PSM","DWBD",39.94,-75.72
-1,140,41,602,41,602,140,66.31,80.61,2015-01-01,2015-01-01 08:30:00,"PSM","DWBD",39.94,-75.72
0,293,58,790,58,790,293,58.71,72.72,2015-01-01,2015-01-01 09:30:00,"PSM","DWBD",39.94,-75.72
1,410,66,872,66,872,410,50.2,66.82,2015-01-01,2015-01-01 10:30:00,"PSM","DWBD",39.94,-75.72
2,475,69,909,69,909,475,47.6,63.49,2015-01-01,2015-01-01 11:30:00,"PSM","DWBD",39.94,-75.72
2,482,68,915,68,915,482,49.67,63.15,2015-01-01,2015-01-01 12:30:00,"PSM","DWBD",39.94,-75.72
2,428,68,879,68,879,428,51.89,65.85,2015-01-01,2015-01-01 13:30:00,"PSM","DWBD",39.94,-75.72
2,322,58,819,58,819,322,58.41,71.23,2015-01-01,2015-01-01 14:30:00,"PSM","DWBD",39.94,-75.72
1,176,44,672,44,672,176,67.53,78.74,2015-01-01,2015-01-01 15:30:00,"PSM","DWBD",39.94,-75.72
0,26,15,285,15,285,26,70.22,87.79,2015-01-01,2015-01-01 16:30:00,"PSM","DWBD",39.94,-75.72
0,0,0,0,0,0,0,70.75,97.94,2015-01-01,2015-01-01 17:30:00,"PSM","DWBD",39.94,-75.72
0,0,0,0,0,0,0,72.82,108.8,2015-01-01,2015-01-01 18:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,80.45,120.1,2015-01-01,2015-01-01 19:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,82.94,131.58,2015-01-01,2015-01-01 20:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,85.05,142.91,2015-01-01,2015-01-01 21:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.98,153.43,2015-01-01,2015-01-01 22:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,87.27,161.32,2015-01-01,2015-01-01 23:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.82,162.31,2015-01-02,2015-01-02 00:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.53,155.54,2015-01-02,2015-01-02 01:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.38,145.37,2015-01-02,2015-01-02 02:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,92.88,134.14,2015-01-02,2015-01-02 03:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,92.96,122.65,2015-01-02,2015-01-02 04:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,92.95,111.28,2015-01-02,2015-01-02 05:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,92.67,100.29,2015-01-02,2015-01-02 06:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,85.5,89.95,2015-01-02,2015-01-02 07:30:00,"PSM","DWBD",39.94,-75.72
1,70,60,62,45,533,132,76.23,80.61,2015-01-02,2015-01-02 08:30:00,"PSM","DWBD",39.94,-75.72
2,230,86,482,65,718,278,72.71,72.7,2015-01-02,2015-01-02 09:30:00,"PSM","DWBD",39.94,-75.72
3,279,153,318,95,727,381,61.93,66.77,2015-01-02,2015-01-02 10:30:00,"PSM","DWBD",39.94,-75.72
4,332,175,351,102,767,445,56.19,63.41,2015-01-02,2015-01-02 11:30:00,"PSM","DWBD",39.94,-75.72
4,359,162,435,99,785,455,56.88,63.05,2015-01-02,2015-01-02 12:30:00,"PSM","DWBD",39.94,-75.72
4,317,145,416,100,735,402,57.78,65.73,2015-01-02,2015-01-02 13:30:00,"PSM","DWBD",39.94,-75.72
3,254,95,490,84,671,302,63.35,71.11,2015-01-02,2015-01-02 14:30:00,"PSM","DWBD",39.94,-75.72
1,118,70,246,58,534,164,77.02,78.61,2015-01-02,2015-01-02 15:30:00,"PSM","DWBD",39.94,-75.72
0,18,18,0,18,177,25,81.06,87.66,2015-01-02,2015-01-02 16:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,84.61,97.8,2015-01-02,2015-01-02 17:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,85.87,108.66,2015-01-02,2015-01-02 18:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.02,119.96,2015-01-02,2015-01-02 19:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.64,131.44,2015-01-02,2015-01-02 20:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,82.54,142.77,2015-01-02,2015-01-02 21:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,88.18,153.29,2015-01-02,2015-01-02 22:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,88.23,161.19,2015-01-02,2015-01-02 23:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,90.13,162.25,2015-01-03,2015-01-03 00:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,88.96,155.54,2015-01-03,2015-01-03 01:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,88.79,145.39,2015-01-03,2015-01-03 02:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,89.23,134.17,2015-01-03,2015-01-03 03:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,89.72,122.69,2015-01-03,2015-01-03 04:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,90.53,111.31,2015-01-03,2015-01-03 05:30:00,"PSM","DWBD",39.94,-75.72
-2,0,0,0,0,0,0,91.59,100.32,2015-01-03,2015-01-03 06:30:00,"PSM","DWBD",39.94,-75.72
-1,0,0,0,0,0,0,86.34,89.96,2015-01-03,2015-01-03 07:30:00,"PSM","DWBD",39.94,-75.72
0,12,12,0,50,438,121,83.5,80.6,2015-01-03,2015-01-03 08:30:00,"PSM","DWBD",39.94,-75.72
1,27,27,0,77,607,258,83.62,72.67,2015-01-03,2015-01-03 09:30:00,"PSM","DWBD",39.94,-75.72
2,81,81,0,93,690,366,85.56,66.72,2015-01-03,2015-01-03 10:30:00,"PSM","DWBD",39.94,-75.72
2,51,51,0,107,706,424,91.49,63.33,2015-01-03,2015-01-03 11:30:00,"PSM","DWBD",39.94,-75.72
2,60,60,0,122,662,423,95.64,62.95,2015-01-03,2015-01-03 12:30:00,"PSM","DWBD",39.94,-75.72
2,64,64,0,136,556,365,98.27,65.61,2015-01-03,2015-01-03 13:30:00,"PSM","DWBD",39.94,-75.72
2,36,36,0,118,461,268,100,70.97,2015-01-03,2015-01-03 14:30:00,"PSM","DWBD",39.94,-75.72
1,18,18,0,80,307,142,100,78.46,2015-01-03,2015-01-03 15:30:00,"PSM","DWBD",39.94,-75.72
1,2,2,0,17,36,18,100,87.51,2015-01-03,2015-01-03 16:30:00,"PSM","DWBD",39.94,-75.72
1,0,0,0,0,0,0,100,97.65,2015-01-03,2015-01-03 17:30:00,"PSM","DWBD",39.94,-75.72
2,0,0,0,0,0,0,100,108.51,2015-01-03,2015-01-03 18:30:00,"PSM","DWBD",39.94,-75.72
2,0,0,0,0,0,0,100,119.82,2015-01-03,2015-01-03 19:30:00,"PSM","DWBD",39.94,-75.72
2,0,0,0,0,0,0,100,131.3,2015-01-03,2015-01-03 20:30:00,"PSM","DWBD",39.94,-75.72
2,0,0,0,0,0,0,100,142.63,2015-01-03,2015-01-03 21:30:00,"PSM","DWBD",39.94,-75.72
