"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,79.6,162.55,2015-01-01,2015-01-01 00:30:00,"PSM","DWCC",39.73,-75.73
-3,0,0,0,0,0,0,79.08,155.65,2015-01-01,2015-01-01 01:30:00,"PSM","DWCC",39.73,-75.73
-3,0,0,0,0,0,0,77.88,145.4,2015-01-01,2015-01-01 02:30:00,"PSM","DWCC",39.73,-75.73
-3,0,0,0,0,0,0,76.88,134.11,2015-01-01,2015-01-01 03:30:00,"PSM","DWCC",39.73,-75.73
-3,0,0,0,0,0,0,76.51,122.59,2015-01-01,2015-01-01 04:30:00,"PSM","DWCC",39.73,-75.73
-3,0,0,0,0,0,0,77.18,111.2,2015-01-01,2015-01-01 05:30:00,"PSM","DWCC",39.73,-75.73
-3,0,0,0,0,0,0,78.45,100.19,2015-01-01,2015-01-01 06:30:00,"PSM","DWCC",39.73,-75.73
-2,0,0,0,0,0,0,74.44,89.83,2015-01-01,2015-01-01 07:30:00,"PSM","DWCC",39.73,-75.73
-1,143,42,610,42,610,143,70.66,80.48,2015-01-01,2015-01-01 08:30:00,"PSM","DWCC",39.73,-75.73
0,296,58,795,58,795,296,63.6,72.56,2015-01-01,2015-01-01 09:30:00,"PSM","DWCC",39.73,-75.73
1,413,67,874,67,874,413,53.32,66.63,2015-01-01,2015-01-01 10:30:00,"PSM","DWCC",39.73,-75.73
2,478,69,910,69,910,478,49.74,63.29,2015-01-01,2015-01-01 11:30:00,"PSM","DWCC",39.73,-75.73
3,485,68,917,68,917,485,48.13,62.95,2015-01-01,2015-01-01 12:30:00,"PSM","DWCC",39.73,-75.73
3,432,67,884,67,884,432,50.18,65.66,2015-01-01,2015-01-01 13:30:00,"PSM","DWCC",39.73,-75.73
2,260,91,519,58,823,325,56.45,71.07,2015-01-01,2015-01-01 14:30:00,"PSM","DWCC",39.73,-75.73
1,107,74,169,44,678,178,66.08,78.6,2015-01-01,2015-01-01 15:30:00,"PSM","DWCC",39.73,-75.73
0,16,16,0,16,295,28,72.9,87.69,2015-01-01,2015-01-01 16:30:00,"PSM","DWCC",39.73,-75.73
0,0,0,0,0,0,0,72.15,97.86,2015-01-01,2015-01-01 17:30:00,"PSM","DWCC",39.73,-75.73
0,0,0,0,0,0,0,74.02,108.75,2015-01-01,2015-01-01 18:30:00,"PSM","DWCC",39.73,-75.73
