"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,76.79,162.31,2015-01-01,2015-01-01 00:30:00,"PSM","DWCH",39.94,-75.55
-3,0,0,0,0,0,0,76.15,155.41,2015-01-01,2015-01-01 01:30:00,"PSM","DWCH",39.94,-75.55
-3,0,0,0,0,0,0,74.6,145.19,2015-01-01,2015-01-01 02:30:00,"PSM","DWCH",39.94,-75.55
-4,0,0,0,0,0,0,79.08,133.94,2015-01-01,2015-01-01 03:30:00,"PSM","DWCH",39.94,-75.55
-4,0,0,0,0,0,0,78.34,122.46,2015-01-01,2015-01-01 04:30:00,"PSM","DWCH",39.94,-75.55
-4,0,0,0,0,0,0,78.55,111.09,2015-01-01,2015-01-01 05:30:00,"PSM","DWCH",39.94,-75.55
-4,0,0,0,0,0,0,79.81,100.12,2015-01-01,2015-01-01 06:30:00,"PSM","DWCH",39.94,-75.55
-3,0,0,0,0,0,0,75.68,89.8,2015-01-01,2015-01-01 07:30:00,"PSM","DWCH",39.94,-75.55
-1,142,42,605,42,605,142,66.37,80.49,2015-01-01,2015-01-01 08:30:00,"PSM","DWCH",39.94,-75.55
0,294,58,791,58,791,294,58.68,72.62,2015-01-01,2015-01-01 09:30:00,"PSM","DWCH",39.94,-75.55
1,411,66,872,66,872,411,50.2,66.75,2015-01-01,2015-01-01 10:30:00,"PSM","DWCH",39.94,-75.55
2,475,69,909,69,909,475,47.62,63.46,2015-01-01,2015-01-01 11:30:00,"PSM","DWCH",39.94,-75.55
2,481,68,914,68,914,481,49.68,63.16,2015-01-01,2015-01-01 12:30:00,"PSM","DWCH",39.94,-75.55
2,426,68,877,68,877,426,51.88,65.9,2015-01-01,2015-01-01 13:30:00,"PSM","DWCH",39.94,-75.55
2,320,58,817,58,817,320,58.39,71.32,2015-01-01,2015-01-01 14:30:00,"PSM","DWCH",39.94,-75.55
1,173,44,668,44,668,173,67.47,78.85,2015-01-01,2015-01-01 15:30:00,"PSM","DWCH",39.94,-75.55
0,25,25,0,15,275,25,70.18,87.92,2015-01-01,2015-01-01 16:30:00,"PSM","DWCH",39.94,-75.55
0,0,0,0,0,0,0,70.76,98.08,2015-01-01,2015-01-01 17:30:00,"PSM","DWCH",39.94,-75.55
0,0,0,0,0,0,0,72.84,108.94,2015-01-01,2015-01-01 18:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,80.43,120.25,2015-01-01,2015-01-01 19:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,82.94,131.73,2015-01-01,2015-01-01 20:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,85.13,143.06,2015-01-01,2015-01-01 21:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,87.13,153.56,2015-01-01,2015-01-01 22:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,87.45,161.39,2015-01-01,2015-01-01 23:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,86.98,162.26,2015-01-02,2015-01-02 00:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,86.69,155.42,2015-01-02,2015-01-02 01:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,86.55,145.22,2015-01-02,2015-01-02 02:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,93.07,133.98,2015-01-02,2015-01-02 03:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,93.17,122.5,2015-01-02,2015-01-02 04:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,93.2,111.13,2015-01-02,2015-01-02 05:30:00,"PSM","DWCH",39.94,-75.55
-2,0,0,0,0,0,0,92.97,100.15,2015-01-02,2015-01-02 06:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,85.8,89.82,2015-01-02,2015-01-02 07:30:00,"PSM","DWCH",39.94,-75.55
1,74,61,79,45,536,134,76.44,80.49,2015-01-02,2015-01-02 08:30:00,"PSM","DWCH",39.94,-75.55
2,210,103,358,65,720,280,72.81,72.6,2015-01-02,2015-01-02 09:30:00,"PSM","DWCH",39.94,-75.55
3,319,124,494,94,728,382,61.88,66.71,2015-01-02,2015-01-02 10:30:00,"PSM","DWCH",39.94,-75.55
4,365,150,478,102,767,446,56.16,63.39,2015-01-02,2015-01-02 11:30:00,"PSM","DWCH",39.94,-75.55
4,380,142,525,99,784,455,56.87,63.07,2015-01-02,2015-01-02 12:30:00,"PSM","DWCH",39.94,-75.55
4,325,137,458,100,733,401,57.78,65.79,2015-01-02,2015-01-02 13:30:00,"PSM","DWCH",39.94,-75.55
3,254,93,499,84,667,299,63.31,71.19,2015-01-02,2015-01-02 14:30:00,"PSM","DWCH",39.94,-75.55
1,101,74,137,58,528,162,76.88,78.72,2015-01-02,2015-01-02 15:30:00,"PSM","DWCH",39.94,-75.55
0,14,14,0,17,167,23,81.01,87.79,2015-01-02,2015-01-02 16:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,84.61,97.94,2015-01-02,2015-01-02 17:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,85.92,108.81,2015-01-02,2015-01-02 18:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,86.05,120.11,2015-01-02,2015-01-02 19:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,86.79,131.59,2015-01-02,2015-01-02 20:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,88.95,142.92,2015-01-02,2015-01-02 21:30:00,"PSM","DWCH",39.94,-75.55
-2,0,0,0,0,0,0,88.26,153.42,2015-01-02,2015-01-02 22:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,88.3,161.26,2015-01-02,2015-01-02 23:30:00,"PSM","DWCH",39.94,-75.55
-1,0,0,0,0,0,0,90.2,162.2,2015-01-03,2015-01-03 00:30:00,"PSM","DWCH",39.94,-75.55
-2,0,0,0,0,0,0,89.05,155.42,2015-01-03,2015-01-03 01:30:00,"PSM","DWCH",39.94,-75.55
