"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-3,0,0,0,0,0,0,75.5,162.18,2015-01-01,2015-01-01 00:30:00,"PSM","DWPK",40.09,-75.62
-3,0,0,0,0,0,0,74.8,155.36,2015-01-01,2015-01-01 01:30:00,"PSM","DWPK",40.09,-75.62
-4,0,0,0,0,0,0,73.32,145.2,2015-01-01,2015-01-01 02:30:00,"PSM","DWPK",40.09,-75.62
-4,0,0,0,0,0,0,77.8,133.99,2015-01-01,2015-01-01 03:30:00,"PSM","DWPK",40.09,-75.62
-4,0,0,0,0,0,0,77.07,122.53,2015-01-01,2015-01-01 04:30:00,"PSM","DWPK",40.09,-75.62
-4,0,0,0,0,0,0,77.2,111.19,2015-01-01,2015-01-01 05:30:00,"PSM","DWPK",40.09,-75.62
-4,0,0,0,0,0,0,78.42,100.24,2015-01-01,2015-01-01 06:30:00,"PSM","DWPK",40.09,-75.62
-3,0,0,0,0,0,0,74.37,89.94,2015-01-01,2015-01-01 07:30:00,"PSM","DWPK",40.09,-75.62
-1,139,41,602,41,602,139,65.3,80.64,2015-01-01,2015-01-01 08:30:00,"PSM","DWPK",40.09,-75.62
0,291,58,790,58,790,291,57.83,72.79,2015-01-01,2015-01-01 09:30:00,"PSM","DWPK",40.09,-75.62
0,408,66,872,66,872,408,53.35,66.92,2015-01-01,2015-01-01 10:30:00,"PSM","DWPK",40.09,-75.62
1,472,68,909,68,909,472,50.65,63.63,2015-01-01,2015-01-01 11:30:00,"PSM","DWPK",40.09,-75.62
2,479,68,914,68,914,479,49.23,63.32,2015-01-01,2015-01-01 12:30:00,"PSM","DWPK",40.09,-75.62
2,424,68,877,68,877,424,51.45,66.03,2015-01-01,2015-01-01 13:30:00,"PSM","DWPK",40.09,-75.62
1,319,58,817,58,817,319,57.93,71.42,2015-01-01,2015-01-01 14:30:00,"PSM","DWPK",40.09,-75.62
0,172,44,668,44,668,172,66.86,78.92,2015-01-01,2015-01-01 15:30:00,"PSM","DWPK",40.09,-75.62
0,24,14,275,14,275,24,69.65,87.96,2015-01-01,2015-01-01 16:30:00,"PSM","DWPK",40.09,-75.62
0,0,0,0,0,0,0,70.38,98.08,2015-01-01,2015-01-01 17:30:00,"PSM","DWPK",40.09,-75.62
0,0,0,0,0,0,0,72.47,108.93,2015-01-01,2015-01-01 18:30:00,"PSM","DWPK",40.09,-75.62
-1,0,0,0,0,0,0,79.99,120.21,2015-01-01,2015-01-01 19:30:00,"PSM","DWPK",40.09,-75.62
