"Temperature","GHI","DHI","DNI","Clearsky.DHI","Clearsky.DNI","Clearsky.GHI","Relative.Humidity","Solar.Zenith.Angle","Date","Time","Data_source","Station","Latitude","Longitude"
-4,0,0,0,0,0,0,70.55,162.13,2015-01-01,2015-01-01 00:30:00,"PSM","DWWK",40.16,-75.73
-4,0,0,0,0,0,0,75.13,155.38,2015-01-01,2015-01-01 01:30:00,"PSM","DWWK",40.16,-75.73
-4,0,0,0,0,0,0,74.04,145.26,2015-01-01,2015-01-01 02:30:00,"PSM","DWWK",40.16,-75.73
-4,0,0,0,0,0,0,73.25,134.07,2015-01-01,2015-01-01 03:30:00,"PSM","DWWK",40.16,-75.73
-4,0,0,0,0,0,0,72.66,122.63,2015-01-01,2015-01-01 04:30:00,"PSM","DWWK",40.16,-75.73
-5,0,0,0,0,0,0,78.45,111.3,2015-01-01,2015-01-01 05:30:00,"PSM","DWWK",40.16,-75.73
-5,0,0,0,0,0,0,79.51,100.35,2015-01-01,2015-01-01 06:30:00,"PSM","DWWK",40.16,-75.73
-4,0,0,0,0,0,0,75.35,90.06,2015-01-01,2015-01-01 07:30:00,"PSM","DWWK",40.16,-75.73
-2,137,41,601,41,601,137,67,80.77,2015-01-01,2015-01-01 08:30:00,"PSM","DWWK",40.16,-75.73
0,289,57,790,57,790,289,56.13,72.91,2015-01-01,2015-01-01 09:30:00,"PSM","DWWK",40.16,-75.73
0,406,65,873,65,873,406,52.09,67.03,2015-01-01,2015-01-01 10:30:00,"PSM","DWWK",40.16,-75.73
1,471,68,910,68,910,471,49.5,63.72,2015-01-01,2015-01-01 11:30:00,"PSM","DWWK",40.16,-75.73
2,477,67,915,67,915,477,48.26,63.39,2015-01-01,2015-01-01 12:30:00,"PSM","DWWK",40.16,-75.73
2,424,67,880,67,880,424,50.6,66.07,2015-01-01,2015-01-01 13:30:00,"PSM","DWWK",40.16,-75.73
1,318,57,820,57,820,318,57.1,71.43,2015-01-01,2015-01-01 14:30:00,"PSM","DWWK",40.16,-75.73
0,173,43,671,43,671,173,66.02,78.91,2015-01-01,2015-01-01 15:30:00,"PSM","DWWK",40.16,-75.73
0,25,15,280,15,280,25,68.93,87.92,2015-01-01,2015-01-01 16:30:00,"PSM","DWWK",40.16,-75.73
0,0,0,0,0,0,0,69.75,98.03,2015-01-01,2015-01-01 17:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,71.7,108.86,2015-01-01,2015-01-01 18:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,79.09,120.12,2015-01-01,2015-01-01 19:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,81.01,131.56,2015-01-01,2015-01-01 20:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,82.53,142.84,2015-01-01,2015-01-01 21:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,84.14,153.3,2015-01-01,2015-01-01 22:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,84.66,161.1,2015-01-01,2015-01-01 23:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,90.79,162.08,2015-01-02,2015-01-02 00:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,90.55,155.39,2015-01-02,2015-01-02 01:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,90.27,145.29,2015-01-02,2015-01-02 02:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,89.88,134.11,2015-01-02,2015-01-02 03:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,89.62,122.67,2015-01-02,2015-01-02 04:30:00,"PSM","DWWK",40.16,-75.73
-3,0,0,0,0,0,0,89.37,111.33,2015-01-02,2015-01-02 05:30:00,"PSM","DWWK",40.16,-75.73
-3,0,0,0,0,0,0,88.69,100.38,2015-01-02,2015-01-02 06:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,81.37,90.07,2015-01-02,2015-01-02 07:30:00,"PSM","DWWK",40.16,-75.73
0,74,59,92,44,530,129,77.72,80.77,2015-01-02,2015-01-02 08:30:00,"PSM","DWWK",40.16,-75.73
2,231,82,506,64,717,275,68.92,72.89,2015-01-02,2015-01-02 09:30:00,"PSM","DWWK",40.16,-75.73
3,319,119,510,94,725,378,59.32,66.99,2015-01-02,2015-01-02 10:30:00,"PSM","DWWK",40.16,-75.73
3,339,167,386,102,766,442,58.38,63.65,2015-01-02,2015-01-02 11:30:00,"PSM","DWWK",40.16,-75.73
4,393,120,607,100,779,451,55.17,63.29,2015-01-02,2015-01-02 12:30:00,"PSM","DWWK",40.16,-75.73
3,329,131,487,100,731,398,60.24,65.96,2015-01-02,2015-01-02 13:30:00,"PSM","DWWK",40.16,-75.73
2,298,83,671,83,671,298,66.12,71.3,2015-01-02,2015-01-02 14:30:00,"PSM","DWWK",40.16,-75.73
1,104,73,161,57,538,162,74.63,78.77,2015-01-02,2015-01-02 15:30:00,"PSM","DWWK",40.16,-75.73
0,15,15,0,17,175,24,79.96,87.79,2015-01-02,2015-01-02 16:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,84.43,97.89,2015-01-02,2015-01-02 17:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,85.26,108.72,2015-01-02,2015-01-02 18:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,85.48,119.98,2015-01-02,2015-01-02 19:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,85.72,131.42,2015-01-02,2015-01-02 20:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,88.43,142.7,2015-01-02,2015-01-02 21:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,87.7,153.17,2015-01-02,2015-01-02 22:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,87.28,160.98,2015-01-02,2015-01-02 23:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,88.73,162.02,2015-01-03,2015-01-03 00:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,86.87,155.39,2015-01-03,2015-01-03 01:30:00,"PSM","DWWK",40.16,-75.73
-3,0,0,0,0,0,0,92.43,145.32,2015-01-03,2015-01-03 02:30:00,"PSM","DWWK",40.16,-75.73
-3,0,0,0,0,0,0,91.95,134.15,2015-01-03,2015-01-03 03:30:00,"PSM","DWWK",40.16,-75.73
-3,0,0,0,0,0,0,91.76,122.7,2015-01-03,2015-01-03 04:30:00,"PSM","DWWK",40.16,-75.73
-3,0,0,0,0,0,0,92.29,111.37,2015-01-03,2015-01-03 05:30:00,"PSM","DWWK",40.16,-75.73
-2,0,0,0,0,0,0,86.69,100.4,2015-01-03,2015-01-03 06:30:00,"PSM","DWWK",40.16,-75.73
-1,0,0,0,0,0,0,81.7,90.08,2015-01-03,2015-01-03 07:30:00,"PSM","DWWK",40.16,-75.73
0,119,50,426,50,426,119,79.13,80.76,2015-01-03,2015-01-03 08:30:00,"PSM","DWWK",40.16,-75.73
1,4,4,0,77,602,255,79.24,72.86,2015-01-03,2015-01-03 09:30:00,"PSM","DWWK",40.16,-75.73
2,60,60,0,92,691,362,81.22,66.94,2015-01-03,2015-01-03 10:30:00,"PSM","DWWK",40.16,-75.73
2,33,33,0,104,710,420,87.11,63.57,2015-01-03,2015-01-03 11:30:00,"PSM","DWWK",40.16,-75.73
1,81,81,0,120,664,420,98.19,63.18,2015-01-03,2015-01-03 12:30:00,"PSM","DWWK",40.16,-75.73
1,81,81,0,134,556,362,100,65.83,2015-01-03,2015-01-03 13:30:00,"PSM","DWWK",40.16,-75.73
1,69,69,0,116,464,266,100,71.17,2015-01-03,2015-01-03 14:30:00,"PSM","DWWK",40.16,-75.73
1,33,33,0,78,313,140,100,78.63,2015-01-03,2015-01-03 15:30:00,"PSM","DWWK",40.16,-75.73
1,4,4,0,16,35,17,100,87.64,2015-01-03,2015-01-03 16:30:00,"PSM","DWWK",40.16,-75.73
1,0,0,0,0,0,0,100,97.75,2015-01-03,2015-01-03 17:30:00,"PSM","DWWK",40.16,-75.73
1,0,0,0,0,0,0,100,108.57,2015-01-03,2015-01-03 18:30:00,"PSM","DWWK",40.16,-75.73
1,0,0,0,0,0,0,100,119.84,2015-01-03,2015-01-03 19:30:00,"PSM","DWWK",40.16,-75.73
