Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1188032,-,-,-,39.69,-75.74,-5,50,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,Solar Zenith Angle
2015,1,1,0,30,-3,0,0,0,0,0,0,81.04,162.59
2015,1,1,1,30,-3,0,0,0,0,0,0,80.61,155.68
2015,1,1,2,30,-3,0,0,0,0,0,0,79.4,145.41
2015,1,1,3,30,-3,0,0,0,0,0,0,78.33,134.12
2015,1,1,4,30,-3,0,0,0,0,0,0,77.96000000000001,122.59
2015,1,1,5,30,-3,0,0,0,0,0,0,78.73,111.19
2015,1,1,6,30,-3,0,0,0,0,0,0,80.05,100.18
2015,1,1,7,30,-2,0,0,0,0,0,0,75.96000000000001,89.81
2015,1,1,8,30,0,143,42,610,42,610,143,67.0,80.45
2015,1,1,9,30,0,297,58,794,58,794,297,65.09,72.53
2015,1,1,10,30,1,413,67,872,67,872,413,54.28,66.6
2015,1,1,11,30,2,479,70,908,70,908,479,50.44,63.25
2015,1,1,12,30,3,486,69,915,69,915,486,48.75,62.910000000000004
2015,1,1,13,30,3,432,67,883,67,883,432,50.79,65.62
2015,1,1,14,30,2,215,124,278,58,822,326,57.11,71.04
2015,1,1,15,30,1,135,61,373,44,677,179,67.03,78.58
2015,1,1,16,30,0,21,21,0,16,295,28,73.72,87.67
2015,1,1,17,30,0,0,0,0,0,0,0,72.66,97.84
2015,1,1,18,30,0,0,0,0,0,0,0,74.47,108.74000000000001
2015,1,1,19,30,0,0,0,0,0,0,0,77.08,120.07000000000001
2015,1,1,20,30,0,0,0,0,0,0,0,79.74,131.59
2015,1,1,21,30,0,0,0,0,0,0,0,81.89,142.97
2015,1,1,22,30,0,0,0,0,0,0,0,83.89,153.56
2015,1,1,23,30,0,0,0,0,0,0,0,90.4,161.53
2015,1,2,0,30,-1,0,0,0,0,0,0,89.76,162.54
2015,1,2,1,30,-1,0,0,0,0,0,0,89.3,155.68
2015,1,2,2,30,-1,0,0,0,0,0,0,88.76,145.44
2015,1,2,3,30,-1,0,0,0,0,0,0,88.71000000000001,134.16
2015,1,2,4,30,-1,0,0,0,0,0,0,88.5,122.63
2015,1,2,5,30,-1,0,0,0,0,0,0,87.91,111.23
2015,1,2,6,30,-1,0,0,0,0,0,0,87.26,100.21000000000001
2015,1,2,7,30,0,0,0,0,0,0,0,80.81,89.83
2015,1,2,8,30,1,74,61,74,45,535,134,79.83,80.45
2015,1,2,9,30,3,230,89,471,66,714,281,71.39,72.51
2015,1,2,10,30,4,324,122,508,94,730,384,63.96,66.55
2015,1,2,11,30,5,359,159,443,99,776,449,56.67,63.18
2015,1,2,12,30,5,395,131,578,98,789,458,56.63,62.81
2015,1,2,13,30,5,318,148,409,97,742,405,57.54,65.51
2015,1,2,14,30,4,282,72,643,82,680,305,63.57,70.91
2015,1,2,15,30,1,154,49,526,58,540,166,85.19,78.44
2015,1,2,16,30,0,24,24,0,18,181,26,83.82000000000001,87.53
2015,1,2,17,30,0,0,0,0,0,0,0,79.56,97.7
2015,1,2,18,30,0,0,0,0,0,0,0,80.17,108.60000000000001
2015,1,2,19,30,0,0,0,0,0,0,0,80.95,119.93
2015,1,2,20,30,0,0,0,0,0,0,0,78.31,131.45
2015,1,2,21,30,0,0,0,0,0,0,0,75.81,142.83
2015,1,2,22,30,0,0,0,0,0,0,0,81.61,153.42000000000002
2015,1,2,23,30,-1,0,0,0,0,0,0,82.03,161.4
2015,1,3,0,30,-1,0,0,0,0,0,0,83.07000000000001,162.47
2015,1,3,1,30,-1,0,0,0,0,0,0,83.19,155.69
2015,1,3,2,30,-1,0,0,0,0,0,0,84.10000000000001,145.47
2015,1,3,3,30,-1,0,0,0,0,0,0,85.55,134.2
2015,1,3,4,30,-1,0,0,0,0,0,0,86.61,122.67
2015,1,3,5,30,-1,0,0,0,0,0,0,88.14,111.26
2015,1,3,6,30,-1,0,0,0,0,0,0,89.79,100.23
2015,1,3,7,30,0,0,0,0,0,0,0,84.94,89.84
2015,1,3,8,30,0,70,61,52,50,442,123,88.92,80.45
2015,1,3,9,30,1,67,67,0,76,616,261,89.02,72.48
2015,1,3,10,30,2,145,142,7,93,693,369,89.66,66.5
2015,1,3,11,30,2,156,154,3,109,702,427,94.56,63.1
2015,1,3,12,30,2,35,35,0,123,660,426,97.96000000000001,62.71
2015,1,3,13,30,2,16,16,0,131,572,370,100.0,65.38
2015,1,3,14,30,2,44,44,0,115,477,272,100.0,70.77
2015,1,3,15,30,2,28,28,0,81,310,144,100.0,78.3
2015,1,3,16,30,2,3,3,0,18,40,19,100.0,87.38
2015,1,3,17,30,2,0,0,0,0,0,0,100.0,97.56
2015,1,3,18,30,2,0,0,0,0,0,0,100.0,108.45
2015,1,3,19,30,2,0,0,0,0,0,0,100.0,119.79
2015,1,3,20,30,2,0,0,0,0,0,0,100.0,131.31
2015,1,3,21,30,3,0,0,0,0,0,0,100.0,142.69
2015,1,3,22,30,3,0,0,0,0,0,0,100.0,153.28
2015,1,3,23,30,2,0,0,0,0,0,0,100.0,161.27
2015,1,4,0,30,2,0,0,0,0,0,0,100.0,162.41
2015,1,4,1,30,2,0,0,0,0,0,0,100.0,155.68
2015,1,4,2,30,3,0,0,0,0,0,0,100.0,145.49
2015,1,4,3,30,3,0,0,0,0,0,0,100.0,134.23
2015,1,4,4,30,3,0,0,0,0,0,0,100.0,122.7
2015,1,4,5,30,3,0,0,0,0,0,0,100.0,111.29
2015,1,4,6,30,3,0,0,0,0,0,0,100.0,100.25
2015,1,4,7,30,4,0,0,0,0,0,0,100.0,89.85000000000001
2015,1,4,8,30,5,25,25,0,52,395,117,100.0,80.44
2015,1,4,9,30,6,76,76,0,72,617,258,99.82000000000001,72.45
2015,1,4,10,30,8,111,111,0,93,675,363,95.64,66.44
2015,1,4,11,30,10,57,57,0,84,765,431,95.74000000000001,63.01
2015,1,4,12,30,11,97,97,0,74,799,442,100.0,62.6
2015,1,4,13,30,12,103,103,0,70,775,395,100.0,65.26
2015,1,4,14,30,12,64,64,0,63,704,297,100.0,70.63
2015,1,4,15,30,12,67,67,0,50,541,162,100.0,78.15
2015,1,4,16,30,12,10,10,0,19,145,26,100.0,87.24
2015,1,4,17,30,12,0,0,0,0,0,0,100.0,97.41
2015,1,4,18,30,11,0,0,0,0,0,0,100.0,108.31
2015,1,4,19,30,10,0,0,0,0,0,0,100.0,119.65
2015,1,4,20,30,9,0,0,0,0,0,0,100.0,131.17000000000002
2015,1,4,21,30,8,0,0,0,0,0,0,100.0,142.54
2015,1,4,22,30,6,0,0,0,0,0,0,91.53,153.13
2015,1,4,23,30,5,0,0,0,0,0,0,83.98,161.13
2015,1,5,0,30,4,0,0,0,0,0,0,86.16,162.33
2015,1,5,1,30,3,0,0,0,0,0,0,80.84,155.67000000000002
2015,1,5,2,30,2,0,0,0,0,0,0,84.43,145.51
2015,1,5,3,30,1,0,0,0,0,0,0,84.46000000000001,134.26
2015,1,5,4,30,1,0,0,0,0,0,0,82.19,122.73
2015,1,5,5,30,0,0,0,0,0,0,0,75.0,111.31
2015,1,5,6,30,0,0,0,0,0,0,0,69.97,100.26
2015,1,5,7,30,0,0,0,0,0,0,0,67.33,89.85000000000001
2015,1,5,8,30,0,41,41,0,48,548,139,64.91,80.42
2015,1,5,9,30,1,94,94,0,67,745,292,58.69,72.41
2015,1,5,10,30,1,101,101,0,73,852,415,50.84,66.37
2015,1,5,11,30,1,344,175,369,75,900,485,48.83,62.92
2015,1,5,12,30,1,497,73,917,73,917,497,46.9,62.480000000000004
2015,1,5,13,30,0,447,67,903,67,903,447,47.870000000000005,65.12
2015,1,5,14,30,0,343,57,855,57,855,343,45.480000000000004,70.49
2015,1,5,15,30,-1,195,42,735,42,735,195,47.37,78.0
2015,1,5,16,30,-2,37,17,383,17,383,37,50.57,87.08
2015,1,5,17,30,-3,0,0,0,0,0,0,55.28,97.26
2015,1,5,18,30,-4,0,0,0,0,0,0,58.95,108.16
2015,1,5,19,30,-4,0,0,0,0,0,0,58.56,119.5
