"Date","solar_radiation_mean","solar_radiation_max","solar_radiation_sum","temp_mean","rel_humidity_mean","rainfall_sum"
"2015-01-01",104.666666666667,454,2512,-0.304166666666667,44.1666666666667,0
"2015-01-02",75.6666666666667,334,1816,0.433333333333333,57.7083333333333,0
"2015-01-03",15.25,97,366,0.325,87.5416666666667,17.2
"2015-01-04",12.9166666666667,54,310,7.65,93.4166666666667,8.9
"2015-01-05",102.708333333333,476,2465,0.170833333333333,44.0833333333333,0
"2015-01-06",27.8333333333333,150,668,-7.54166666666667,80.1666666666667,0
"2015-01-07",77.9583333333333,351,1871,-8.95416666666667,59.5416666666667,0
"2015-01-08",105.125,457,2523,-11.7,49.875,0
"2015-01-09",66.125,374,1587,-4.25833333333333,50.9583333333333,0.6
"2015-01-10",117.083333333333,479,2810,-9.875,49,0
"2015-01-11",113.208333333333,495,2717,-4.42083333333333,59.8333333333333,0
"2015-01-12",10.9583333333333,53,263,0.833333333333333,91.6666666666667,15.6
"2015-01-13",114.083333333333,494,2738,-3.45833333333333,54.2083333333333,0
"2015-01-14",47.7083333333333,230,1145,-5.475,68.75,0
"2015-01-15",74.5416666666667,340,1789,-1.97916666666667,69.375,0
"2015-01-16",104.541666666667,521,2509,-0.541666666666667,59.875,0
"2015-01-17",116.791666666667,490,2803,-5.11666666666667,50.625,0
"2015-01-18",7.66666666666667,39,184,0.758333333333333,95.0416666666667,30
"2015-01-19",78.4166666666667,501,1882,2.65416666666667,68.9583333333333,0
"2015-01-20",62.9583333333333,283,1511,1.4125,76.75,0
"2015-01-21",35.3333333333333,154,848,-2.5625,83.2083333333333,0
"2015-01-22",33.375,252,801,0.1,87.0833333333333,1.6
"2015-01-23",94.4166666666667,431,2266,-0.5,80.0416666666667,0
"2015-01-24",26.9166666666667,117,646,0.775,90.7916666666667,18.3
"2015-01-25",90.125,445,2163,2.6375,76.4166666666667,0.3
"2015-01-26",38.9166666666667,172,934,-3.7375,88.7916666666667,0
"2015-01-27",108.041666666667,557,2593,-3.38333333333333,64.1666666666667,0.8
"2015-01-28",142.375,561,3417,-4.7625,41.3333333333333,0
"2015-01-29",69.2916666666667,297,1663,-3.52916666666667,55.0833333333333,0
"2015-01-30",86.9166666666667,319,2086,-1.09166666666667,65.5416666666667,0.3
"2015-01-31",139.875,544,3357,-7.49583333333333,50.2083333333333,0
"2015-02-01",74.5416666666667,422,1789,-1.39583333333333,65.3333333333333,0
"2015-02-02",26.5833333333333,161,638,-0.7375,85.375,22.7
"2015-02-03",124.25,559,2982,-6.52083333333333,56.375,0
"2015-02-04",112.125,469,2691,0.454166666666667,62.4166666666667,0
"2015-02-05",104.791666666667,499,2515,-2.85,53.375,0
"2015-02-06",96.0416666666667,434,2305,-6.49166666666667,48.9166666666667,0
"2015-02-07",106.375,502,2553,-0.570833333333333,53.2916666666667,0
"2015-02-08",59.4583333333333,245,1427,2.74583333333333,70.8333333333333,0
"2015-02-09",14.1666666666667,59,340,-1.82916666666667,97.3333333333333,0.3
"2015-02-10",119.333333333333,581,2864,-1.41666666666667,82.0416666666667,1.3
"2015-02-11",158.5,617,3804,-1.75833333333333,62.25,0
"2015-02-12",89.1666666666667,377,2140,-1.56666666666667,65.4166666666667,0
"2015-02-13",164.458333333333,610,3947,-10.2041666666667,46.3333333333333,0
"2015-02-14",37.5416666666667,169,901,-5.67083333333333,76.5,0
"2015-02-15",163.5,609,3924,-13.1833333333333,50.2916666666667,0
"2015-02-16",98.8333333333333,395,2372,-14.1625,52.0416666666667,0
"2015-02-17",123.166666666667,618,2956,-8.94166666666667,75.875,3.5
"2015-02-18",164.625,651,3951,-7.22916666666667,60.125,0
"2015-02-19",156.083333333333,595,3746,-11.1666666666667,43.1666666666667,0.3
"2015-02-20",174.666666666667,634,4192,-14.575,43.7916666666667,0
"2015-02-21",44.9166666666667,175,1078,-8.52083333333333,81.8333333333333,0
"2015-02-22",146.041666666667,618,3505,1.50416666666667,88,9.8
"2015-02-23",141.916666666667,698,3406,-4.69166666666667,45.9583333333333,0
"2015-02-24",178.041666666667,652,4273,-10.25,52.7916666666667,0
"2015-02-25",175.208333333333,661,4205,-3.81666666666667,63.6666666666667,0
"2015-02-26",124.708333333333,538,2993,-3.25,62.4583333333333,0
"2015-02-27",186.25,694,4470,-5.32916666666667,59.75,0
"2015-02-28",192.958333333333,712,4631,-6.57916666666667,40.4583333333333,0
"2015-03-01",38.125,169,915,-4.50833333333333,79.5833333333333,0.3
"2015-03-02",184.625,690,4431,0.1375,69.2083333333333,11.8
"2015-03-03",69.2083333333333,394,1661,-2.8375,70.7083333333333,2.4
"2015-03-04",42.5416666666667,222,1021,2.86666666666667,96.75,24.2
"2015-03-05",15.5833333333333,75,374,-3.8375,96.875,3.7
"2015-03-06",160.583333333333,684,3854,-9.375,66.3333333333333,0.8
"2015-03-07",181.375,673,4353,-3.52083333333333,62,0.3
"2015-03-08",212.458333333333,757,5099,1.5125,66.25,0
"2015-03-09",198,727,4752,4.94583333333333,65.625,0
"2015-03-10",88.6666666666667,406,2128,5.9375,84.75,17.1
"2015-03-11",160.291666666667,589,3847,9.44583333333333,76.3333333333333,0.8
"2015-03-12",227.291666666667,777,5455,5.90833333333333,34.625,0
"2015-03-13",159.666666666667,650,3832,2.73333333333333,38.625,1.5
"2015-03-14",31.875,130,765,5.825,97.5,26.1
"2015-03-15",50,189,1200,5.10416666666667,65.9583333333333,0
"2015-03-16",149.291666666667,531,3583,5.85,62.25,0
"2015-03-17",187.708333333333,748,4505,9.71666666666667,51.9583333333333,0
"2015-03-18",242.166666666667,801,5812,1.6125,33.25,0
"2015-03-19",229.5,788,5508,0.579166666666667,43.7916666666667,0
"2015-03-20",28.8333333333333,98,692,-0.270833333333333,85.7083333333333,6
"2015-03-21",189.791666666667,710,4555,3.71666666666667,81.5,6.7
"2015-03-22",230.958333333333,758,5543,4.23333333333333,40,0
"2015-03-23",247.916666666667,810,5950,-0.104166666666667,40.4583333333333,0
"2015-03-24",91.7916666666667,467,2203,-0.104166666666667,40.875,0
"2015-03-25",73.875,441,1773,0.966666666666667,77,1.8
"2015-03-26",86,327,2064,10.1583333333333,90.75,9.8
"2015-03-27",89.7916666666667,305,2155,5.075,71,11.6
"2015-03-28",183,619,4392,0.354166666666667,55.5416666666667,0
"2015-03-29",267.625,854,6423,-0.166666666666667,36.7916666666667,0
"2015-03-30",162.541666666667,594,3901,6.44583333333333,48.2916666666667,0
"2015-03-31",83.2916666666667,481,1999,5.3,63.1666666666667,1.1
"2015-04-01",260.291666666667,818,6247,5.03333333333333,55.6666666666667,0
"2015-04-02",239.708333333333,806,5753,9.65833333333333,50.1666666666667,0
"2015-04-03",57.2083333333333,228,1373,15.3,77.1666666666667,1.4
"2015-04-04",264.833333333333,856,6356,10.9333333333333,49.375,0.8
"2015-04-05",235.375,709,5649,10.2208333333333,34.5,0
"2015-04-06",260.583333333333,843,6254,13.2541666666667,48.375,0
"2015-04-07",111.333333333333,502,2672,14.6625,72.8333333333333,0.3
"2015-04-08",38.7916666666667,154,931,4.95,91.6666666666667,0.9
"2015-04-09",34.75,115,834,3.6,94.9583333333333,1.1
"2015-04-10",70.4583333333333,305,1691,7.77083333333333,96,1.6
"2015-04-11",280.041666666667,855,6721,11.6041666666667,45.1666666666667,0
"2015-04-12",286.25,883,6870,9.82916666666667,48.5416666666667,0
"2015-04-13",249.375,820,5985,14.05,60.375,0
"2015-04-14",49.7916666666667,273,1195,13.9666666666667,67.875,3.2
"2015-04-15",223.5,775,5364,13.5666666666667,37.75,0
"2015-04-16",267.333333333333,888,6416,14.7291666666667,33.6666666666667,0
"2015-04-17",135.708333333333,568,3257,16.2416666666667,79.0416666666667,3
"2015-04-18",282.25,896,6774,18.5791666666667,54.0416666666667,0
"2015-04-19",219.458333333333,840,5267,13.8208333333333,41.7916666666667,0.6
"2015-04-20",143.041666666667,754,3433,15.8333333333333,85.3333333333333,32.3
"2015-04-21",248.083333333333,798,5954,13.7333333333333,59.5416666666667,8
"2015-04-22",178.333333333333,773,4280,10.8666666666667,62.625,3.6
"2015-04-23",151.125,491,3627,6.0125,52.75,0
"2015-04-24",293.875,912,7053,6.4125,40.6666666666667,0
"2015-04-25",239.166666666667,853,5740,6.84166666666667,46.7916666666667,0
"2015-04-26",253.291666666667,863,6079,10.65,44.1666666666667,0
"2015-04-27",148.958333333333,603,3575,10.0416666666667,49.1666666666667,0
"2015-04-28",252.458333333333,858,6059,13.9833333333333,50.0833333333333,0
"2015-04-29",284.708333333333,915,6833,16.5083333333333,45.7916666666667,0
"2015-04-30",270.541666666667,796,6493,14.1416666666667,63,0
"2015-05-01",155,605,3720,12.0583333333333,63.5833333333333,0
"2015-05-02",243.416666666667,864,5842,14.0416666666667,63.75,0
"2015-05-03",308.333333333333,925,7400,17.4083333333333,52.6666666666667,0
"2015-05-04",302.708333333333,894,7265,20.3666666666667,49,0
"2015-05-05",209.25,875,5022,21.7791666666667,57.2083333333333,0.3
"2015-05-06",157,641,3768,18.7625,64.1666666666667,1.8
"2015-05-07",270.666666666667,878,6496,19.125,60.2916666666667,0
"2015-05-08",291.75,880,7002,19.7083333333333,66.25,0
"2015-05-09",139.75,755,3354,18.7875,85.625,0
"2015-05-10",216.875,789,5205,21.5958333333333,82.5416666666667,0
"2015-05-11",170.041666666667,670,4081,21.8166666666667,84.5833333333333,1
"2015-05-12",243.833333333333,803,5852,23.1375,61.7916666666667,0
